 	o	y	ú	r	u	w	ó	á	m	i	k	o	b	h	á	e	y	u	ú	y	í	b	έ	r	ε	l	á	b	á	n	a	</S>
cette	0.013493	0.010182	0.0108502	0.0083744	0.00965881	0.00662099	0.00937184	0.0111849	0.0135496	0.0260639	0.0359955	0.0236505	0.0223334	0.0254912	0.0274162	0.0347761	0.0218468	0.0198133	0.0231064	0.0210517	0.0276754	0.0419063	0.0435511	0.0503496	0.0449577	0.0463026	0.0587794	0.059847	0.063219	0.0741775	0.0598601	0.0545434
femme	0.109102	0.256328	0.196705	0.161116	0.0689089	0.0344522	0.0329295	0.0347113	0.0145988	0.0205896	0.0147126	0.00661353	0.00312905	0.00185884	0.00170493	0.00137767	0.000654984	0.000612926	0.00136345	0.00182393	0.00430591	0.0093938	0.00469242	0.00828666	0.00398941	0.00182166	0.00110422	0.00107643	0.000662142	0.000490226	0.00051298	0.00037143
a	0.0280585	0.0284651	0.021736	0.0140134	0.0160672	0.0342124	0.0179414	0.0192737	0.0265213	0.0184354	0.0215635	0.0424689	0.0549443	0.0617388	0.0676647	0.0793667	0.0455437	0.0519247	0.0485605	0.0304347	0.0341092	0.0310329	0.044368	0.0372092	0.0347856	0.0207268	0.0180964	0.0131361	0.0100123	0.00825851	0.0118974	0.00743272
pris	0.0185182	0.024845	0.0447712	0.0405593	0.0407419	0.0398549	0.0237824	0.0218304	0.0246383	0.0270158	0.0165517	0.0403785	0.0357362	0.0246044	0.0349483	0.0700665	0.0682999	0.0684635	0.0570745	0.0417159	0.0226404	0.0195005	0.0170511	0.0161155	0.0137534	0.0143026	0.0138447	0.0130373	0.0115281	0.0220094	0.0299222	0.041898
l'	0.0489529	0.0447592	0.039852	0.0278744	0.0212087	0.0204086	0.0205566	0.0189118	0.0215402	0.0224664	0.0220838	0.0347396	0.029371	0.0235373	0.0308587	0.0405583	0.047759	0.064687	0.0637817	0.0378699	0.018374	0.0168835	0.0177189	0.0191606	0.0175332	0.0191953	0.0197047	0.0206086	0.0265739	0.0379135	0.0384434	0.0661133
habitude	0.0248679	0.0298792	0.0261162	0.0225198	0.0189897	0.0165323	0.0196167	0.0177388	0.0189903	0.0151365	0.0158709	0.0168164	0.014191	0.0141396	0.0162156	0.0271858	0.0359322	0.0479004	0.0582257	0.0438547	0.0399894	0.0444675	0.0325455	0.0510303	0.0413652	0.0482792	0.0336261	0.0403492	0.0369999	0.0414395	0.0367351	0.0524536
de	0.118983	0.0989467	0.0774755	0.05567	0.0386729	0.0295749	0.031703	0.0253536	0.0255573	0.0263603	0.022709	0.0290133	0.0208313	0.0162082	0.0170792	0.0228115	0.0252067	0.0237796	0.0247549	0.0198485	0.012806	0.0119995	0.0114827	0.0117347	0.0180552	0.0146573	0.0133146	0.0157782	0.0123891	0.0242101	0.0356097	0.0674239
taper	0.023209	0.0230197	0.0250804	0.0239808	0.0248865	0.0212552	0.0207089	0.0211229	0.026125	0.0250981	0.0219238	0.0281939	0.0258657	0.0154753	0.0179365	0.0269246	0.03451	0.0260196	0.0225953	0.0236262	0.0182178	0.0240173	0.0191399	0.0323472	0.0324674	0.0328931	0.0281647	0.0363444	0.0316714	0.0534368	0.0715537	0.142189
ses	0.063802	0.0690401	0.0832525	0.0578449	0.0424351	0.0243812	0.0201838	0.0172495	0.0166463	0.0253905	0.0146072	0.0299578	0.0162031	0.0218236	0.0192205	0.0403346	0.0678569	0.0479723	0.0629768	0.0278671	0.0226747	0.0238766	0.0109269	0.011962	0.0153712	0.0132581	0.00866919	0.00918552	0.00868622	0.0102529	0.0155039	0.0805871
enfants	0.0562342	0.0418203	0.0285268	0.016751	0.0106889	0.0110626	0.0104322	0.00964451	0.00813523	0.0129925	0.0128501	0.0281938	0.0233421	0.0291558	0.0367737	0.0423246	0.0753095	0.0675733	0.0939843	0.0577428	0.0446632	0.0237376	0.0102247	0.00603042	0.00656002	0.00699173	0.0064782	0.0148595	0.0136914	0.0231762	0.0391352	0.130913
</S>	0.078283	0.0612685	0.0473761	0.0258827	0.0185831	0.021697	0.0190494	0.0121252	0.0129694	0.0142079	0.0113598	0.0260845	0.0163689	0.0112096	0.0167025	0.0266032	0.0311508	0.0236336	0.0230361	0.0133891	0.0116099	0.0141985	0.0101818	0.0155129	0.0206364	0.0177635	0.0168243	0.0197623	0.020002	0.0317879	0.0613679	0.249372
