 	l	é	l	e	e	s	á	n	g	á	l	í	i	b	e	n	á	á	m	w	á	n	a	o	p	o	t	á	á	l	e	</S>
faites-moi	0.0308324	0.0220931	0.0177123	0.0121818	0.0153288	0.0151273	0.0167917	0.030343	0.0398194	0.0599668	0.0755288	0.0689747	0.0649108	0.0581406	0.0504658	0.0587451	0.0384192	0.0302782	0.0291192	0.0258208	0.023288	0.0221028	0.0145179	0.0180623	0.0322247	0.0254353	0.0209326	0.0161246	0.0172985	0.0174805	0.0174578	0.0144753
passer	0.0500108	0.0244786	0.0308894	0.0243855	0.0322264	0.022566	0.0455787	0.0347679	0.0430693	0.0666367	0.0892924	0.0766604	0.0999892	0.0761022	0.0596734	0.0519758	0.0244901	0.0110313	0.0082743	0.0120832	0.00743189	0.00850503	0.00616672	0.00763326	0.00860551	0.0100724	0.0167151	0.0117437	0.0101209	0.0116024	0.0121669	0.00505459
j'	0.0297452	0.034024	0.0461817	0.0669433	0.0712166	0.120452	0.0850139	0.0513165	0.0457614	0.024363	0.0163756	0.0175295	0.0170878	0.0177711	0.0186724	0.0189513	0.0216716	0.0262844	0.014828	0.0165639	0.0356677	0.0224073	0.0199516	0.0159885	0.0167602	0.0196018	0.0224933	0.0206468	0.0196549	0.0195541	0.0184388	0.00808205
amène	0.0467541	0.0346037	0.0514333	0.0493747	0.047715	0.0604305	0.0550919	0.033421	0.0303204	0.0197591	0.013927	0.0159528	0.0209508	0.0251173	0.0202449	0.0294899	0.024488	0.0292752	0.0436046	0.0277089	0.0465363	0.0436412	0.0236638	0.0182792	0.0184717	0.0213403	0.0184196	0.0288718	0.020387	0.0250179	0.0232081	0.0325002
mon	0.037537	0.0329127	0.0254975	0.0355286	0.034741	0.044551	0.0447796	0.0435048	0.0441923	0.0442112	0.0354094	0.0278119	0.0253168	0.0308632	0.0244282	0.0320422	0.0341035	0.0382761	0.0261674	0.016423	0.0194077	0.0162284	0.014637	0.0163435	0.0177355	0.0201859	0.0243629	0.0229439	0.0237396	0.0261848	0.037216	0.0827174
enfant	0.0162745	0.0135951	0.014135	0.0153694	0.0151745	0.0242191	0.0230096	0.0266913	0.0255204	0.0279512	0.0354621	0.0446435	0.0250398	0.0380619	0.0196188	0.030649	0.033231	0.0385743	0.0442406	0.0338487	0.0407195	0.035122	0.0249736	0.0424254	0.0461348	0.0459288	0.036725	0.0286318	0.0260993	0.0276499	0.0442888	0.0559915
aux	0.0197708	0.0175443	0.0221546	0.0274831	0.02608	0.0327705	0.0353574	0.0484105	0.0438692	0.0422994	0.0470029	0.0364626	0.0303968	0.0339882	0.0232672	0.0223671	0.0179286	0.0238507	0.0235205	0.0239182	0.00735489	0.00832617	0.00523784	0.0103241	0.0129801	0.0216701	0.0302562	0.0279962	0.0371088	0.0483964	0.0627831	0.129123
urgences	0.0288099	0.0280425	0.0336608	0.0365103	0.034016	0.0345348	0.0339662	0.0322543	0.0204652	0.021926	0.0286684	0.0160833	0.013008	0.00978201	0.00843456	0.0081803	0.00683606	0.0101754	0.00908021	0.0112192	0.00886832	0.00926486	0.00474596	0.01047	0.0113746	0.0313781	0.0213573	0.0257525	0.046618	0.0986019	0.135034	0.17088
à	0.035684	0.028703	0.0266766	0.0272895	0.0252469	0.0267019	0.0158391	0.0164448	0.0165528	0.0165298	0.0227268	0.0200493	0.0208521	0.0179833	0.0169283	0.0119581	0.00949517	0.0197551	0.0242843	0.0235167	0.0143338	0.0171692	0.00574371	0.0200646	0.0197307	0.0312063	0.0305874	0.0327002	0.0452316	0.0746927	0.110684	0.174638
l'	0.0771162	0.0297038	0.0241673	0.0215436	0.0198043	0.0256558	0.0106879	0.00578181	0.00473528	0.00616644	0.0108496	0.0101852	0.00935464	0.0100693	0.0121653	0.0108754	0.0132327	0.0191392	0.0163769	0.0261021	0.0225743	0.0245515	0.0178057	0.0433739	0.0453633	0.0527475	0.0620265	0.0655829	0.0643802	0.0737413	0.0773286	0.0868114
hôpital	0.0689126	0.0376584	0.0324911	0.0285585	0.0252171	0.01423	0.00871814	0.00577901	0.00534244	0.00631272	0.0098036	0.00990951	0.0107766	0.010499	0.0136066	0.0119973	0.0177333	0.0245644	0.0184151	0.0236274	0.0150069	0.0211822	0.00756935	0.0282447	0.0296239	0.048472	0.0532762	0.0653899	0.0675204	0.0895604	0.0913986	0.0986026
</S>	0.145046	0.0512501	0.0336866	0.0220576	0.0161963	0.0301991	0.0171973	0.0129929	0.00962898	0.0103818	0.0168249	0.0141671	0.0114065	0.011866	0.0146507	0.0131924	0.0128858	0.0164589	0.0144691	0.0322822	0.0398978	0.0319368	0.0230826	0.0421887	0.0347683	0.0278968	0.0248758	0.0319996	0.0306862	0.0514561	0.0638788	0.0904928
