 	d	z	a	á	t	é	é	i	b	v	ú	n	u	l	í	í	n	a	m	í	n	í	d	í	i	l	ω	p	f	a	o	k	o	b	h	í	ω	b	ώ	ω	y	á	ε	w	ε	s	έ	</S>
va	0.0256991	0.0231978	0.0261652	0.0413681	0.035894	0.0440695	0.0365927	0.0441204	0.0512863	0.054312	0.0470955	0.0432261	0.0587994	0.0783248	0.067422	0.0379204	0.0257577	0.0135932	0.00608623	0.00668584	0.00685691	0.00517068	0.00488239	0.00499683	0.00591094	0.00438759	0.00427512	0.00347877	0.00434813	0.00414369	0.00410944	0.00489777	0.00466728	0.0043297	0.00770447	0.00852464	0.00885598	0.00885355	0.0145531	0.0117635	0.00992406	0.0135009	0.0150213	0.0117867	0.0156228	0.0116511	0.0148926	0.0132738
jusqu'	0.0715222	0.0623984	0.0614713	0.0562491	0.0585089	0.0571908	0.0344987	0.0370463	0.0425171	0.0154069	0.0107888	0.0185277	0.0148616	0.0115205	0.0151579	0.0128259	0.0023229	0.00336666	0.000871108	0.00163888	0.0018216	0.00163168	0.00849841	0.0153261	0.0130829	0.0174755	0.00943118	0.010594	0.0229603	0.0272508	0.0229432	0.0248375	0.0249493	0.0232983	0.0186121	0.0257706	0.0124646	0.0147912	0.0129713	0.00976714	0.0107491	0.0142464	0.0078839	0.0259799	0.00727459	0.00789449	0.0100152	0.00878701
à	0.0136241	0.0135802	0.00936574	0.0100808	0.0111307	0.0138003	0.0248419	0.0236101	0.0186686	0.034004	0.0281907	0.0265288	0.0454187	0.0859362	0.097202	0.0738449	0.0965291	0.0481719	0.040206	0.0245358	0.0269066	0.0136754	0.0142807	0.00817578	0.00532611	0.00823034	0.0105774	0.00452498	0.00969557	0.0114285	0.00936162	0.00958377	0.0119916	0.00648649	0.00786882	0.00594811	0.00679597	0.00541827	0.00870065	0.00974987	0.00831841	0.0083106	0.0111376	0.00901838	0.0080908	0.00686922	0.00580726	0.0084504
la	0.0293029	0.0220195	0.017817	0.0179416	0.0194831	0.0206163	0.0181166	0.0184827	0.0230202	0.034194	0.0414873	0.0575498	0.0362703	0.0328074	0.0482618	0.0293995	0.0307485	0.0353841	0.0326292	0.0272363	0.0197618	0.0247507	0.0128904	0.013582	0.0117804	0.0175568	0.0322052	0.0286561	0.0171814	0.0261791	0.016618	0.0131937	0.0156985	0.0129094	0.0106977	0.00834387	0.00877305	0.00975361	0.0114027	0.0127821	0.0101238	0.0106243	0.0116108	0.0116412	0.00761996	0.00806351	0.0066271	0.0162045
prochaine	0.0148602	0.0178778	0.0268621	0.0254357	0.0313614	0.0288181	0.0251147	0.0320015	0.0260624	0.0117115	0.00796805	0.0077106	0.00567402	0.00576663	0.00668524	0.00544953	0.00641185	0.0099038	0.0188752	0.0253834	0.0418465	0.0405548	0.0341382	0.0368374	0.0285214	0.0217771	0.0393217	0.0190112	0.0218142	0.0366434	0.0314889	0.0456423	0.0301763	0.0330977	0.0291836	0.0253241	0.022676	0.0198386	0.0148405	0.0157029	0.008398	0.00751148	0.00831399	0.00444816	0.0089401	0.0056177	0.00875116	0.0196488
bifurcation	0.0221603	0.0189674	0.0249562	0.0264245	0.043503	0.0301076	0.030261	0.0260193	0.0175248	0.0133682	0.0131606	0.0176692	0.0137275	0.0156335	0.0183359	0.0176849	0.0190106	0.0196221	0.0239488	0.0259712	0.0225172	0.0282604	0.015927	0.015643	0.0161879	0.014787	0.0268846	0.0192671	0.0162811	0.0236006	0.019524	0.0239214	0.0150681	0.022394	0.0268142	0.0240635	0.0221159	0.0263394	0.0264487	0.0211626	0.0207328	0.0161407	0.017353	0.0105323	0.0127851	0.0136718	0.0144182	0.029102
et	0.0598977	0.0444913	0.0495309	0.0394402	0.040494	0.0278372	0.0178048	0.00744534	0.00694129	0.00602395	0.00484551	0.0055938	0.00667136	0.00988998	0.0105928	0.0109633	0.00987616	0.0120164	0.0154176	0.0192626	0.0246165	0.0277888	0.0275421	0.0215313	0.018202	0.014731	0.0130437	0.0170078	0.0190442	0.0182094	0.0191027	0.0243398	0.0169885	0.0213669	0.0222832	0.0180741	0.01561	0.0176493	0.015101	0.0125979	0.00942182	0.0105352	0.0145043	0.0118979	0.0240137	0.0305481	0.0421354	0.0670772
prends	0.0166386	0.00767133	0.0100069	0.0137551	0.026193	0.0349735	0.0405896	0.0331026	0.0245579	0.0179553	0.0144747	0.0139698	0.0128124	0.0133183	0.0126663	0.0146377	0.0133768	0.0145761	0.0160183	0.0185175	0.0217365	0.0235239	0.0204436	0.0181761	0.0206533	0.0186898	0.0238943	0.0259502	0.0209909	0.0246053	0.0231662	0.0228724	0.0198147	0.0262791	0.0262483	0.0218774	0.0242735	0.0283983	0.0237742	0.0260314	0.0234832	0.0200665	0.0224077	0.00962542	0.0162165	0.0174525	0.0153294	0.0442078
à	0.0432651	0.0215552	0.0145487	0.0131273	0.0147144	0.0128442	0.00662342	0.00373731	0.00493824	0.00481336	0.00426109	0.00559142	0.0075783	0.0126673	0.0123361	0.0127451	0.0102536	0.0111421	0.0098165	0.0173334	0.01085	0.0229197	0.0159183	0.0276432	0.0270576	0.0271975	0.028893	0.0314177	0.0324455	0.0331245	0.029902	0.0287139	0.0303455	0.0331099	0.027308	0.0206463	0.024811	0.0244448	0.0259806	0.0262677	0.0251175	0.0270915	0.028102	0.0249028	0.0285035	0.0292196	0.0293337	0.0348406
gauche	0.0332728	0.0220993	0.014331	0.011375	0.0101523	0.00623557	0.00536571	0.00416859	0.00478034	0.00506333	0.00465458	0.00642199	0.00922594	0.0170191	0.0166967	0.0155587	0.013309	0.0117884	0.0105919	0.019107	0.0129258	0.0257328	0.0178917	0.0324198	0.0345674	0.0326486	0.0300248	0.0334708	0.035336	0.0344781	0.0321845	0.0303139	0.0319744	0.0321307	0.0265704	0.0219713	0.0232132	0.0204269	0.0183655	0.0171742	0.0183855	0.0210706	0.0234811	0.0280714	0.0278312	0.0309005	0.0299092	0.0353125
