 	n	g	á	í	m	o	d	z	w	á	o	y	u	b	h	á	m	w	e	n	έ	t	s	i	n	a	á	m	i	n	g	a	a	n	d	á	m	ó	w	a	e	b	é	e	y	á	n	d	ω	ω	</S>
je	0.220351	0.18176	0.165575	0.0717345	0.0313428	0.0162036	0.0179591	0.00965917	0.00954605	0.0156554	0.0213486	0.0160156	0.0091333	0.00996137	0.00872915	0.0124071	0.0150062	0.0087373	0.00589101	0.0088685	0.00258173	0.00517629	0.00289131	0.00217869	0.00245061	0.00357938	0.00243331	0.0016447	0.00126302	0.00271075	0.00368202	0.00391398	0.00353383	0.00415127	0.00446614	0.00627827	0.00693586	0.00638598	0.00631595	0.00707017	0.00426194	0.00518808	0.00490607	0.00556135	0.00612275	0.00597215	0.00588497	0.00614472	0.00550921	0.00742428	0.00749597
m'	0.0950386	0.0536827	0.0435793	0.0197421	0.0525269	0.0235786	0.0161693	0.0218715	0.0255843	0.0355524	0.0428267	0.034443	0.0401153	0.0321222	0.0422726	0.0310348	0.0308981	0.0361583	0.0255394	0.0133896	0.0111631	0.0131468	0.0128136	0.0281612	0.0168052	0.0142508	0.0138314	0.00833999	0.0188096	0.0127138	0.0180378	0.0140533	0.00904779	0.00927551	0.00359596	0.00885182	0.0109783	0.00364833	0.00906351	0.00519555	0.00262675	0.00249258	0.00136108	0.00125884	0.00623387	0.00439723	0.00326038	0.0020455	0.00362674	0.00687776	0.0079101
en	0.0435179	0.0360398	0.0193784	0.0160445	0.0212786	0.017433	0.00963914	0.0176549	0.0142526	0.0184739	0.0122241	0.0135771	0.0285561	0.0227637	0.0271346	0.0323842	0.0213851	0.0325991	0.0303865	0.0179811	0.0536867	0.0525785	0.0261646	0.0154511	0.0216857	0.0180869	0.0138788	0.0104234	0.0138805	0.0278124	0.0200434	0.0183605	0.0186198	0.0254993	0.0141077	0.0163709	0.0193549	0.0124152	0.0201536	0.0134276	0.0102008	0.0123105	0.0088576	0.007489	0.0103353	0.011918	0.0106508	0.00778282	0.0126337	0.0141233	0.00899213
vais	0.0246379	0.0117792	0.0156932	0.0222604	0.0242373	0.0225823	0.011949	0.0140459	0.0309627	0.0287647	0.0129488	0.0127037	0.0154444	0.0152828	0.0140213	0.0127279	0.0125062	0.00959006	0.00802098	0.00872603	0.0118402	0.00914108	0.0103387	0.0514422	0.025525	0.0285031	0.0389072	0.0402234	0.0352212	0.0300667	0.0507521	0.0361318	0.0207379	0.0255343	0.012649	0.0136687	0.0173673	0.00919739	0.0083155	0.00738503	0.0065245	0.00523661	0.00512454	0.00949426	0.025519	0.0223738	0.020219	0.0232831	0.0217331	0.0200015	0.0286578
chercher	0.0051646	0.00269455	0.00415485	0.00703645	0.021283	0.0143154	0.0171126	0.0138233	0.0148672	0.015339	0.0152532	0.0130647	0.00774645	0.00974041	0.0101763	0.00875389	0.00758633	0.0163723	0.0230856	0.023299	0.0427091	0.0349377	0.0396053	0.0390065	0.0316103	0.0381714	0.0359373	0.0242533	0.0249642	0.0331444	0.0461739	0.0296412	0.0281933	0.0261953	0.0114793	0.0254701	0.0203633	0.0145985	0.0197401	0.0143242	0.0106778	0.0116648	0.0114524	0.0134626	0.0159346	0.0125052	0.00939803	0.0161858	0.0100921	0.0177737	0.0394653
le	0.00492293	0.00322914	0.00291153	0.00180621	0.00407891	0.00339429	0.00790133	0.0061796	0.00963651	0.00704914	0.00973551	0.0089192	0.00428561	0.00559735	0.00560863	0.00636442	0.00550602	0.0105623	0.0156217	0.0163706	0.0473559	0.036763	0.0474721	0.0628613	0.0439998	0.0414888	0.0416658	0.0314753	0.0371948	0.0417372	0.0493348	0.0392906	0.0383286	0.0342306	0.0169134	0.0244682	0.0212372	0.0150438	0.0210683	0.014411	0.00881635	0.00823455	0.0101018	0.0155553	0.0180678	0.0141205	0.00980501	0.0139949	0.00945469	0.0153028	0.0305247
notable	0.00505723	0.00360704	0.00788419	0.00985072	0.00852372	0.0057809	0.0129122	0.00669383	0.0118688	0.00898718	0.0140975	0.0116496	0.00744362	0.0061607	0.0084908	0.00967479	0.00921931	0.0139697	0.0148927	0.0177538	0.0259815	0.0227666	0.025161	0.0357336	0.0287586	0.0264587	0.028097	0.0248156	0.0332746	0.0205452	0.0336467	0.0232741	0.0182225	0.0241606	0.0124275	0.0141819	0.0181704	0.0115888	0.0180628	0.0155838	0.0086651	0.00838598	0.00868535	0.0186345	0.0339954	0.0197517	0.021406	0.0396658	0.0232207	0.0677037	0.094456
car	0.00495687	0.00260006	0.00373253	0.00559536	0.00537522	0.00469524	0.00587709	0.00502618	0.00613848	0.00647299	0.00681856	0.00524313	0.00493004	0.00581588	0.00587895	0.00941761	0.00659419	0.0073782	0.0111796	0.00894527	0.0218068	0.017628	0.0246147	0.0426599	0.0359891	0.0376834	0.0440442	0.048621	0.0594026	0.0577349	0.0643941	0.0434355	0.0370539	0.0483646	0.0205588	0.0220943	0.0221984	0.0108979	0.0169578	0.0159948	0.00827693	0.00524934	0.00614833	0.0114748	0.0171336	0.0121198	0.0134442	0.0169671	0.0237699	0.0392053	0.0314046
on	0.024644	0.0114213	0.00973499	0.00824862	0.00861142	0.00640784	0.0134342	0.00850462	0.00701599	0.0045277	0.00967827	0.00896462	0.00633047	0.0096373	0.00689794	0.0096981	0.00856922	0.00821734	0.0138922	0.014139	0.0433294	0.0331668	0.0444211	0.0477868	0.0416421	0.035715	0.0398725	0.0489347	0.0383846	0.0454851	0.03719	0.0340355	0.0404789	0.0278804	0.0190196	0.0140445	0.0165599	0.0135719	0.0150899	0.0116014	0.00776694	0.00719099	0.00949906	0.00902485	0.0127077	0.0133	0.0129509	0.0158038	0.0160026	0.0175932	0.0313749
a	0.0207438	0.0170163	0.0153184	0.00820545	0.0112491	0.00950453	0.00856326	0.00785642	0.00628115	0.00502479	0.00644342	0.00634433	0.0109395	0.016594	0.0193495	0.0148989	0.0150993	0.0213207	0.0217063	0.0172444	0.0292188	0.0246413	0.0252887	0.0370649	0.0321974	0.0262958	0.0305812	0.031159	0.0491685	0.0379207	0.0353545	0.0337675	0.0361977	0.0276597	0.0128783	0.0140899	0.0165889	0.0111792	0.0223312	0.016286	0.00855387	0.010031	0.00954129	0.0112903	0.0173883	0.0236984	0.0203165	0.0193778	0.0218547	0.023326	0.0250493
besoin	0.0285894	0.0250388	0.0240225	0.013439	0.0167235	0.0137584	0.00998283	0.00992261	0.00797029	0.00723512	0.00841592	0.0081575	0.0120445	0.017468	0.0202487	0.0200684	0.01934	0.0212119	0.0238265	0.0169258	0.0258832	0.0169961	0.0197166	0.0356465	0.0290118	0.0211401	0.0269228	0.0321851	0.0543971	0.0337368	0.0350108	0.0306325	0.0228418	0.0222729	0.0101928	0.00733828	0.0108526	0.00696227	0.017097	0.0101351	0.0085288	0.0117763	0.00956592	0.0119078	0.0156421	0.0220681	0.0202191	0.0152936	0.0204551	0.0364387	0.0347427
de	0.028607	0.0207668	0.0173323	0.0208472	0.0385254	0.029439	0.014843	0.0145051	0.00599773	0.00577084	0.00924207	0.00854561	0.00865182	0.018145	0.0119955	0.0164337	0.0157814	0.0126212	0.0311829	0.022976	0.0320974	0.0280832	0.0246464	0.0268619	0.0240602	0.0203787	0.023547	0.0263074	0.0270354	0.0232491	0.0270507	0.0242743	0.0275581	0.0248348	0.0117626	0.00883893	0.0188451	0.0111909	0.0207341	0.0152673	0.0120167	0.0110788	0.0113057	0.0115344	0.0156187	0.0212542	0.0192211	0.017563	0.0231381	0.0289302	0.0295061
lui	0.091565	0.0397066	0.026877	0.0559025	0.0717966	0.0455645	0.0253538	0.0197748	0.0078501	0.00514489	0.00717556	0.00637061	0.00811427	0.0156353	0.0142325	0.0162045	0.0172624	0.0160486	0.0459155	0.0289958	0.033403	0.0282196	0.0235886	0.0140753	0.0134585	0.00906411	0.00998472	0.011777	0.0107709	0.00886927	0.00926417	0.00872498	0.00650817	0.00931706	0.0037989	0.00420149	0.00698661	0.00379526	0.0126163	0.00857514	0.00942729	0.0119512	0.0111605	0.012943	0.0122367	0.0166983	0.0132027	0.0115233	0.0186482	0.0292413	0.0504776
à	0.0483008	0.0180223	0.0150056	0.0177203	0.0208872	0.0178375	0.0117714	0.0103669	0.0086995	0.00733421	0.00704898	0.00598489	0.00636091	0.00842132	0.0094651	0.0141959	0.011441	0.0121592	0.0172925	0.0143247	0.0166001	0.0149489	0.016763	0.0170382	0.0168892	0.0160359	0.0166703	0.0172911	0.0167169	0.0155033	0.0168933	0.0154568	0.0130173	0.0183951	0.00742453	0.0110016	0.0188824	0.0114316	0.0273935	0.020012	0.0142629	0.0186949	0.0186787	0.0220567	0.0326083	0.0402174	0.0410147	0.0370041	0.0459952	0.0632447	0.059217
la	0.0605319	0.0324761	0.0272279	0.021069	0.0211747	0.0182232	0.0148624	0.0135626	0.0113933	0.00948113	0.00929007	0.00855743	0.00889189	0.00986968	0.0104435	0.014241	0.0112772	0.0118023	0.015635	0.0124631	0.0177305	0.0125091	0.0189798	0.0233906	0.0232703	0.0179479	0.0200912	0.0235014	0.0223384	0.01746	0.0175745	0.0160834	0.00861571	0.0155198	0.00511878	0.00609551	0.0126325	0.00553201	0.0190337	0.00986475	0.0107561	0.0167055	0.0138277	0.0177739	0.0243917	0.0397941	0.0309707	0.0238152	0.0374825	0.0591217	0.0695976
veillée	0.0155356	0.0129574	0.023002	0.0249232	0.0132796	0.0115798	0.0082622	0.00887537	0.0100892	0.00977965	0.0097563	0.00959445	0.00949641	0.00909918	0.00955972	0.0130432	0.0110089	0.00905495	0.0120563	0.00880037	0.0116678	0.00782243	0.0140283	0.0219897	0.0244033	0.0206282	0.022519	0.0258804	0.0207584	0.0216602	0.0218713	0.0150718	0.00891076	0.0157078	0.0085694	0.00943707	0.0142029	0.00709552	0.0119105	0.0106492	0.0135099	0.0201916	0.016987	0.0213892	0.0348389	0.049541	0.0497614	0.0315873	0.0540541	0.0665177	0.0870842
mortuaire	0.00731268	0.00624013	0.0138235	0.0140329	0.00730785	0.00855722	0.00749522	0.00889319	0.0134332	0.013258	0.0137302	0.0125769	0.0115948	0.00928171	0.00769975	0.0128308	0.00904961	0.00672677	0.0093519	0.00601653	0.0091137	0.00751362	0.0117505	0.034317	0.0345016	0.024362	0.0330905	0.0463141	0.0392637	0.0350781	0.0397956	0.0329901	0.0198355	0.0308879	0.0213974	0.0135579	0.0202605	0.0128512	0.0136996	0.0127475	0.0186604	0.022455	0.0201162	0.0220654	0.0215256	0.0319453	0.0258382	0.0198188	0.0307172	0.0403944	0.0539228
</S>	0.025629	0.0159913	0.018912	0.0206343	0.0146253	0.0130145	0.0143688	0.0138921	0.016328	0.0137023	0.0144857	0.0107095	0.00977777	0.00846528	0.00728274	0.0087521	0.00771197	0.00665673	0.0074378	0.00680208	0.00795752	0.00875437	0.00914426	0.0156251	0.0149397	0.0106999	0.0133531	0.0239345	0.0168983	0.0158203	0.0166385	0.0128332	0.00980248	0.0134719	0.00891957	0.00758016	0.0108272	0.00658752	0.00944391	0.00939964	0.0164685	0.0236558	0.0219596	0.0307014	0.0350107	0.0357157	0.0490998	0.0515869	0.0539844	0.0782729	0.105734
