 	e	k	y	ε	l	í	l	í	y	é	é	k	y	ε	l	έ	a	w	ú	r	a	y	é	o	l	a	n	g	i	ó	m	i	b	o	n	d	z	i	m	a	</S>
la	0.0100349	0.00993694	0.00885558	0.00642003	0.00538928	0.00439687	0.00684759	0.0169188	0.0342669	0.0451662	0.0711839	0.0813132	0.0629846	0.0650296	0.0700504	0.0484772	0.0383367	0.0350245	0.0204951	0.0206344	0.0202296	0.0285265	0.02776	0.0190307	0.0170311	0.0101701	0.0162831	0.00853764	0.00958715	0.0102483	0.0120254	0.0113009	0.0110719	0.0103483	0.0127326	0.0201206	0.0178102	0.0147466	0.0191791	0.022465	0.0190323
manière	0.0132174	0.0115736	0.0174444	0.015244	0.0144942	0.0144691	0.0206829	0.0195348	0.0183538	0.0174242	0.0477595	0.0741714	0.0804501	0.0565363	0.0462501	0.047982	0.0150551	0.0174954	0.00977908	0.00696496	0.00297201	0.00143958	0.00155993	0.00181492	0.00335974	0.00297844	0.00438668	0.0351227	0.0100292	0.00233834	0.00604964	0.0129156	0.046736	0.0252908	0.0261644	0.0700129	0.0398529	0.0658598	0.0522223	0.0179021	0.00610949
dont	0.108445	0.0255205	0.0117456	0.0197563	0.0252305	0.0265812	0.0279334	0.0171393	0.0169457	0.0193922	0.0302914	0.036814	0.0390943	0.0429617	0.0577456	0.0761188	0.0530825	0.0446258	0.0478786	0.0134293	0.0188625	0.00504191	0.00656356	0.0060847	0.0093783	0.0129637	0.010957	0.0117201	0.0133198	0.00767393	0.0179858	0.0129029	0.024776	0.018557	0.00764893	0.00834547	0.00960228	0.0104765	0.00911615	0.0114541	0.0258376
coule	0.055166	0.0530678	0.079121	0.0291505	0.0155405	0.0218782	0.0144803	0.0215562	0.0188312	0.0173877	0.0201633	0.0202004	0.0180117	0.0207693	0.0173511	0.0126305	0.0194445	0.0246	0.0548334	0.0393261	0.0302913	0.0232922	0.0251174	0.0130443	0.0247054	0.0385327	0.0334195	0.0322487	0.0240585	0.0211369	0.0185778	0.0187119	0.0127799	0.0103466	0.00798063	0.00657316	0.00586147	0.00687462	0.0152165	0.0151789	0.042542
de	0.0217926	0.0150272	0.0161953	0.0213199	0.0288488	0.0346622	0.0288274	0.021053	0.0118215	0.00837594	0.00615289	0.00547414	0.00676735	0.00778506	0.00973893	0.0160205	0.0132622	0.0124114	0.0218327	0.0146743	0.0178741	0.0142188	0.0208726	0.0196133	0.0244388	0.0331155	0.0270975	0.0437153	0.0400606	0.0342076	0.0439454	0.0412711	0.0441803	0.0271724	0.0359415	0.0304443	0.0233364	0.0258516	0.0295383	0.031361	0.0697002
l'	0.0157147	0.0231488	0.0748079	0.0643558	0.0394759	0.0327014	0.0215574	0.017218	0.0152858	0.00928645	0.011867	0.0107032	0.0112064	0.0118472	0.00988183	0.0140614	0.0108611	0.0110545	0.0185773	0.0129587	0.0158529	0.00919469	0.0124426	0.0124803	0.0216424	0.0421189	0.024261	0.0458053	0.0331335	0.0150283	0.0221859	0.0233941	0.0398029	0.0147874	0.0236615	0.017234	0.0209716	0.0223473	0.0315835	0.0320079	0.0834932
huile	0.0246612	0.0223727	0.0235891	0.0210556	0.0110765	0.00990778	0.00587226	0.00511797	0.00851048	0.00744444	0.00797393	0.00846215	0.00801331	0.0122429	0.0127759	0.0171823	0.0215791	0.0226608	0.0271095	0.0190084	0.0200768	0.0111231	0.0134152	0.0162781	0.0273909	0.0459386	0.0314579	0.0643111	0.062873	0.023128	0.029701	0.0365174	0.0505443	0.0320192	0.0353427	0.0209571	0.0202776	0.0208711	0.0236833	0.0317305	0.0857468
la	0.0539035	0.0211209	0.0111331	0.0182464	0.0353805	0.0753232	0.0537544	0.0537547	0.042063	0.0221499	0.0145888	0.0119343	0.00728605	0.0110202	0.00611824	0.0123788	0.00998486	0.0138698	0.0309043	0.0204367	0.0182627	0.0193514	0.0160349	0.0160549	0.0208633	0.0247708	0.0199165	0.0263682	0.0216253	0.0190505	0.0167086	0.0204649	0.0190085	0.0199565	0.0162725	0.0149709	0.0243677	0.0266203	0.0210275	0.0280618	0.0648904
bouteille	0.0264426	0.0568545	0.0639353	0.0645668	0.0429113	0.03527	0.0226797	0.0227717	0.0238945	0.011003	0.00753443	0.00385696	0.0020829	0.00415474	0.00221999	0.00550719	0.00459524	0.00505745	0.0170823	0.0115019	0.00501424	0.0147164	0.0143459	0.0214582	0.0416851	0.05445	0.0350741	0.0486028	0.0308796	0.0161768	0.0190547	0.0219197	0.0199136	0.0252	0.0116433	0.00672417	0.0189156	0.0215821	0.0134635	0.0315516	0.0937064
s'	0.0486012	0.0170651	0.0113247	0.014393	0.0261201	0.0576157	0.0406736	0.051355	0.0370833	0.0198076	0.0157216	0.0129559	0.0075636	0.0073825	0.00476774	0.005771	0.00517442	0.00768529	0.013536	0.0116183	0.00968728	0.00766387	0.00739212	0.00796928	0.0204527	0.0573361	0.0257825	0.0580183	0.0343218	0.0347173	0.0400381	0.0518655	0.0414512	0.0319552	0.0157391	0.00629861	0.0135466	0.0168963	0.0151081	0.0232556	0.0642887
est	0.0639408	0.0506045	0.0347856	0.018617	0.0164207	0.0129328	0.00674141	0.0079698	0.00760191	0.00576673	0.00455906	0.00389736	0.00242973	0.00390647	0.00434039	0.0102063	0.00919016	0.0134192	0.0418984	0.0371051	0.015408	0.0236967	0.0257474	0.0297336	0.0607329	0.0480877	0.0362992	0.0643631	0.0275268	0.0136744	0.0164035	0.0222543	0.0284565	0.0210654	0.0145336	0.00732319	0.0126411	0.0207701	0.0150656	0.0356338	0.10425
certainement	0.116241	0.0408073	0.0148478	0.00807443	0.00743679	0.00782651	0.00454715	0.00485293	0.00387973	0.00297511	0.0024443	0.00202674	0.00230018	0.00364993	0.00417366	0.0109739	0.0106808	0.0118081	0.0249792	0.0290093	0.0151075	0.0236304	0.0255561	0.0367573	0.0661975	0.060106	0.0717441	0.0771467	0.0537065	0.0155162	0.0252915	0.0227535	0.033069	0.0182686	0.0160567	0.00929524	0.0128148	0.0144493	0.00999062	0.0202236	0.0587843
