 	b	á	a	á	w	o	l	i	m	í	s	á	l	a	l	á	n	g	o	n	d	a	y	í	k	ώ	ώ	y	é	</S>
ils	0.233747	0.20827	0.178414	0.0678068	0.0128161	0.00502327	0.00895868	0.00614493	0.00257384	0.003462	0.00527403	0.00966794	0.01544	0.0133736	0.0137854	0.0132454	0.0132152	0.0191768	0.0204221	0.0167297	0.0192191	0.0179327	0.0149372	0.0160857	0.0147655	0.0102206	0.0113027	0.00920807	0.0102769	0.00850515
ont	0.0377882	0.0365883	0.0308278	0.02731	0.0402778	0.0489861	0.066218	0.0243236	0.0275632	0.0627092	0.0717678	0.0413331	0.0389165	0.0181007	0.0199226	0.032708	0.0341987	0.0530364	0.0474104	0.0565961	0.0572182	0.0422905	0.0189921	0.0167142	0.0172832	0.010297	0.0061979	0.00470896	0.00469786	0.00501729
souffert	0.0167993	0.0135295	0.020923	0.021388	0.0439109	0.013613	0.0152368	0.0193805	0.0237073	0.0391418	0.0488117	0.0662077	0.0824706	0.0911162	0.0685545	0.069941	0.0477273	0.0347142	0.0278326	0.0250031	0.0253307	0.0266758	0.0243198	0.0241698	0.0241167	0.0243761	0.0180108	0.0109671	0.0125555	0.0194688
pour	0.0151197	0.0188969	0.0250285	0.0244596	0.0317915	0.0268882	0.022375	0.0345145	0.0211396	0.0276652	0.02804	0.0320518	0.0332868	0.0388692	0.0440063	0.0659249	0.0508894	0.043088	0.0416361	0.0351461	0.0393913	0.0412169	0.0494904	0.0452036	0.0377478	0.0386965	0.0278252	0.0186434	0.0188875	0.0220799
labourer	0.00781297	0.00651979	0.00660182	0.0106872	0.0226903	0.0279367	0.030449	0.0306108	0.0319643	0.0325696	0.033477	0.0363742	0.0344992	0.032652	0.0336782	0.0344521	0.0359896	0.035869	0.0321346	0.0345957	0.0293894	0.0347384	0.0293527	0.0312585	0.0344191	0.0376909	0.0456281	0.0521333	0.0654806	0.088345
ce	0.0133383	0.0122589	0.0118164	0.0156173	0.021261	0.0242976	0.0304872	0.0391051	0.0387968	0.0419117	0.0493298	0.0411307	0.0403032	0.0311754	0.0332813	0.0292345	0.0259375	0.026841	0.0200544	0.021201	0.021009	0.025149	0.0257151	0.0341183	0.0375827	0.0469878	0.0490753	0.0553156	0.0533791	0.0842889
champ	0.0193283	0.013832	0.0128278	0.0154316	0.0111043	0.0143576	0.023154	0.030482	0.0198648	0.0219477	0.0159737	0.0165166	0.0171576	0.0177562	0.0227917	0.0225679	0.0253275	0.0304276	0.0362988	0.0293813	0.0309524	0.0381656	0.0514488	0.0448732	0.0442517	0.0522828	0.0616433	0.0744138	0.0763308	0.109109
de	0.0141913	0.0130651	0.0187437	0.0269346	0.0256551	0.0297274	0.0343021	0.0354075	0.0301142	0.0341429	0.0242915	0.0282599	0.0164174	0.0172772	0.0279066	0.0298677	0.0253216	0.0224532	0.0242747	0.0217933	0.0132254	0.0175244	0.0129688	0.0173216	0.0256645	0.0490949	0.0718609	0.0905711	0.0855817	0.11604
manioc	0.0399593	0.0306141	0.0257924	0.0206725	0.016707	0.00945216	0.0109321	0.00802761	0.00644148	0.00658539	0.00577395	0.00554382	0.00458601	0.00737622	0.00730335	0.0171114	0.0118557	0.0174655	0.0200943	0.0229723	0.0216293	0.034708	0.0411855	0.0580338	0.0618933	0.0806395	0.0858484	0.0919049	0.103296	0.125595
</S>	0.0364239	0.0236263	0.0284633	0.0189834	0.016781	0.00974684	0.00848632	0.00736681	0.00705974	0.00725563	0.00735352	0.00731432	0.00654572	0.00831066	0.00791483	0.00931092	0.0101415	0.0117113	0.0155274	0.0183485	0.0188107	0.0302352	0.0302047	0.0494775	0.0666061	0.0955455	0.103664	0.0960905	0.0947214	0.147972
