 	a	y	ú	r	u	b	á	a	k	a	n	g	á	i	k	ώ	ώ	m	á	w	o	y	o	</S>
les	0.148481	0.156527	0.0649768	0.0173339	0.00750272	0.00525711	0.0107033	0.0145061	0.0219309	0.0734181	0.123349	0.0558638	0.0687747	0.0248682	0.0304441	0.0274332	0.0161403	0.0186756	0.0244196	0.0193097	0.0296847	0.0125118	0.0148992	0.0129894
femmes	0.0183343	0.0335316	0.056316	0.154454	0.224096	0.176302	0.0833571	0.0910581	0.0363543	0.0329031	0.0187136	0.00421087	0.0119512	0.0050316	0.00407043	0.0086537	0.0069374	0.00589797	0.00383268	0.00608196	0.0045113	0.00377279	0.00387913	0.00574926
emballent	0.0176795	0.0229309	0.028415	0.0347943	0.0203071	0.0220476	0.0528334	0.0700991	0.0971431	0.0849802	0.0668579	0.0665156	0.0684605	0.0928359	0.0402371	0.0347938	0.0314725	0.0231929	0.0277189	0.0259686	0.0208817	0.0153292	0.0180317	0.0164735
du	0.0810595	0.0848284	0.056496	0.0324615	0.0364027	0.0141858	0.019388	0.0119686	0.0229194	0.0691033	0.071897	0.0986731	0.0601533	0.0111526	0.0181665	0.00731027	0.00501711	0.00971108	0.0153448	0.034243	0.0493188	0.0499891	0.0766814	0.0635287
manioc	0.0340962	0.0419106	0.0662013	0.0565434	0.0453036	0.0270358	0.0315818	0.0243387	0.0272482	0.0668251	0.106273	0.0800156	0.038671	0.0113112	0.0259043	0.0149185	0.0168597	0.0215611	0.0417545	0.0274208	0.0478187	0.0443663	0.0424533	0.0595879
avec	0.0839443	0.129702	0.103344	0.0549863	0.0466083	0.0196085	0.0270573	0.0210917	0.0225562	0.0711547	0.0644172	0.0504546	0.0177501	0.0091503	0.00756548	0.00594203	0.00872934	0.0109688	0.025228	0.0285034	0.0310615	0.0465693	0.0461787	0.0674285
les	0.0426867	0.025071	0.0188668	0.0299376	0.0352412	0.0391847	0.0514812	0.0440663	0.0590349	0.0472145	0.0360213	0.0361373	0.0176913	0.0284624	0.023807	0.0163961	0.0140395	0.0307454	0.0501809	0.0593569	0.0482274	0.0530977	0.068026	0.125026
feuilles	0.0360573	0.0426354	0.0443416	0.0438822	0.040478	0.030017	0.027225	0.0150423	0.010733	0.0247955	0.0323025	0.0270286	0.0361108	0.00541962	0.0155724	0.0118175	0.0101975	0.0225847	0.0209566	0.0238472	0.100113	0.0770445	0.139782	0.162016
sauvages	0.0275654	0.044879	0.0493776	0.0515898	0.0455436	0.0259639	0.0334265	0.0188111	0.026142	0.0319281	0.0227835	0.0426753	0.0216287	0.0212543	0.023136	0.0158793	0.0175589	0.0338721	0.0351317	0.0464288	0.0802392	0.0573943	0.120392	0.106399
awoyo	0.0211624	0.0342675	0.0397101	0.0392656	0.0430912	0.0317066	0.0297091	0.0177397	0.0115365	0.0217431	0.0237181	0.0315761	0.0301618	0.00341295	0.0136748	0.0106733	0.00797503	0.0232031	0.0224475	0.0328916	0.110306	0.0760863	0.147941	0.176001
</S>	0.0416508	0.069522	0.0698738	0.0537426	0.0453474	0.017348	0.0239282	0.0145037	0.0154848	0.0226173	0.0373494	0.0650461	0.0254	0.00982186	0.0134092	0.0106867	0.0106984	0.0155479	0.0162164	0.0302884	0.0591913	0.066423	0.114425	0.151478
