 	e	b	v	ε	έ	y	é	é	t	ó	n	g	í	w	a	m	í	b	é	r	a	l	á	s	w	é	é	d	i	p	á	m	i	k	a	á	</S>
le	0.00906507	0.0140302	0.0126226	0.0209531	0.0235108	0.0359071	0.0318198	0.032811	0.0352618	0.0316988	0.0257887	0.0414	0.0420276	0.0456299	0.051654	0.0471122	0.0309759	0.0320838	0.0346599	0.0160941	0.0245613	0.0243444	0.0122327	0.0098338	0.00799463	0.00994353	0.00766352	0.0111138	0.0162135	0.0144705	0.025138	0.0406085	0.0480251	0.0447294	0.0367797	0.026702	0.0245389
panier	0.0193011	0.0740917	0.111995	0.1024	0.0687034	0.0684162	0.0386742	0.0576346	0.00912897	0.0108652	0.00786526	0.0124911	0.0459875	0.0164485	0.035326	0.0423207	0.0141667	0.00911953	0.0121588	0.0031178	0.00661734	0.00510386	0.00178652	0.00110139	0.00653557	0.0052818	0.00859633	0.0440918	0.0251155	0.00468236	0.0217272	0.0221346	0.0409782	0.0209457	0.0187695	0.00384451	0.00247531
qu'	0.12938	0.0463771	0.0332453	0.0105995	0.00965452	0.0159056	0.009713	0.0151839	0.0136858	0.0185079	0.024373	0.0318046	0.0336987	0.0324086	0.0274685	0.0212739	0.0309927	0.0509995	0.0376381	0.0448775	0.0391725	0.0189395	0.0215753	0.0319763	0.019864	0.0139892	0.0304592	0.0253409	0.0443266	0.0242596	0.0362939	0.0125604	0.0119671	0.00782054	0.00538346	0.00973893	0.00854519
il	0.0222581	0.0221854	0.0239795	0.0221767	0.0267936	0.0452045	0.0251488	0.0530296	0.0335636	0.0409419	0.0197251	0.0248435	0.0114694	0.00631033	0.00875522	0.016129	0.0387101	0.0547447	0.0741598	0.0401228	0.0673413	0.06675	0.0170436	0.0243665	0.0186008	0.0162807	0.0286577	0.0278862	0.0194324	0.0227359	0.0136811	0.0117388	0.00806671	0.0094824	0.00598227	0.00810156	0.0236004
a	0.0751732	0.0459552	0.0415582	0.0389071	0.0331063	0.0533644	0.0365277	0.0226	0.0235867	0.0154833	0.0244096	0.0267782	0.0112109	0.0099595	0.0134529	0.0197356	0.0167834	0.0364622	0.0353821	0.0347565	0.0355217	0.0275808	0.0225472	0.0549297	0.0225385	0.0159934	0.0282213	0.0370514	0.0349659	0.0346776	0.0175038	0.00668517	0.00704178	0.0064764	0.00357756	0.0127893	0.0167057
fabriqué	0.0534805	0.0427484	0.0516042	0.0555601	0.0542034	0.06695	0.0516995	0.0494674	0.0433401	0.0247577	0.0592306	0.0385403	0.00941276	0.0078154	0.00941246	0.0137206	0.0135928	0.0187276	0.0150023	0.0153036	0.0161639	0.0101932	0.0111614	0.0290606	0.00949222	0.00554417	0.0163107	0.0138325	0.0169664	0.0250078	0.017079	0.0141543	0.0111605	0.0105303	0.00945344	0.0342664	0.0550534
pour	0.0696655	0.0435036	0.0398612	0.0260918	0.0308586	0.0307859	0.025942	0.0207285	0.021627	0.0110799	0.0198793	0.0131513	0.00557915	0.00646323	0.0069689	0.0138317	0.0076267	0.0167476	0.0197625	0.0200131	0.0213903	0.025549	0.0197829	0.0484575	0.0245729	0.0137591	0.0289643	0.0269747	0.0413092	0.0460684	0.0261457	0.0289118	0.0150712	0.0174519	0.0284875	0.050656	0.0862802
transporter	0.0884596	0.0624658	0.0661681	0.0917987	0.108169	0.0914875	0.0697166	0.0455977	0.0381239	0.0192936	0.0278975	0.0127166	0.00919177	0.00937988	0.0134361	0.015834	0.00661993	0.00919355	0.00622873	0.00847273	0.00763785	0.00582727	0.00516068	0.00713339	0.0132952	0.00148682	0.00165854	0.00170861	0.00352009	0.00409533	0.00313334	0.0122584	0.00946461	0.00944202	0.0189825	0.0290318	0.0659124
du	0.0392429	0.029438	0.029359	0.0347674	0.039045	0.0421874	0.0482204	0.0561047	0.0483779	0.0398148	0.0614682	0.0505608	0.0214822	0.017984	0.015682	0.0140917	0.0173407	0.0197044	0.0210806	0.0184945	0.0178035	0.0120034	0.0114948	0.0181712	0.025903	0.0173496	0.0144262	0.0186609	0.00880809	0.0160291	0.0108806	0.0154561	0.0102817	0.00787813	0.0191783	0.0222242	0.0890048
poisson	0.0297185	0.0320243	0.0330149	0.0281048	0.0244652	0.016174	0.0195831	0.0224919	0.0182434	0.0219752	0.0211737	0.0184069	0.01236	0.00894123	0.0156788	0.0224624	0.0267608	0.0287598	0.0363144	0.0433862	0.0358534	0.0276724	0.0219131	0.0316332	0.0208931	0.0457439	0.0386143	0.0416652	0.0114766	0.0117474	0.00819981	0.0208659	0.0190785	0.0189254	0.043501	0.0315536	0.0906236
n'	0.102676	0.0679859	0.0509088	0.037021	0.0325322	0.015303	0.0167848	0.0192265	0.01858	0.0180727	0.0149154	0.00693854	0.0032341	0.00276731	0.00544787	0.00902111	0.0287163	0.0330571	0.0449369	0.0632099	0.049077	0.0297811	0.0265627	0.037143	0.0250566	0.0396931	0.0318094	0.0145026	0.00329	0.00308073	0.00129655	0.00330461	0.0046889	0.00443423	0.0199322	0.0206017	0.0944101
est	0.22562	0.111575	0.0684003	0.0359314	0.0360954	0.0129645	0.00879139	0.0127159	0.0136737	0.0239465	0.00886945	0.0107248	0.009165	0.00592597	0.00861562	0.00998966	0.0145061	0.0209552	0.0233795	0.0363632	0.0246702	0.0279657	0.0219041	0.0240206	0.0302223	0.0108428	0.0122528	0.00640536	0.00349856	0.00156169	0.00110859	0.0031928	0.004451	0.00409994	0.0196076	0.0166277	0.0893594
pas	0.222842	0.0625986	0.0384604	0.0190949	0.0132615	0.00719949	0.00492271	0.00403782	0.00411002	0.0070536	0.00551262	0.0101485	0.0164251	0.0134448	0.0217002	0.0370985	0.0294683	0.0406784	0.0199411	0.0176497	0.0166497	0.0192167	0.0138606	0.0200574	0.0121008	0.00692872	0.00677281	0.0235509	0.0125842	0.00813028	0.00692876	0.010459	0.0182579	0.0141427	0.0622355	0.0170994	0.135377
solide	0.106476	0.0588623	0.048056	0.0340207	0.0325206	0.0159456	0.0112027	0.00998334	0.00894017	0.0106356	0.0099592	0.00968386	0.00589241	0.00585888	0.00647187	0.00902804	0.00460733	0.0106839	0.00967391	0.0137836	0.0156621	0.0144018	0.0120565	0.0181953	0.017579	0.0152829	0.0194356	0.0172274	0.028959	0.0191106	0.0282401	0.041489	0.0475254	0.0419975	0.0919532	0.049417	0.0991815
</S>	0.107488	0.0927427	0.0666527	0.0496212	0.042138	0.0260103	0.0259412	0.0224689	0.020635	0.0316295	0.0183864	0.0146197	0.0103995	0.00573526	0.00685868	0.0060653	0.00480807	0.00840111	0.0103936	0.0175576	0.0206487	0.0154878	0.0118532	0.0142257	0.018489	0.0126996	0.0107143	0.009976	0.0136341	0.0123726	0.00605685	0.020853	0.0325405	0.0348203	0.0657101	0.0325916	0.0787737
