 	o	p	ε	p	ε	ó	b	é	r	i	m	w	a	n	d	z	á	m	á	n	d	é	e	y	á	o	t	s	έ	i	n	g	o	n	d	a	</S>
le	0.00884716	0.0114976	0.0139884	0.0178937	0.0213764	0.0165843	0.0294157	0.0300351	0.0425873	0.0403031	0.0522172	0.0942441	0.0575585	0.083623	0.0383039	0.0391233	0.0220057	0.0171802	0.0115567	0.0158408	0.0163582	0.0231205	0.0136059	0.0110451	0.0177164	0.0148571	0.0148912	0.0180521	0.0114331	0.0145053	0.0178125	0.0231883	0.0225086	0.0283965	0.0331872	0.0320976	0.0230419
vent	0.0263773	0.0501693	0.109203	0.164868	0.153198	0.077339	0.051246	0.042121	0.0396207	0.0323366	0.0177731	0.0166553	0.0179931	0.0234113	0.0137582	0.00678669	0.00541675	0.00412284	0.00452324	0.00446674	0.00185803	0.00500212	0.00348898	0.00419293	0.00634483	0.0102145	0.00916673	0.0138753	0.00931545	0.0132333	0.015431	0.0202626	0.00980414	0.00821878	0.0043558	0.00233429	0.00151564
a	0.0321311	0.0189542	0.0241813	0.0233736	0.0310522	0.03783	0.037835	0.033534	0.036249	0.0291475	0.0230352	0.031503	0.0104264	0.0176347	0.0245527	0.0270998	0.0717484	0.0421023	0.0352295	0.0244923	0.0167225	0.0219577	0.0221142	0.0219737	0.0250856	0.0318466	0.0277974	0.0333989	0.029774	0.0378714	0.0160873	0.0198107	0.0172378	0.022836	0.0180333	0.0172616	0.00807927
emporté	0.0257364	0.0367196	0.0473812	0.0493736	0.052042	0.0720346	0.0430269	0.0316053	0.0252913	0.0143025	0.023702	0.0137441	0.0106027	0.0140769	0.0118721	0.0258439	0.0486012	0.0594208	0.0313029	0.0308382	0.0303162	0.0269571	0.0286009	0.0315276	0.0237645	0.0148909	0.0136707	0.013845	0.00791003	0.0094592	0.0080596	0.00918508	0.0124488	0.0123379	0.0160089	0.0211345	0.0523647
la	0.0148039	0.0111446	0.0130523	0.0124817	0.0143642	0.0124099	0.0097358	0.00781994	0.00601912	0.00364019	0.00533851	0.00799713	0.00402978	0.00604942	0.00501077	0.0088482	0.0148072	0.0222781	0.0256992	0.0260759	0.0457856	0.0477888	0.0488088	0.0534731	0.0652841	0.0709144	0.081682	0.0795746	0.0806025	0.0454713	0.0245172	0.0172203	0.0169182	0.0144648	0.0172506	0.0227397	0.0358983
toiture	0.00847904	0.0100395	0.00815021	0.00641919	0.00654611	0.00710977	0.00706253	0.0064952	0.0069444	0.00673757	0.00768553	0.00655602	0.00662832	0.0221465	0.0064089	0.0160081	0.0121085	0.0248134	0.0332615	0.0456951	0.0373828	0.0798703	0.0363611	0.0530564	0.0543249	0.0523003	0.0585608	0.0551016	0.0574522	0.0614227	0.0457934	0.0320016	0.0212352	0.0240221	0.0201072	0.0199737	0.0357384
de	0.0383109	0.0252349	0.0175163	0.0125075	0.0124061	0.0125615	0.01114	0.011146	0.011975	0.0116879	0.0118118	0.0131423	0.00982632	0.0126675	0.00677652	0.023269	0.0215436	0.056487	0.044449	0.0521272	0.0420177	0.040566	0.059963	0.0681759	0.0469588	0.026257	0.0355792	0.0317667	0.0278633	0.039976	0.0263664	0.0171881	0.0176035	0.012966	0.0158111	0.025344	0.0490112
la	0.0328555	0.0288858	0.026148	0.0306401	0.0315135	0.0328973	0.0372183	0.0338518	0.0294027	0.0181997	0.0184864	0.0190356	0.0149363	0.0225804	0.0145463	0.02705	0.0281539	0.0362235	0.0322876	0.0251403	0.0304112	0.0247386	0.034496	0.0423767	0.0315198	0.0278025	0.0249726	0.022123	0.0113008	0.020637	0.0151034	0.00981294	0.0165305	0.0152418	0.0225394	0.0352163	0.075124
maison	0.0549485	0.0583071	0.050122	0.0393205	0.0276496	0.0122221	0.0145316	0.0200359	0.0235427	0.0270293	0.0177729	0.0156336	0.015137	0.0190329	0.0216305	0.0318337	0.0136414	0.0452183	0.0168101	0.0192787	0.0274726	0.014824	0.0355551	0.0354637	0.0185502	0.0177921	0.0181362	0.0166532	0.0155972	0.0139239	0.0175862	0.0103316	0.0125901	0.011147	0.0165528	0.035174	0.138952
du	0.117241	0.0746899	0.0540641	0.0375654	0.0252849	0.0169535	0.0162386	0.0202426	0.022056	0.0219176	0.0106196	0.00449043	0.00383211	0.00419224	0.00434975	0.0133121	0.0151895	0.0498557	0.0350541	0.0452959	0.026686	0.0158599	0.0351935	0.032722	0.0217363	0.0132954	0.0111722	0.0101037	0.00311413	0.00791308	0.00769172	0.00686933	0.0119903	0.0118675	0.0203405	0.0409828	0.130017
cultivateur	0.0974892	0.0549343	0.0367523	0.0209818	0.0123153	0.00561846	0.00479286	0.00520723	0.00642734	0.00623498	0.00516278	0.00695749	0.00550151	0.00711944	0.00893593	0.0182897	0.0222902	0.0438858	0.0273977	0.0233519	0.0293922	0.0113607	0.043448	0.0363109	0.014546	0.010922	0.0100429	0.00839124	0.00555855	0.0109633	0.0239547	0.0180203	0.0249648	0.0240059	0.0298383	0.0855124	0.193122
</S>	0.0670252	0.0424148	0.0339109	0.0241115	0.0213051	0.0127862	0.0116556	0.0105905	0.0108661	0.0108587	0.00642087	0.00811321	0.00477583	0.00697295	0.00720638	0.012496	0.0229141	0.0366716	0.0202083	0.0350019	0.0409759	0.0177613	0.0504433	0.0324896	0.0299154	0.0214651	0.0186961	0.0194855	0.0163078	0.0171903	0.0167971	0.0234469	0.0224971	0.0250167	0.0400755	0.0543878	0.146743
