 	w	a	b	ó	l	á	a	b	έ	έ	n	g	é	n	y	a	m	í	s	a	b	h	i	</S>
il	0.030485	0.15782	0.185795	0.363948	0.203026	0.0327527	0.0101187	0.00278293	0.000368786	0.000362654	0.000539245	0.000741302	0.000805632	0.000945009	0.000900263	0.000989398	0.00105481	0.00111458	0.00111404	0.00102301	0.000873693	0.000994053	0.000921933	0.000523539
est	0.0192312	0.0145183	0.0201644	0.0217243	0.0137761	0.0175848	0.0174308	0.0717115	0.178814	0.141605	0.101896	0.0235092	0.0529853	0.0281331	0.0369367	0.0582886	0.00958898	0.0447521	0.0279998	0.0235887	0.0156246	0.00779164	0.0129283	0.0394163
en	0.0505467	0.0551307	0.05683	0.0590349	0.0708186	0.057037	0.047052	0.0615097	0.0420009	0.0434837	0.0255741	0.0218291	0.0176853	0.0152332	0.0166527	0.0215007	0.0249044	0.0432503	0.039137	0.0407914	0.0323322	0.0433806	0.0567861	0.0574987
train	0.0160063	0.012419	0.0170516	0.0124977	0.0113986	0.0124073	0.0112291	0.0114694	0.011984	0.0494677	0.158295	0.0762933	0.0416167	0.0363357	0.0338062	0.0410408	0.06044	0.0410981	0.042403	0.0529298	0.056934	0.0510701	0.0621108	0.0796959
de	0.00924482	0.01196	0.0142715	0.0109644	0.0166903	0.01542	0.00979699	0.00808272	0.0311586	0.0371717	0.0454473	0.0322313	0.0436315	0.0332807	0.0616376	0.0524072	0.0435878	0.0319491	0.0342107	0.0275551	0.0276219	0.0699846	0.0747532	0.256941
faire	0.0274279	0.0230182	0.0317485	0.0315897	0.0230962	0.0124747	0.0124146	0.0124989	0.019918	0.0283211	0.0331129	0.0384557	0.0416411	0.0362323	0.0421615	0.0563154	0.0580688	0.0526081	0.0566761	0.064275	0.063771	0.0878139	0.0907141	0.0556464
craquer	0.0301735	0.0271048	0.0330413	0.034106	0.0285602	0.0273257	0.0299664	0.0386605	0.0386642	0.0356448	0.032916	0.0220165	0.0223048	0.0265131	0.0315128	0.0285581	0.0429058	0.0435169	0.051557	0.0450337	0.048916	0.0506161	0.0891196	0.141266
ses	0.0242039	0.0375733	0.0338011	0.0378728	0.0316898	0.0289697	0.0275075	0.0253876	0.0248436	0.0231353	0.0217443	0.0139002	0.0130792	0.014136	0.0168967	0.0147114	0.0231198	0.0307386	0.0488252	0.0476245	0.0658572	0.0705992	0.126376	0.197407
doigts	0.0193591	0.0294492	0.0311714	0.0319986	0.0239868	0.024279	0.0226903	0.0176011	0.0111461	0.0148672	0.0255187	0.0174921	0.012861	0.0192952	0.027256	0.022483	0.0370162	0.0484991	0.0742261	0.069046	0.0798358	0.0890194	0.0905754	0.160327
</S>	0.0294906	0.0455413	0.0504084	0.0360335	0.0374299	0.0292618	0.0265082	0.0343976	0.052379	0.0602229	0.0461852	0.0186485	0.00965936	0.0117853	0.0130879	0.0116824	0.0302441	0.02335	0.0393497	0.035258	0.0390117	0.0590587	0.0855356	0.17547
