 	b	á	n	a	b	á	l	e	k	ώ	ώ	l	i	b	á	a	t	i	á	m	ó	n	d	z	ó	r	o	b	v	ú	a	y	ó	y	é	s	i	i	b	í	n	í	y	í	a	l	í	s	i	d	á	</S>
les	0.0423706	0.0853644	0.0651387	0.0299947	0.0230524	0.0150715	0.0139375	0.0126274	0.0303988	0.0262828	0.043672	0.0330033	0.0300097	0.0275465	0.0334504	0.0277604	0.0498251	0.0448145	0.0204112	0.0142045	0.00688058	0.00599357	0.00609201	0.0046633	0.00519611	0.00559821	0.00702742	0.00731157	0.0092496	0.00790438	0.0094326	0.00984412	0.00866619	0.0085676	0.00761449	0.00778922	0.00686814	0.00541895	0.00553529	0.00667282	0.00532689	0.00603096	0.0108412	0.00869414	0.0113738	0.015489	0.0225389	0.0228195	0.0238976	0.0222619	0.0254233	0.0140401
élèves	0.0556185	0.0464794	0.0649236	0.120816	0.0618155	0.0463369	0.0220438	0.0152416	0.0351444	0.023018	0.0113504	0.00389812	0.00337909	0.00534318	0.00741898	0.0116233	0.015953	0.0152709	0.0166586	0.00615458	0.00712375	0.00622243	0.00356145	0.00490271	0.00421754	0.00508507	0.00566767	0.00385797	0.00466116	0.00437264	0.00458485	0.00506305	0.00313366	0.00656335	0.004534	0.00850862	0.0151393	0.00954067	0.0254369	0.0217696	0.031379	0.0328618	0.0290249	0.0283621	0.0358592	0.0285882	0.0180509	0.0153379	0.0150348	0.010153	0.00855991	0.00435442
parlent	0.025632	0.0176029	0.0215023	0.0163565	0.0176361	0.0147004	0.0151482	0.0141852	0.0254634	0.0305945	0.0202788	0.0381219	0.0258338	0.0226664	0.022937	0.0173435	0.0123729	0.00635423	0.00660401	0.00708753	0.00765286	0.00732068	0.00653797	0.00691065	0.00826843	0.00984728	0.0185361	0.0258559	0.0244002	0.0236611	0.0213754	0.0197672	0.0203769	0.0271376	0.0241724	0.0139588	0.0174289	0.0196815	0.021065	0.0203581	0.0156523	0.0184797	0.0239834	0.0403912	0.0305877	0.0274727	0.0217693	0.023124	0.0218537	0.0241752	0.0197467	0.0100294
à	0.00871458	0.0124523	0.0115421	0.0112196	0.00798272	0.00864498	0.0107036	0.012957	0.0149601	0.0140847	0.0142591	0.0161599	0.0154335	0.0159377	0.0145953	0.0161474	0.0149088	0.0156019	0.0159715	0.0141278	0.0193014	0.0260006	0.0263008	0.0258488	0.0275346	0.0285097	0.0274352	0.0248571	0.0224958	0.0273665	0.0231099	0.0252251	0.0225635	0.0255815	0.0222134	0.0202914	0.0262655	0.0227879	0.0234115	0.0193918	0.0185687	0.0175124	0.0147264	0.0128051	0.0151089	0.0151909	0.0169899	0.0288195	0.0219573	0.023574	0.0266123	0.035238
propos	0.0190695	0.00957711	0.00888983	0.0106022	0.0135433	0.013338	0.014062	0.0138867	0.0161112	0.0150597	0.0151761	0.0152856	0.0149129	0.0172297	0.014209	0.0162845	0.0128387	0.0154415	0.0163865	0.0148734	0.0186874	0.0253337	0.0252552	0.0362684	0.0302716	0.0328613	0.0253953	0.0273814	0.020271	0.0242974	0.0243443	0.0221587	0.0244321	0.0240438	0.016518	0.0262038	0.0192804	0.0273647	0.0211828	0.0227478	0.0274877	0.0232576	0.0218859	0.0184316	0.0151535	0.0130452	0.0191509	0.0135697	0.0197787	0.0137023	0.0156539	0.0178065
de	0.0109865	0.0106812	0.00820287	0.0161169	0.0208004	0.0232264	0.0248675	0.0254507	0.0259039	0.0270293	0.0263893	0.0250237	0.0246162	0.0259764	0.0241593	0.024859	0.0241995	0.0259008	0.0189456	0.0182473	0.0191398	0.0220653	0.0197559	0.0203506	0.0168343	0.0202218	0.0160266	0.014818	0.0128576	0.0148801	0.0121458	0.0123045	0.0117671	0.0146475	0.0120291	0.0110502	0.0154473	0.0168029	0.0149342	0.0143298	0.0128731	0.014509	0.0125481	0.0134385	0.0178453	0.0182136	0.0236122	0.0186386	0.024576	0.0221385	0.0299301	0.0476857
la	0.0074539	0.00589591	0.0071265	0.00597081	0.0067695	0.0061935	0.00687556	0.00969164	0.0128179	0.0105794	0.00879435	0.00991492	0.0088987	0.00901892	0.0073	0.00674908	0.0055062	0.0078215	0.00715047	0.0101928	0.0146064	0.0167972	0.0187738	0.0259525	0.0210665	0.0359317	0.0301257	0.0371809	0.0257691	0.0343239	0.0291418	0.0303832	0.0327199	0.0403094	0.0259002	0.0372364	0.0295074	0.0494898	0.0419494	0.0436489	0.0423833	0.0325662	0.0283853	0.0199723	0.0130984	0.00993305	0.012132	0.00834572	0.0115246	0.00949129	0.0121986	0.0184336
maladie	0.00823626	0.00714514	0.00682861	0.00694549	0.0102279	0.0115887	0.0147759	0.0250909	0.0260076	0.0286235	0.0263013	0.0218511	0.0218161	0.019866	0.0203945	0.0218514	0.0151451	0.0294193	0.0247007	0.0207552	0.0207788	0.0265785	0.0262044	0.0291163	0.0251843	0.030439	0.0236172	0.02332	0.0181613	0.0238767	0.0164306	0.0125269	0.0119972	0.0148384	0.0261896	0.0147355	0.0236457	0.0205501	0.0205206	0.020158	0.0126706	0.0144067	0.00654806	0.00704259	0.00874644	0.0081353	0.00637662	0.00899126	0.0136239	0.0155372	0.0280013	0.0734804
de	0.00968567	0.00360744	0.00455914	0.00471577	0.0115906	0.012738	0.0137156	0.0151643	0.00911909	0.0137582	0.0130124	0.0123715	0.014143	0.012614	0.00930553	0.00822952	0.00649827	0.00926984	0.00970619	0.0167752	0.0135218	0.0283765	0.0239436	0.0280298	0.0203642	0.0293756	0.0271362	0.0265212	0.0299587	0.0411255	0.0275376	0.0290705	0.0303011	0.035404	0.0331444	0.0277434	0.0452794	0.0305661	0.0279967	0.0280639	0.0181703	0.0168508	0.0126087	0.0093728	0.00786065	0.00555234	0.00439734	0.00350494	0.0074655	0.00898733	0.0192375	0.0919523
l'	0.0429784	0.0177294	0.0232538	0.0175658	0.019974	0.0119239	0.01337	0.0156887	0.0134991	0.0164164	0.0139803	0.011764	0.0138862	0.0131297	0.0134381	0.0120339	0.00997301	0.013023	0.0104812	0.0142921	0.0122733	0.0201858	0.0173336	0.0187554	0.0159901	0.0216297	0.0185158	0.018282	0.0159861	0.0240142	0.0160906	0.0187069	0.0214457	0.021242	0.0173606	0.0163405	0.0259659	0.016905	0.0132883	0.0172162	0.0123118	0.0174668	0.0116867	0.0115939	0.0199068	0.0183491	0.0107575	0.00895663	0.0209146	0.0253341	0.041919	0.114874
