 	w	á	á	o	l	á	m	b	í	l	ώ	s	ω	d	í	a	l	í	i	k	ú	n	a	</S>
lorsqu'	0.0958691	0.0732415	0.0730826	0.0454853	0.0331715	0.0268725	0.0166895	0.0181075	0.0184768	0.0198484	0.0227353	0.0251679	0.0530739	0.0774889	0.07968	0.0789374	0.0796186	0.034484	0.0314775	0.0237499	0.0204144	0.019203	0.0177877	0.0153367
on	0.0540369	0.0412337	0.0325591	0.049132	0.0468624	0.0402028	0.0861463	0.0480337	0.0702874	0.0228056	0.0287898	0.0109732	0.0195126	0.0189996	0.0196347	0.0288055	0.0361007	0.0163187	0.0290605	0.0377353	0.0336012	0.0425099	0.0689955	0.117663
prépare	0.0103531	0.00704627	0.00966657	0.0111228	0.0174492	0.0151464	0.0204024	0.03618	0.0697708	0.0658031	0.080224	0.100226	0.118484	0.0497537	0.046283	0.0266415	0.021239	0.0248392	0.0273469	0.0318325	0.0292894	0.0467094	0.0624194	0.0717711
le	0.00893345	0.00907571	0.00929949	0.0132006	0.018598	0.0374575	0.0264887	0.0292461	0.0348892	0.0335953	0.055455	0.0658814	0.102666	0.0530648	0.0283877	0.03041	0.0358624	0.044941	0.0410367	0.0543157	0.0539715	0.0536709	0.074587	0.0849657
riz	0.0150801	0.0182996	0.0171079	0.0173744	0.016289	0.0173181	0.0291381	0.0371474	0.031926	0.0594286	0.0356497	0.0439987	0.0450662	0.0254657	0.0307856	0.0342794	0.0334043	0.0397906	0.0471883	0.0425805	0.0471117	0.0493925	0.0791835	0.186994
il	0.017379	0.0175168	0.0170564	0.0200213	0.0204348	0.0241257	0.0275465	0.0450082	0.0419659	0.0467759	0.0420446	0.0399314	0.033107	0.022505	0.0263313	0.0267736	0.0270707	0.0266258	0.0269011	0.0351457	0.0396103	0.0735056	0.109833	0.192784
augmente	0.0224953	0.0196345	0.0187513	0.0222354	0.0216189	0.0214173	0.0262411	0.0323546	0.0217776	0.024669	0.021107	0.011356	0.015683	0.0193666	0.0144317	0.021947	0.0424222	0.0371492	0.0539946	0.0827345	0.100388	0.101571	0.112009	0.134645
de	0.0181612	0.0168685	0.0142191	0.0218833	0.0209264	0.023581	0.0278163	0.036572	0.0327873	0.0388145	0.034102	0.0314787	0.030458	0.0233997	0.0119176	0.0190183	0.0303421	0.0277712	0.0352883	0.0583535	0.0712146	0.0992253	0.113749	0.162052
volume	0.020377	0.0203431	0.0166395	0.0270214	0.0239622	0.0217256	0.0253467	0.0228143	0.0152273	0.0132379	0.0105163	0.0105225	0.0145669	0.0158002	0.0196972	0.03065	0.0461772	0.0482883	0.0653068	0.094789	0.101733	0.110943	0.110092	0.114223
</S>	0.02878	0.0265679	0.0223274	0.035983	0.0303942	0.0270854	0.0319788	0.0269164	0.0166835	0.0139988	0.0121357	0.0121161	0.015561	0.0168951	0.0128831	0.0164375	0.0247685	0.0256011	0.0373122	0.0615521	0.0772648	0.129302	0.142779	0.154676
