 	n	g	ó	o	á	d	z	a	l	á	a	s	é	é	s	á	n	g	á	l	i	y	ó	l	o	m	í	d	z	w	a	l	á	l	e	k	ώ	ώ	l	i	</S>
ma	0.0378227	0.0388931	0.0149895	0.0121358	0.0112081	0.0128697	0.0129295	0.0136996	0.0285657	0.016345	0.0101779	0.0146801	0.0403572	0.0299661	0.0345627	0.0473315	0.0437015	0.0393316	0.0403622	0.0394972	0.0259321	0.0298905	0.0288313	0.0156698	0.00823778	0.00696886	0.00539101	0.0080921	0.01286	0.01123	0.0212746	0.0226033	0.0315163	0.0151579	0.0322604	0.0283327	0.0246139	0.0334838	0.0351284	0.0350828	0.0280155
mère	0.343431	0.157314	0.154092	0.0450363	0.0807329	0.0485321	0.0447159	0.0340777	0.0199372	0.00442217	0.00310041	0.00162227	0.00159404	0.000953502	0.000880114	0.00215378	0.00153476	0.00301452	0.00248518	0.00383449	0.00229927	0.00164989	0.00232244	0.00406192	0.0128302	0.00400491	0.00185489	0.00379233	0.00257711	0.00299319	0.000948364	0.00264414	0.000904847	0.000659417	0.000483189	0.000455279	0.000543332	0.000470358	0.000457671	0.000384599	0.000198531
me	0.010379	0.0210049	0.0353598	0.030844	0.0181684	0.0197628	0.0160038	0.0235623	0.025023	0.030146	0.0440178	0.0649377	0.046927	0.0523998	0.0746965	0.108076	0.0650172	0.0677134	0.0634627	0.0314993	0.0188659	0.023772	0.0074196	0.00794782	0.00964655	0.00748744	0.00820736	0.00345392	0.00279852	0.00427284	0.00476415	0.00453716	0.00572521	0.00560927	0.00448923	0.0044966	0.00541745	0.00471565	0.00745531	0.00539711	0.00451915
réveillait	0.0173345	0.0122555	0.0141294	0.0131131	0.0147505	0.0183933	0.0153716	0.0136545	0.0115752	0.011972	0.0133854	0.0225335	0.0387812	0.0364957	0.0329863	0.0471241	0.041927	0.0523012	0.0602706	0.0410438	0.0390663	0.0355018	0.0382053	0.0484093	0.0354313	0.0238173	0.0141891	0.0117477	0.0170558	0.015879	0.0070235	0.0167358	0.0083453	0.00852157	0.0168104	0.0156852	0.021067	0.0191149	0.0190275	0.0254691	0.0334988
chaque	0.0168295	0.00885192	0.00922086	0.00765272	0.00840995	0.00664651	0.00955756	0.0121143	0.0102619	0.0139105	0.0244156	0.0370418	0.0295621	0.028179	0.0302512	0.0341622	0.0397322	0.0357695	0.0420865	0.0375127	0.0322549	0.03676	0.0414217	0.0402818	0.034635	0.0300412	0.00953146	0.0159464	0.0278091	0.0180737	0.0232479	0.0320545	0.0262134	0.0218485	0.0254209	0.0220798	0.0286985	0.0244068	0.0254857	0.0176857	0.0239347
matin	0.00809126	0.0071335	0.00753324	0.00697919	0.00846161	0.0130555	0.0109692	0.011112	0.00878707	0.014115	0.0232343	0.0303751	0.0187163	0.0240706	0.0293978	0.0232169	0.0389922	0.0275422	0.0344549	0.0428072	0.04081	0.0399289	0.0492035	0.052263	0.047304	0.0514448	0.0211578	0.0349909	0.0396617	0.0182546	0.0197894	0.0205569	0.0191928	0.0164775	0.0231	0.0143566	0.0154996	0.0155181	0.0192881	0.0174167	0.0347399
pour	0.00919999	0.00821623	0.00839135	0.00797974	0.00906007	0.0137663	0.0113017	0.0120757	0.00987252	0.0125868	0.0171894	0.0166733	0.0110483	0.0134239	0.0118831	0.010775	0.0146984	0.0135764	0.0191438	0.0172704	0.0334934	0.0260259	0.0380549	0.0446253	0.0458451	0.0426932	0.0954728	0.0445288	0.035394	0.0267876	0.0165368	0.028364	0.0215143	0.0207487	0.0340597	0.0246956	0.0281844	0.0304551	0.0315249	0.0344729	0.0483907
aller	0.0202031	0.0150743	0.0137932	0.011388	0.012158	0.0105514	0.00842682	0.00953366	0.00791671	0.00865386	0.0131029	0.0161233	0.0134596	0.0128957	0.0136731	0.014088	0.0151654	0.0182374	0.0247421	0.0184734	0.0338761	0.0230914	0.0348466	0.0328941	0.0370958	0.0311238	0.0510755	0.0222827	0.0190032	0.0300798	0.0176834	0.0221473	0.0203646	0.0194365	0.0290172	0.0313878	0.0399588	0.0455747	0.0543378	0.0610995	0.0659635
à	0.00942019	0.00839953	0.00828431	0.0079409	0.00869486	0.010747	0.00882276	0.00903264	0.0077216	0.00703168	0.00872622	0.008931	0.0119702	0.0119685	0.0104485	0.010039	0.0107369	0.0121962	0.0189408	0.014291	0.0371268	0.0236836	0.0395215	0.0591387	0.0545188	0.0393943	0.0572519	0.0414907	0.0220646	0.0377467	0.0171049	0.0235104	0.0199424	0.0288591	0.043694	0.0391458	0.0411429	0.046642	0.0375952	0.0412017	0.0448805
l'	0.0166458	0.0145685	0.0159087	0.0158741	0.0149022	0.0119371	0.00796875	0.0062823	0.00527919	0.00456317	0.00532466	0.00589527	0.00829795	0.00847532	0.00712977	0.00720686	0.00804708	0.00919908	0.0139216	0.00874343	0.0216251	0.0150961	0.0300327	0.0365304	0.0555866	0.0234792	0.0219735	0.0212107	0.019983	0.0183057	0.0119994	0.0270268	0.017558	0.033442	0.057613	0.0604572	0.0680379	0.0699062	0.0667286	0.0653485	0.0618884
