 	m	o	b	v	έ	m	á	á	k	y	a	n	g	á	l	a	b	í	n	í	a	k	í	n	d	i	n	g	á	l	e	p	á	n	g	e	k	á	a	b	í	n	í	m	b	v	a	m	b	v	a	</S>
malgré	0.00703324	0.00899118	0.00565973	0.00687493	0.0131513	0.022692	0.0250512	0.0351008	0.0276333	0.029526	0.0327655	0.0416555	0.0799614	0.0579755	0.077088	0.0531659	0.0352842	0.0186454	0.013329	0.0138242	0.0104372	0.0188997	0.0105357	0.00825319	0.0101859	0.00806828	0.0087922	0.00416993	0.00596521	0.00704493	0.0101855	0.00643611	0.00822485	0.0107768	0.0132003	0.0103063	0.0075118	0.0148194	0.0157201	0.0176879	0.0130415	0.0116201	0.0193232	0.0175199	0.0187672	0.0190305	0.0152838	0.0156118	0.0108873	0.0170304	0.0163463	0.0129084
tout	0.0172509	0.0115339	0.0128977	0.0118467	0.00716696	0.00603633	0.00708885	0.00600519	0.00908961	0.0192965	0.0197477	0.0227078	0.0368231	0.0200604	0.0887352	0.0718929	0.0584149	0.101665	0.0422866	0.0109857	0.0252139	0.00801657	0.0192507	0.00799103	0.00635252	0.0102045	0.00869703	0.0157372	0.0128193	0.0128331	0.020676	0.029449	0.0246597	0.0346813	0.0259568	0.0256922	0.0188603	0.017841	0.0150233	0.0240509	0.0147659	0.00762375	0.00800131	0.00190242	0.00235204	0.00229838	0.00241159	0.00229286	0.00167611	0.0041911	0.00390932	0.0030365
le	0.0777554	0.050671	0.0553663	0.027875	0.0303459	0.030724	0.0241838	0.0177521	0.0215602	0.0140275	0.00942298	0.0126307	0.00729913	0.00476004	0.00450277	0.00336166	0.00550142	0.00725922	0.0106029	0.0169407	0.0183921	0.0163962	0.0252205	0.0140927	0.0218321	0.0204314	0.016491	0.0185261	0.0221865	0.016789	0.0153364	0.0159845	0.0137983	0.00956221	0.0157094	0.0121206	0.0106784	0.0138228	0.0144952	0.0184454	0.0121808	0.01101	0.0185568	0.0128149	0.019007	0.0226846	0.0271161	0.0380916	0.0182048	0.021419	0.0173644	0.0186963
bien	0.033734	0.0336962	0.0282168	0.0279376	0.0289525	0.0329214	0.0388301	0.046955	0.0376849	0.0254947	0.0241632	0.0256717	0.0220443	0.0238837	0.018093	0.0133291	0.0185229	0.0244664	0.026332	0.0179631	0.0368233	0.0179442	0.0395287	0.0186777	0.0307365	0.0383973	0.0229115	0.0185448	0.0218407	0.0156337	0.0159676	0.0252791	0.019042	0.0151658	0.0135521	0.00716085	0.00473772	0.00521983	0.00646778	0.00364416	0.00250041	0.00272626	0.00417293	0.00368262	0.00454115	0.00651333	0.00363369	0.00540408	0.00431548	0.00835057	0.00714978	0.0208418
que	0.00966579	0.00985396	0.00700932	0.0082294	0.00810384	0.00899918	0.0133039	0.0132469	0.0127454	0.0154491	0.0126027	0.0102999	0.0100225	0.00927398	0.0205989	0.0186795	0.0244801	0.0236287	0.0355402	0.0441805	0.051698	0.0337727	0.0517513	0.031154	0.0306522	0.0332559	0.0178882	0.037741	0.0268196	0.0180056	0.023213	0.0384801	0.035299	0.0368035	0.0252153	0.0199881	0.0152986	0.0120729	0.0129664	0.00833297	0.00906272	0.00924562	0.00614328	0.0110882	0.00999179	0.0108312	0.00749481	0.00732772	0.00809961	0.011508	0.0106962	0.0221886
j'	0.0114259	0.0115632	0.00643818	0.00634156	0.00706666	0.00709856	0.0110824	0.0103071	0.0105745	0.0177289	0.0125743	0.0108498	0.0118924	0.0112298	0.0149675	0.0119589	0.0212745	0.0282039	0.0442373	0.0590652	0.0611194	0.0537193	0.0298405	0.0329958	0.0312233	0.0215778	0.0172816	0.0257402	0.0211829	0.0140094	0.0201367	0.0287435	0.0271664	0.0338764	0.0419474	0.0214053	0.013953	0.0222863	0.0123939	0.0126187	0.0106112	0.0100344	0.0110052	0.00825106	0.0109904	0.00995044	0.0103371	0.00766964	0.00850366	0.0100962	0.0126943	0.020758
ai	0.0249209	0.0216104	0.0142351	0.0139559	0.0110376	0.0114035	0.00998109	0.00922942	0.00708102	0.00763245	0.00485922	0.00363641	0.00595875	0.00544238	0.0113893	0.0112929	0.0114919	0.0182472	0.0177467	0.0169925	0.0257769	0.0286932	0.0255996	0.0297602	0.027896	0.0235081	0.0287959	0.022884	0.0351091	0.0261882	0.0332242	0.0397707	0.0422442	0.0397609	0.043007	0.0381032	0.0282209	0.0314451	0.0274479	0.0173248	0.0145449	0.0121057	0.0091479	0.00812707	0.0121051	0.0116737	0.00832231	0.00912849	0.00889753	0.0152507	0.0163948	0.0213974
fait	0.0327877	0.0275391	0.0196018	0.0196387	0.0152708	0.0147241	0.0113237	0.00698349	0.00577728	0.00813839	0.00669061	0.00471753	0.00591374	0.00571176	0.0197598	0.0152216	0.0145401	0.0230471	0.0206259	0.0150611	0.0348154	0.0191785	0.0536071	0.0221585	0.0234114	0.0299333	0.0219552	0.0247446	0.0259528	0.0162748	0.0221011	0.0291272	0.0290518	0.0239681	0.032097	0.0254103	0.0255547	0.022664	0.0263542	0.0238452	0.0119771	0.0118901	0.0128948	0.00796866	0.0120364	0.0115406	0.0099218	0.0111384	0.0135434	0.0199623	0.0230269	0.0288199
pour	0.0486492	0.0281925	0.0147923	0.0139319	0.0120879	0.0121253	0.0109145	0.00653628	0.00617301	0.0101081	0.00802213	0.00565192	0.00659962	0.00687286	0.0343938	0.0251161	0.0198019	0.0234751	0.0243963	0.0170609	0.029123	0.016785	0.0495509	0.0136302	0.0175497	0.0272775	0.0131517	0.0278367	0.0205537	0.0141841	0.0261704	0.0280657	0.0264277	0.0272122	0.0336329	0.0220032	0.0247132	0.0184849	0.0202346	0.0213406	0.0159963	0.0179906	0.0178815	0.0102733	0.0112347	0.0109637	0.0100749	0.0146023	0.0165984	0.0182393	0.0179363	0.025379
vous	0.0635385	0.0291798	0.0154147	0.0127842	0.0108367	0.00909695	0.00629731	0.00354475	0.00353244	0.00531543	0.00483311	0.00444049	0.00532021	0.00585969	0.0123525	0.0125261	0.00937092	0.0149631	0.0135716	0.0143278	0.0212477	0.0242882	0.039909	0.022551	0.0290493	0.0364003	0.020179	0.029862	0.0344063	0.0228334	0.0295152	0.0255125	0.022493	0.0244102	0.032308	0.0184398	0.0233299	0.0159227	0.0201098	0.0168904	0.0126872	0.0139142	0.012826	0.00896534	0.0109664	0.01274	0.0116705	0.0204287	0.0247518	0.0308499	0.0289981	0.0444378
c'	0.0776972	0.0364567	0.0226214	0.0179597	0.0182855	0.0163966	0.00999336	0.00605088	0.00599782	0.00814606	0.00546621	0.00359363	0.00609975	0.00553142	0.0115462	0.0110102	0.00698086	0.0124809	0.0101824	0.00861484	0.0147057	0.0213892	0.0192005	0.016515	0.0256938	0.0217705	0.0234923	0.0188596	0.0254881	0.0267505	0.0285488	0.0243125	0.0239966	0.0316322	0.0399574	0.0314413	0.0336875	0.0228047	0.0245694	0.0235865	0.0220255	0.0207488	0.0211842	0.0096096	0.0113276	0.0105383	0.0099313	0.0122983	0.0156898	0.0194318	0.0175858	0.0301153
est	0.0602147	0.0414607	0.0280694	0.0190998	0.0153292	0.0127712	0.0107921	0.0102716	0.0171966	0.0215635	0.0151334	0.0180224	0.0118851	0.00954985	0.00922962	0.00960314	0.011317	0.0150135	0.0182043	0.0259671	0.0187346	0.0237568	0.0237617	0.0188371	0.0244519	0.0221746	0.0208567	0.0217311	0.0233026	0.0217398	0.0166271	0.0201315	0.0185628	0.0193495	0.0145059	0.0175867	0.02057	0.0162184	0.0197833	0.016798	0.0154026	0.0158454	0.0157945	0.0174719	0.0178166	0.0177617	0.0167806	0.0158469	0.0156971	0.015989	0.0178389	0.0375805
vraiment	0.158307	0.11502	0.0544261	0.028497	0.0207216	0.0149989	0.0101476	0.0101556	0.0133244	0.0199244	0.0128812	0.00783128	0.00759604	0.00512653	0.0092599	0.0102999	0.00962105	0.00979714	0.0096399	0.0136507	0.0144755	0.0186933	0.00623336	0.0167203	0.0196246	0.0109333	0.0212223	0.018048	0.0286691	0.0232997	0.013758	0.0170009	0.0154073	0.0165885	0.0130662	0.0156547	0.0148883	0.0136328	0.0139184	0.0116937	0.0105805	0.0165908	0.0146557	0.00859294	0.0106608	0.0080364	0.00768796	0.00591203	0.00713318	0.00831251	0.00884835	0.0282337
vous	0.113959	0.0638033	0.0334352	0.0261464	0.0226528	0.0129638	0.00628769	0.00633147	0.00769944	0.0108253	0.0172294	0.0148007	0.0133565	0.0186283	0.0206329	0.0104446	0.00687811	0.00847709	0.00919652	0.0085207	0.0108195	0.0146245	0.0185424	0.0112339	0.0178989	0.0123246	0.012769	0.0100013	0.0199469	0.00973001	0.0113472	0.00801598	0.00545189	0.00807865	0.0103592	0.00711112	0.0052954	0.00985522	0.0138018	0.0107234	0.00788619	0.0215787	0.0250589	0.00985709	0.0151319	0.0262859	0.0150949	0.0359357	0.0377156	0.0511004	0.0299947	0.0641603
mes	0.0607555	0.0437083	0.0310147	0.0171619	0.0136763	0.010083	0.0073275	0.00553418	0.00625754	0.0101632	0.00900644	0.00898882	0.00726533	0.00523009	0.00532502	0.00409954	0.00394196	0.00434308	0.00557546	0.0117902	0.00833532	0.0134479	0.0108058	0.0130887	0.0161953	0.0129944	0.0181825	0.0108137	0.0170235	0.0157005	0.0266458	0.0198071	0.0164149	0.0285849	0.0279818	0.0207015	0.0182838	0.0200818	0.0183411	0.0148618	0.0145302	0.0185107	0.015399	0.0119693	0.0151711	0.0252429	0.0195834	0.0295839	0.0392254	0.047745	0.0452254	0.0982734
envahisseurs	0.0493095	0.0285613	0.0168716	0.0125929	0.0109066	0.0107082	0.00554536	0.00642971	0.00528138	0.0114404	0.0082516	0.00687162	0.00911812	0.0109814	0.0172653	0.0231337	0.0263045	0.0402709	0.0374219	0.0417904	0.0377378	0.0557738	0.0354058	0.0286064	0.0393911	0.0262527	0.0261914	0.020111	0.0270316	0.0151244	0.0173997	0.0148005	0.014784	0.0141162	0.0216605	0.0139322	0.00945183	0.0156733	0.0105689	0.0073237	0.00715047	0.00929675	0.0112438	0.00926265	0.01188	0.0117396	0.0111293	0.0121515	0.0113371	0.0166263	0.0190936	0.0386956
</S>	0.0620333	0.0521031	0.0370428	0.0276478	0.0233121	0.0167069	0.00941309	0.00568495	0.00548819	0.00898334	0.00996034	0.00964812	0.0115493	0.0111549	0.00961057	0.0062661	0.0064001	0.00920242	0.00911686	0.00903816	0.0143419	0.0209335	0.0194247	0.0208135	0.0209841	0.0194216	0.0191024	0.0142759	0.0171657	0.0159849	0.0206058	0.0141788	0.0124573	0.0190587	0.0222699	0.0129709	0.0187784	0.0134015	0.016545	0.013736	0.0147052	0.0191076	0.0163754	0.0061596	0.00597593	0.00971485	0.00620077	0.0139794	0.0244864	0.0388931	0.0315831	0.126006
