 	o	k	ω	n	í	m	ó	ó	d	í	l	a	p	ó	r	á	ó	m	i	k	á	m	b	á	m	é	p	f	u	m	b	u	</S>
un	0.00767869	0.0158709	0.0193509	0.0146856	0.0225873	0.0152501	0.0137709	0.0122036	0.0109945	0.0190134	0.0196797	0.0345241	0.0435371	0.0446055	0.0249743	0.0216915	0.0216846	0.0230926	0.0249483	0.043685	0.050913	0.0523679	0.0431108	0.0368817	0.0297596	0.0325487	0.0459193	0.0346145	0.0444936	0.0488141	0.0442376	0.0465521	0.0359585
malade	0.0363467	0.0776729	0.121337	0.102274	0.0674127	0.0416237	0.0188153	0.0177954	0.0242297	0.0523334	0.0319556	0.0362949	0.0267491	0.0325591	0.0148871	0.0125287	0.0207194	0.02158	0.0188984	0.0117939	0.0101565	0.0111674	0.0100259	0.0192856	0.0238921	0.0394504	0.0259972	0.0244249	0.016335	0.0135666	0.0115526	0.00311885	0.00322037
qui	0.0398329	0.0327867	0.0373794	0.00757323	0.00485438	0.00509954	0.00269928	0.00285174	0.00355082	0.00976701	0.00781529	0.0120432	0.0172416	0.0213465	0.0223534	0.0359855	0.0511104	0.0591573	0.0672235	0.103119	0.0973422	0.0963181	0.0658473	0.0463753	0.0367078	0.0270844	0.0229393	0.0221567	0.0139351	0.0117232	0.00810108	0.00559537	0.00208329
a	0.0268425	0.0309016	0.050706	0.0639805	0.0581927	0.0505769	0.0357508	0.0357613	0.0390726	0.0319984	0.0287669	0.0236236	0.0167087	0.0111189	0.0112836	0.0399581	0.0529557	0.0632029	0.0760415	0.0506811	0.0281003	0.0161277	0.0160244	0.0101176	0.00835038	0.0104632	0.016005	0.00990464	0.0106629	0.010595	0.0137856	0.01819	0.0335491
des	0.0438313	0.0320471	0.0403327	0.0470777	0.0621561	0.0762448	0.05978	0.0347556	0.0305483	0.0383684	0.0286141	0.0293406	0.0303233	0.0306274	0.0269099	0.0218573	0.0254941	0.0272074	0.0336792	0.0233177	0.0211517	0.0175895	0.0156749	0.0134033	0.0118162	0.0130286	0.0160097	0.0115932	0.0129924	0.0157554	0.0199962	0.020922	0.067554
plaies	0.055606	0.0294299	0.0200885	0.0201112	0.0189291	0.0268264	0.0308615	0.0300956	0.0292515	0.0374155	0.0203161	0.0255492	0.0217108	0.025649	0.0267896	0.0151405	0.0140722	0.0142819	0.0164044	0.0199785	0.0256761	0.0281102	0.0224754	0.0280075	0.0423356	0.0478488	0.0451178	0.0529934	0.0430006	0.0458714	0.0429011	0.0330721	0.0440827
a	0.0389531	0.0257232	0.0279194	0.0218293	0.0346062	0.0599691	0.0679239	0.0722546	0.0740992	0.044675	0.0413668	0.0325051	0.0208006	0.0213849	0.0200961	0.0304918	0.0279233	0.0372297	0.0384071	0.0198168	0.0164225	0.0146911	0.0125986	0.00764764	0.00970089	0.0109548	0.015505	0.0196764	0.0144182	0.0170539	0.0216093	0.0261165	0.0556298
besoin	0.0856265	0.0497267	0.0425166	0.0280627	0.0202324	0.0214167	0.0237347	0.022803	0.0231173	0.017192	0.0109583	0.0112931	0.0109747	0.0107124	0.0128988	0.014846	0.013697	0.0172585	0.0247067	0.0166754	0.017406	0.027742	0.0246891	0.0242037	0.0265074	0.0252051	0.0386	0.0381291	0.0421542	0.0420195	0.0595798	0.0660904	0.089224
d'	0.137239	0.0640083	0.0444816	0.0213135	0.0142922	0.0151573	0.018274	0.0212677	0.0218082	0.0163666	0.00925417	0.00877701	0.00706328	0.00798687	0.0171224	0.0347594	0.0359541	0.0398388	0.0521163	0.049482	0.0441437	0.0379488	0.0319331	0.0250346	0.0241072	0.0184461	0.0224488	0.0176744	0.0174757	0.0170886	0.020488	0.0250701	0.061578
un	0.189049	0.0762044	0.0329833	0.0107251	0.00640259	0.00642983	0.00764279	0.00879831	0.00898891	0.00837886	0.00705045	0.00735761	0.00661149	0.00728416	0.010089	0.0172904	0.0235953	0.036398	0.0333733	0.0220003	0.0223175	0.0223174	0.017368	0.0147551	0.0130739	0.0117014	0.0228902	0.0212617	0.032517	0.0324378	0.0593407	0.0735556	0.129811
chasse-mouche	0.0451328	0.0235661	0.0128977	0.00701221	0.00485314	0.00409801	0.0045868	0.00430299	0.00517159	0.00401153	0.00482675	0.00466686	0.00482723	0.00579172	0.00968429	0.0163923	0.0279255	0.0430521	0.0441548	0.0313055	0.0349961	0.037883	0.0286685	0.0265388	0.0274203	0.0265515	0.04367	0.0406777	0.0498721	0.0504372	0.0765945	0.0964402	0.15199
</S>	0.0911906	0.0447505	0.0335368	0.0312461	0.0237714	0.0190029	0.019581	0.0181197	0.0218531	0.0134146	0.0116217	0.0113025	0.0105576	0.00884397	0.0137287	0.0146245	0.0127769	0.0156694	0.0226436	0.0233902	0.0261019	0.0412449	0.0351351	0.0305941	0.0255073	0.0253203	0.0373839	0.033004	0.037622	0.0432609	0.0476256	0.0476646	0.107909
