 	á	m	i	b	o	m	á	o	k	o	n	d	z	i	y	a	p	o	o	m	ó	i	k	ω	n	g	ώ	</S>
on	0.278292	0.17886	0.0269013	0.0306082	0.013791	0.0278942	0.0304548	0.036748	0.0309774	0.0403774	0.0277013	0.0209534	0.0257735	0.0172075	0.0192947	0.024598	0.016043	0.013217	0.0114704	0.00804739	0.00950572	0.00897476	0.0090629	0.00959706	0.0179288	0.02037	0.0234406	0.0219099
a	0.0264508	0.0366267	0.0609544	0.0618425	0.0647905	0.0523178	0.0366467	0.0336704	0.0318299	0.0278502	0.0298871	0.0433346	0.0777337	0.05561	0.0785282	0.0412958	0.0345433	0.0372081	0.0180966	0.0219009	0.0266001	0.0228778	0.0241297	0.0165321	0.0133455	0.00947835	0.00743151	0.00848655
assassiné	0.0159395	0.0175775	0.0310871	0.0429141	0.0369668	0.039205	0.0353359	0.0596082	0.061259	0.0741408	0.0860211	0.106007	0.104759	0.0745223	0.0576525	0.0317792	0.0213277	0.0139566	0.0140396	0.00938882	0.00867141	0.00786436	0.00664275	0.00638321	0.00813067	0.00841298	0.00927714	0.0111293
le	0.0150221	0.0278567	0.0341241	0.034787	0.0386967	0.0489166	0.0444802	0.0547225	0.0726646	0.0626029	0.049343	0.0609495	0.0240519	0.0217775	0.0177042	0.0206239	0.0234114	0.0369267	0.0428439	0.0355161	0.0404191	0.0303125	0.0202746	0.0198001	0.0209857	0.0210151	0.0321607	0.0480108
chef	0.0128031	0.0127726	0.0126763	0.0133306	0.0244781	0.0287169	0.0325165	0.0367686	0.0313572	0.0343971	0.0309023	0.0318114	0.0500367	0.0344647	0.0398953	0.0395477	0.0538545	0.0427273	0.0374408	0.0396525	0.0356214	0.0423203	0.0382038	0.0415934	0.0445744	0.0462262	0.0435076	0.0678025
du	0.0162172	0.0151542	0.0142453	0.0195911	0.0242531	0.0295462	0.0327576	0.0338709	0.0363482	0.0399163	0.0296941	0.0217625	0.0202373	0.0217415	0.02748	0.0371501	0.0358678	0.0391164	0.0319033	0.0373341	0.045266	0.0509793	0.0497762	0.0520918	0.054728	0.0556202	0.0583426	0.0690087
village	0.0286382	0.0276901	0.0297416	0.0339446	0.0295658	0.0248103	0.0226258	0.0186735	0.0225128	0.0189855	0.0127207	0.0178699	0.0358917	0.032113	0.0449181	0.0297621	0.0316601	0.0381846	0.0327087	0.0432558	0.044918	0.0422634	0.0396231	0.0424713	0.0401134	0.0598276	0.067464	0.0870465
d'	0.0384585	0.0396607	0.0468553	0.0367033	0.0251274	0.018357	0.0151718	0.0140211	0.0172199	0.0169932	0.0143189	0.0167364	0.0332275	0.0422883	0.0439211	0.0420348	0.0349983	0.0342632	0.0182622	0.0345212	0.0315887	0.0246519	0.0390102	0.0387677	0.042398	0.066805	0.0758561	0.0977824
un	0.0260901	0.0249473	0.0245744	0.0228439	0.0172336	0.0122311	0.0104709	0.00685162	0.00830252	0.00623907	0.00479073	0.00584838	0.0116559	0.0132454	0.0187316	0.0259635	0.0296877	0.0311896	0.0276361	0.0384985	0.0570568	0.0618012	0.0761776	0.0823914	0.0808287	0.088623	0.0924916	0.093598
coup	0.0172054	0.0174423	0.016589	0.0144197	0.00614594	0.00419234	0.00229329	0.00166004	0.00223138	0.00306716	0.00568811	0.00615341	0.0136652	0.0177576	0.0275826	0.0332105	0.0325985	0.0444084	0.0359218	0.0476056	0.0561037	0.0540188	0.0665094	0.0785245	0.0754622	0.0936343	0.105029	0.12088
de	0.0575987	0.0408389	0.0351854	0.0270098	0.0122177	0.00833872	0.00709671	0.00740619	0.00782192	0.00967815	0.00844757	0.00864523	0.019917	0.0171502	0.0290859	0.0228425	0.0268401	0.0345737	0.022252	0.0425474	0.0499353	0.0372772	0.0578679	0.0531707	0.0511603	0.0664785	0.0947321	0.143884
sagaie	0.0275967	0.0270897	0.0260884	0.0226156	0.011932	0.0073212	0.00653104	0.00630631	0.00973075	0.0122011	0.00866778	0.00914252	0.0155383	0.0152171	0.0215683	0.021531	0.0222262	0.0314942	0.028069	0.0403128	0.0573778	0.0601512	0.0616056	0.0665974	0.0796865	0.0889969	0.104807	0.109597
</S>	0.0454806	0.0322652	0.0289227	0.0255051	0.012871	0.0079226	0.00607407	0.00506934	0.00643282	0.00885458	0.00803652	0.00872095	0.0177802	0.0171845	0.0304892	0.026621	0.0280269	0.0386164	0.0357809	0.0416548	0.0505196	0.0509103	0.0565675	0.0591385	0.0661464	0.0735393	0.0933186	0.11755
