 	o	l	ώ	b	h	i	b	ó	l	á	a	d	í	b	h	á	o	k	w	á	í	m	á	w	a	m	ó	o	p	á	s	í	s	á	m	á	a	</S>
le	0.00948656	0.0125606	0.0130501	0.0203639	0.0164154	0.0282983	0.0359444	0.0369837	0.0446585	0.0442598	0.0398147	0.0488458	0.046712	0.0471524	0.0503776	0.0453421	0.0494259	0.0431961	0.031158	0.022673	0.0171527	0.0162239	0.018334	0.0181539	0.0198335	0.0156071	0.011983	0.01017	0.012674	0.0122907	0.0143007	0.017396	0.016977	0.0203945	0.0182418	0.0267431	0.0280376	0.0187675
pêcheur	0.0468132	0.0730463	0.0226506	0.0293144	0.0190054	0.0382466	0.046566	0.0293221	0.0439439	0.0313947	0.0374012	0.0320958	0.0464116	0.0621906	0.0563736	0.047454	0.0380883	0.031061	0.0322409	0.0211276	0.0189565	0.0159844	0.0179367	0.0172626	0.0150115	0.0120867	0.016808	0.00869942	0.0120497	0.00727281	0.0165976	0.033778	0.00904456	0.00557172	0.00285371	0.00245452	0.00182684	0.00105659
est	0.0598963	0.0390153	0.0334045	0.0303655	0.0403705	0.0514316	0.0742933	0.0283706	0.0167934	0.0176067	0.0110327	0.0128738	0.0101498	0.00994906	0.0114947	0.0124098	0.0182103	0.0167402	0.0384533	0.055035	0.045956	0.0467127	0.0297742	0.0178349	0.0235177	0.0243966	0.0553974	0.0249027	0.0199122	0.0153101	0.0171216	0.0280492	0.0131936	0.0141008	0.010741	0.00842626	0.010349	0.00640787
en	0.0647269	0.0529292	0.0755704	0.0875562	0.0842682	0.104078	0.054879	0.02767	0.0303211	0.0270767	0.0159762	0.0105452	0.011224	0.0127151	0.0127264	0.016034	0.0205213	0.0320494	0.0270278	0.0205917	0.0157638	0.017291	0.0128315	0.0104964	0.00813356	0.00995438	0.0125957	0.0107771	0.0138794	0.00597714	0.00796605	0.0074265	0.00671403	0.00816816	0.00766203	0.00775028	0.0210949	0.0270311
train	0.0382344	0.0161769	0.00823278	0.0087358	0.00490677	0.0143752	0.00988791	0.0153124	0.0164105	0.0187486	0.0151808	0.0159861	0.0166834	0.0109963	0.0162738	0.0201874	0.0243687	0.0368692	0.0270585	0.0393386	0.0368994	0.0655567	0.0614294	0.0699837	0.0546999	0.0370392	0.0288766	0.0452529	0.0341085	0.033522	0.0386776	0.0475291	0.0236572	0.0156544	0.0124338	0.00424479	0.00791251	0.00855847
de	0.066981	0.0702194	0.0521674	0.0623154	0.0365753	0.0544131	0.0650297	0.0463054	0.0673111	0.0409508	0.030294	0.041696	0.0391666	0.0345381	0.0325423	0.0253478	0.0251349	0.029227	0.00651304	0.00544695	0.00407799	0.0036972	0.0017086	0.00172686	0.00159518	0.00169659	0.00113126	0.00328633	0.00416353	0.00403316	0.00448959	0.00524609	0.00515519	0.00872128	0.0064266	0.0142944	0.0204081	0.0759667
chercher	0.0657119	0.0485327	0.0722772	0.0568529	0.0485713	0.0446882	0.0579401	0.0548138	0.0636171	0.0527943	0.0483605	0.0424629	0.0286662	0.0287605	0.0235294	0.0207868	0.0189271	0.022109	0.0131483	0.00915683	0.00816601	0.00815738	0.00739924	0.00671891	0.00998335	0.00711764	0.00817214	0.0110794	0.00919733	0.00612768	0.00597669	0.00835293	0.00634108	0.00799986	0.00743596	0.00887704	0.0135388	0.0376515
sa	0.097793	0.0560097	0.0481692	0.0344188	0.0238244	0.0303045	0.0138502	0.0240634	0.0163733	0.0223222	0.0353178	0.0359382	0.0381141	0.0252638	0.0228294	0.0202502	0.0145995	0.0154883	0.00688574	0.015366	0.0200741	0.0188536	0.0183387	0.0255563	0.0188509	0.0189921	0.0161248	0.0151532	0.0164162	0.0131312	0.014459	0.0115546	0.0123092	0.0184927	0.0182704	0.029161	0.0319331	0.0851471
machette	0.0540355	0.0461712	0.0453868	0.038272	0.0238471	0.0184686	0.0103467	0.0134354	0.0126216	0.0184493	0.0198179	0.0270076	0.02952	0.0293723	0.0287023	0.0260504	0.0236177	0.0306565	0.0122467	0.0149261	0.0241338	0.0218437	0.0156702	0.0163461	0.0114761	0.016476	0.0107899	0.0134366	0.0232297	0.0174969	0.0252982	0.0125602	0.011491	0.0219783	0.0227718	0.0291034	0.0476632	0.135283
qui	0.190822	0.104292	0.0616734	0.0296398	0.0120207	0.00930019	0.00819155	0.00861963	0.00667969	0.00619578	0.00759923	0.00686178	0.00545733	0.00620893	0.00487284	0.00624511	0.00712554	0.0119724	0.00282473	0.00622574	0.00933576	0.00954161	0.00807135	0.0116064	0.00946911	0.00735286	0.00962006	0.0148342	0.027273	0.0260937	0.0242467	0.0216875	0.0224441	0.0357102	0.0330626	0.0396837	0.056048	0.131091
est	0.130105	0.0694951	0.0366891	0.0158109	0.0109411	0.00869567	0.0109821	0.0153311	0.0119399	0.0137525	0.0188664	0.0172633	0.0149342	0.00911297	0.00477662	0.00596982	0.00543023	0.00645352	0.00417058	0.0101777	0.0196485	0.0164732	0.0161536	0.0178753	0.0115353	0.0125224	0.0107403	0.0108706	0.00735755	0.00986875	0.00957936	0.0129245	0.0184206	0.0206918	0.0215257	0.0366895	0.0473487	0.278876
tombée	0.0793512	0.03384	0.0205448	0.0120619	0.00895437	0.00545007	0.00542386	0.00540263	0.00470247	0.00502497	0.00529151	0.00607256	0.0058144	0.00658946	0.00421718	0.00710846	0.00777314	0.012322	0.00604999	0.0115399	0.0232529	0.0225722	0.0139608	0.0133252	0.00977477	0.0109025	0.0144134	0.0176462	0.0165011	0.0104954	0.0155663	0.0207743	0.0348426	0.0412038	0.0404946	0.0625428	0.104723	0.273473
dans	0.0728395	0.0438299	0.0382131	0.0272266	0.017333	0.0069576	0.00506262	0.00541134	0.00537514	0.00465069	0.00476505	0.00387206	0.00318894	0.00297798	0.00224775	0.00278299	0.00268029	0.00432839	0.00238169	0.00356213	0.00898971	0.00605589	0.00515819	0.00584526	0.00417184	0.0076029	0.0103387	0.0242336	0.0261636	0.0313926	0.0204709	0.023214	0.0361526	0.043014	0.0411529	0.064058	0.104746	0.277552
l'	0.0920999	0.0477087	0.0379282	0.022954	0.0170778	0.0108972	0.00974223	0.00837664	0.00909154	0.00684619	0.0073908	0.0073902	0.00700049	0.00501692	0.0023498	0.00283371	0.00270485	0.00332165	0.00293256	0.00454108	0.00811435	0.00696902	0.00638415	0.00757054	0.00602053	0.0118719	0.0229588	0.0410933	0.0296882	0.0484025	0.0285992	0.0374481	0.0471059	0.0439592	0.0438902	0.053413	0.0725154	0.175791
eau	0.0417985	0.0241172	0.0181856	0.0106276	0.00552107	0.00246971	0.00212766	0.00316574	0.00310149	0.00350241	0.00496579	0.00463155	0.00547943	0.00419521	0.00271852	0.00474026	0.00288733	0.00328249	0.00157211	0.00311719	0.00698719	0.00402167	0.00326661	0.00452834	0.00207497	0.00616347	0.00685545	0.0116409	0.0176957	0.022413	0.018695	0.022223	0.0497139	0.0678048	0.0605128	0.0989586	0.136294	0.307943
</S>	0.0365907	0.0378436	0.0345038	0.0273098	0.0238898	0.0187764	0.020889	0.0205801	0.0166829	0.0143641	0.0129153	0.0121777	0.00871964	0.00452785	0.00315069	0.00503484	0.00579385	0.0083188	0.00856928	0.0130263	0.0137324	0.0137469	0.0115816	0.0107029	0.00580644	0.0121583	0.0153884	0.0306686	0.0189091	0.0430969	0.0145815	0.0187548	0.0400391	0.03991	0.0432351	0.0536942	0.0865712	0.193758
