 	n	g	á	i	d	i	o	b	é	n	y	á	o	d	z	w	á	o	k	i	a	l	a	n	ω	k	a	á	t	s	í	n	a	n	ω	o	d	i	f	ε	n	y	έ	ε	f	ε	n	y	έ	ε	</S>
je	0.107062	0.3542	0.20914	0.122038	0.0554709	0.00779549	0.00599858	0.00767726	0.00469869	0.00250038	0.00262712	0.00165423	0.00148923	0.00274846	0.00381556	0.00450026	0.00449917	0.00563565	0.005949	0.00468271	0.00267311	0.00359633	0.00260449	0.00300217	0.00234838	0.00277732	0.00232208	0.00302385	0.00338166	0.00371445	0.00319083	0.00373415	0.00328381	0.00369075	0.00315961	0.0030299	0.00185472	0.00191381	0.00211667	0.00235824	0.00210262	0.00236521	0.00231922	0.00247023	0.00235037	0.00228737	0.00230046	0.00226371	0.00257053	0.00318078	0.00383058
n'	0.0474947	0.0225304	0.0277679	0.0346391	0.0263943	0.0451596	0.0499934	0.0718945	0.0334285	0.0349072	0.0537047	0.0422316	0.0446678	0.0361097	0.0343799	0.0297937	0.0308046	0.0228945	0.0238521	0.0204432	0.0180713	0.0121947	0.010672	0.0122152	0.00875947	0.0135326	0.0142263	0.0101781	0.0066031	0.00977076	0.01072	0.011005	0.0137433	0.00933816	0.0119636	0.00651961	0.014561	0.00788445	0.00541064	0.00519806	0.0069198	0.00446803	0.00534074	0.00367128	0.00547858	0.00339714	0.00670329	0.00471985	0.00521493	0.00281153	0.00561604
accepte	0.0196441	0.0124972	0.00857693	0.00991683	0.0140833	0.0174981	0.00968161	0.012895	0.0142877	0.0114151	0.00937238	0.0122693	0.0150456	0.0212037	0.0205844	0.0193048	0.0254745	0.0363637	0.050656	0.0621563	0.0118007	0.0460429	0.0138666	0.0155013	0.0243143	0.0128146	0.0148247	0.0183765	0.040177	0.0543396	0.0409954	0.0240889	0.0214071	0.0270627	0.0221053	0.0446403	0.0222923	0.0202611	0.0179573	0.0166967	0.0145357	0.0131816	0.008796	0.00578958	0.0051851	0.00718064	0.00532969	0.00401779	0.00390356	0.0064365	0.0131519
pas	0.0595708	0.0435355	0.0323696	0.050974	0.0660605	0.0647895	0.0206299	0.0176848	0.0204066	0.0157984	0.00837784	0.00938333	0.00994361	0.00753061	0.0105287	0.0161848	0.017991	0.022886	0.018548	0.0185212	0.0158789	0.0270636	0.0331698	0.0353702	0.024684	0.0183905	0.0194607	0.0165776	0.0110288	0.00906229	0.00976611	0.0083172	0.00928552	0.0190268	0.0130988	0.0170503	0.0254877	0.0175451	0.0159953	0.0160788	0.0123408	0.0119274	0.00938912	0.00810026	0.00758254	0.0102745	0.0112973	0.0088185	0.00614552	0.0104874	0.00958385
de	0.0136952	0.00619745	0.00528708	0.00860494	0.0191438	0.0270485	0.0161782	0.0129047	0.0229257	0.0227467	0.0149242	0.0123093	0.0107264	0.00690943	0.00665259	0.00543811	0.00946088	0.0120453	0.0103946	0.0173742	0.0130753	0.0215339	0.0206518	0.0295405	0.0226654	0.0214345	0.0179834	0.0227617	0.0221927	0.0242983	0.0349962	0.0309266	0.0277279	0.0153462	0.0197429	0.0274439	0.0116931	0.0190685	0.0244271	0.0201496	0.023491	0.0265191	0.017321	0.019896	0.0187765	0.0249629	0.0255393	0.0243315	0.0294955	0.0362438	0.0447964
partir	0.00789208	0.00870948	0.00671423	0.00487806	0.00442311	0.00841516	0.00855911	0.00988752	0.0118355	0.0113716	0.0132877	0.0143049	0.011311	0.00992079	0.0100606	0.00461415	0.00694089	0.0111688	0.0159617	0.0221024	0.0176089	0.0213559	0.0125862	0.0180692	0.0196417	0.0224067	0.0212188	0.0235684	0.0207026	0.0246762	0.0318242	0.030712	0.0277371	0.0157915	0.0186201	0.0195824	0.012513	0.0182398	0.0231082	0.0208898	0.0282416	0.0308538	0.0279552	0.0319221	0.0311105	0.0346857	0.0330477	0.0330761	0.0355875	0.0375155	0.0527927
à	0.00405863	0.00496671	0.00434935	0.00372028	0.00396038	0.0076681	0.0101323	0.0128149	0.0161442	0.0146927	0.0178391	0.0216915	0.0143072	0.0119545	0.0121682	0.00506897	0.00782689	0.00971295	0.014208	0.0179284	0.0151422	0.0187292	0.0108529	0.0177304	0.0208322	0.0231947	0.0215188	0.0259197	0.0241986	0.0271544	0.0337338	0.0294801	0.030966	0.0189376	0.0216257	0.022758	0.0160261	0.0208914	0.0258176	0.0247051	0.0292753	0.0302367	0.0289629	0.0299713	0.0292159	0.0306829	0.030063	0.0285286	0.0303464	0.0298353	0.0374539
la	0.00892934	0.00846268	0.00804777	0.00967259	0.0144596	0.0167008	0.0109495	0.0113841	0.0112854	0.0105427	0.0131232	0.0114008	0.00706501	0.00555783	0.00571505	0.00421234	0.00592601	0.00566527	0.00755932	0.0133735	0.0123603	0.0181121	0.012696	0.0168627	0.0241957	0.0201117	0.0197229	0.0248569	0.0257323	0.0302435	0.0390597	0.0304767	0.0263786	0.0154664	0.0183671	0.0226777	0.0150698	0.0179163	0.0259291	0.0232461	0.0295226	0.0326224	0.0293364	0.0285487	0.0285587	0.029027	0.0335291	0.0301622	0.0407875	0.0392503	0.0491404
chasse	0.00544751	0.00827853	0.00965742	0.0098717	0.0219974	0.0116936	0.0047102	0.0049651	0.00491637	0.0057005	0.00485419	0.0065079	0.00414057	0.0034297	0.00372281	0.00307942	0.00399724	0.00565125	0.0108591	0.0240137	0.0184845	0.0330712	0.0198375	0.0257365	0.0252705	0.026549	0.0286872	0.0243639	0.0204673	0.0219378	0.0229492	0.025238	0.0220632	0.0216523	0.015981	0.0117089	0.01915	0.011549	0.0110286	0.0123153	0.0117093	0.0130541	0.0160852	0.0144899	0.0308222	0.0204332	0.0356653	0.0501819	0.0617901	0.0809626	0.0892707
avec	0.0127901	0.0116018	0.0109541	0.0134594	0.0198057	0.0131569	0.00823851	0.00791969	0.00843094	0.00900369	0.00806984	0.00726483	0.00598959	0.00358086	0.00281961	0.00334636	0.00601729	0.00365775	0.00473072	0.00797424	0.00982758	0.0154213	0.0179437	0.0159938	0.0220728	0.0269205	0.024838	0.0296585	0.0264375	0.0336828	0.0459791	0.0339055	0.0356589	0.0265472	0.0241208	0.0303655	0.0312374	0.0243144	0.0257525	0.02665	0.023183	0.0241004	0.0172221	0.017948	0.0199201	0.0220449	0.0278081	0.0289591	0.0297224	0.0438387	0.0491135
