 	o	b	i	a	á	b	έ	r	í	w	a	o	t	s	ω	ώ	m	í	b	e	s	í	l	ó	n	g	o	n	g	a	</S>
son	0.014135	0.0145876	0.0315146	0.0419678	0.0373644	0.0218164	0.0386765	0.0471836	0.0583192	0.0522649	0.0738194	0.0564054	0.0800189	0.0577713	0.0489585	0.0235702	0.0211537	0.0204272	0.0174171	0.0111032	0.01417	0.019856	0.0326595	0.0319414	0.0235887	0.0209823	0.0167094	0.0133055	0.0190694	0.0246979	0.014545
camarade	0.0138	0.0824277	0.086764	0.0614085	0.0776649	0.0777655	0.0324909	0.0709739	0.0400178	0.0495431	0.0526096	0.0990984	0.0966	0.0675107	0.0277022	0.0123714	0.00893706	0.00473789	0.00398755	0.00276478	0.00339793	0.0100433	0.00653809	0.00235225	0.00187299	0.00178825	0.00171848	0.000993456	0.00092584	0.000547658	0.000646108
lui	0.0348876	0.0271036	0.0271303	0.0443437	0.0459641	0.0335069	0.0293755	0.0677692	0.0209257	0.039111	0.0236249	0.0221795	0.047795	0.0274711	0.0198104	0.0277661	0.0418264	0.107664	0.035833	0.0336943	0.0278816	0.0863216	0.0257587	0.0144309	0.015345	0.0117739	0.0136961	0.00922325	0.00801784	0.0150914	0.0146771
a	0.0680632	0.0925735	0.0790347	0.0736607	0.071982	0.0550725	0.0493952	0.0501768	0.0343095	0.0227292	0.0312763	0.0191349	0.0146313	0.0213852	0.00986763	0.00905562	0.00825232	0.00974658	0.00963398	0.0157742	0.0122624	0.0169606	0.0205081	0.0258983	0.0181437	0.03021	0.0230498	0.0346465	0.0244573	0.0277575	0.0203505
donné	0.0583118	0.0433809	0.0269446	0.0237507	0.0293018	0.0376394	0.0341955	0.0554416	0.0344807	0.0428468	0.0413327	0.0525454	0.0189254	0.0232742	0.0223145	0.0259085	0.0216346	0.0221363	0.020175	0.0283831	0.0233387	0.0201516	0.0286717	0.026672	0.0313257	0.0312287	0.0283151	0.0375855	0.0321838	0.0222987	0.0553049
un	0.0298024	0.0383502	0.0271043	0.0210318	0.020604	0.0436194	0.0418435	0.0523625	0.0486307	0.0438084	0.0435709	0.0492223	0.0244909	0.0319987	0.0476225	0.0481743	0.0341235	0.0182072	0.0137794	0.0205795	0.0216868	0.0169971	0.01803	0.020082	0.0216027	0.0240782	0.037143	0.0280203	0.0323033	0.0143257	0.0668043
coup	0.0333518	0.0284493	0.0257515	0.0317679	0.0314814	0.0302933	0.0262872	0.0187927	0.018834	0.0165544	0.0236689	0.0259237	0.0312244	0.0402987	0.0264358	0.0318332	0.0399086	0.0384016	0.0485903	0.0539317	0.0371627	0.0232712	0.0280967	0.0208577	0.0301885	0.0269014	0.0450849	0.0230431	0.0410075	0.0357327	0.0668732
de	0.0250096	0.0229405	0.0223461	0.0264539	0.0129214	0.0178378	0.0204261	0.0197766	0.0175312	0.0159664	0.0320022	0.0350568	0.0362362	0.0420927	0.0560331	0.056185	0.03943	0.017139	0.0388632	0.0370094	0.0332425	0.0247206	0.0386148	0.0249425	0.0367237	0.0360716	0.0316579	0.0368767	0.0406515	0.0387027	0.0665383
poing	0.0316137	0.0234019	0.0229352	0.0211181	0.0167375	0.0128169	0.00931844	0.00637282	0.00568975	0.00834775	0.0117663	0.00698133	0.0079759	0.0131561	0.0116411	0.0156869	0.0169328	0.0163094	0.0300223	0.0357231	0.0480144	0.0371178	0.0601377	0.0512067	0.0630845	0.0646226	0.0603963	0.0582956	0.075191	0.0737957	0.0835903
à	0.0521837	0.0244054	0.0209142	0.0150939	0.012472	0.00754179	0.00470203	0.00625724	0.00434239	0.0097219	0.012483	0.00770257	0.00700102	0.0104099	0.00647328	0.00714855	0.0069512	0.011432	0.0153567	0.0298321	0.0348781	0.0329942	0.0458329	0.0544338	0.0761258	0.0678798	0.0751389	0.084671	0.0713127	0.0844307	0.0998772
la	0.0570748	0.0208543	0.0148013	0.0118981	0.00739706	0.00550597	0.00420752	0.00453868	0.0038893	0.0068307	0.00707785	0.00598206	0.00647744	0.00828216	0.00850204	0.00810996	0.00906719	0.0104102	0.0209916	0.0242913	0.0217591	0.016648	0.044135	0.0258489	0.0857947	0.0872825	0.0777547	0.0944202	0.087287	0.0887982	0.124082
pomme	0.0586437	0.025034	0.0184729	0.0159866	0.0168567	0.0105139	0.00907741	0.0079493	0.00868086	0.0147371	0.0160239	0.0120342	0.0141523	0.0121472	0.0146829	0.0169421	0.0185304	0.012825	0.0251044	0.0200231	0.021869	0.015847	0.039399	0.0219288	0.0571161	0.0711062	0.0734634	0.0560656	0.0854644	0.0814547	0.127868
d'	0.081842	0.0421395	0.0281726	0.0200229	0.0181302	0.0089194	0.00573573	0.00949555	0.00500922	0.0142329	0.0220693	0.0149504	0.00718513	0.00877697	0.00840401	0.0081105	0.00603591	0.00598643	0.00720844	0.00690832	0.00980886	0.00740761	0.0397071	0.0361752	0.0626698	0.0641397	0.0519212	0.0610603	0.081506	0.0807004	0.175568
adam	0.146378	0.0501172	0.03063	0.0242092	0.017622	0.00954906	0.00547511	0.00626713	0.00396675	0.00810372	0.0102052	0.00914676	0.00603806	0.0103908	0.00735429	0.00657468	0.00503796	0.00703463	0.00909045	0.0126051	0.0144229	0.011532	0.0448851	0.0350236	0.0703244	0.0630428	0.053405	0.0643425	0.0617392	0.0656618	0.129825
</S>	0.0765871	0.0428896	0.0336438	0.0276457	0.0144159	0.01064	0.00851191	0.0103681	0.00558625	0.00599243	0.0101504	0.00938296	0.00949413	0.0129585	0.00820878	0.00616716	0.0056282	0.00783506	0.0131136	0.0143748	0.0162647	0.013371	0.0260922	0.0232229	0.0558259	0.0569833	0.0531104	0.0723524	0.0700087	0.0840611	0.195113
