 	n	g	á	í	m	i	i	o	k	y	ε	m	i	t	s	í	n	a	n	g	á	i	b	o	ó	b	ó	l	í	i	y	ó	m	a	a	</S>
j'	0.136289	0.177003	0.204636	0.161453	0.0573826	0.0420741	0.0183962	0.0192408	0.00679603	0.00223285	0.0020642	0.0022862	0.00266905	0.00276204	0.00355327	0.0060212	0.00622865	0.0108072	0.0114817	0.0123808	0.00631794	0.00658979	0.00702812	0.00582101	0.00512696	0.00696626	0.00579647	0.00471726	0.006217	0.0090081	0.010515	0.0101278	0.00761153	0.00726424	0.00754773	0.00758622
ai	0.0972464	0.0663228	0.0717285	0.101566	0.0314065	0.0219629	0.0304386	0.0686236	0.0687813	0.0409507	0.037875	0.0249029	0.0291135	0.0387735	0.0256502	0.0280258	0.0360785	0.0288872	0.024196	0.0193704	0.0196089	0.00987852	0.00944458	0.00759512	0.00660326	0.00702437	0.00503787	0.00215037	0.00310222	0.00234887	0.00203293	0.00348257	0.00649158	0.00474889	0.00531721	0.013232
avalé	0.00762552	0.0129233	0.0157718	0.00882765	0.0271793	0.0237536	0.0289181	0.0467686	0.0378863	0.0487114	0.0352687	0.0270976	0.0377805	0.041769	0.0436944	0.0346591	0.05598	0.0415309	0.0364137	0.0249038	0.0264772	0.0260166	0.0307547	0.0440086	0.0311457	0.0341568	0.0344746	0.0180451	0.020689	0.0160808	0.0156139	0.0149582	0.0156754	0.0132972	0.0123994	0.00874347
un	0.0574162	0.04152	0.051603	0.0505893	0.0215304	0.0247692	0.0126412	0.0126198	0.0159864	0.0255095	0.0366409	0.0195218	0.0158192	0.0339392	0.0359929	0.0418611	0.0410914	0.0280531	0.0313507	0.04471	0.0609498	0.0364384	0.0301194	0.0234844	0.020433	0.0185996	0.0133849	0.0143264	0.0179778	0.0130241	0.0198849	0.0152814	0.0126733	0.0139721	0.0180598	0.0282254
médicament	0.0173544	0.0200846	0.0183911	0.0177893	0.0140141	0.0170933	0.0263956	0.0464872	0.0304916	0.0389037	0.0287542	0.0233749	0.0269359	0.0262783	0.0168494	0.0177612	0.0165756	0.0216579	0.0212104	0.023506	0.0205328	0.023479	0.0176207	0.0155661	0.0278363	0.0326223	0.0355752	0.0363459	0.035547	0.0371793	0.0384522	0.0418492	0.0402634	0.0350263	0.033392	0.0588037
du	0.00618643	0.00478264	0.00419167	0.00304882	0.00312002	0.00378491	0.00538306	0.0100295	0.00962939	0.0159938	0.0154982	0.0129337	0.0145838	0.022026	0.0258608	0.0210771	0.0232374	0.02556	0.0311184	0.0283074	0.0644106	0.0639994	0.0608291	0.0656769	0.0606269	0.0656944	0.0779347	0.0437234	0.0385135	0.0314937	0.0249373	0.0228901	0.0191882	0.0152013	0.0277234	0.0308041
fait	0.0253072	0.0162101	0.0138505	0.0159557	0.0178588	0.0233738	0.034291	0.0422569	0.0291823	0.0468232	0.0722714	0.0775946	0.0664246	0.0866496	0.0891174	0.0698679	0.0476849	0.024238	0.0140075	0.0106772	0.0100769	0.00802557	0.00747245	0.00729028	0.00768505	0.00907154	0.0112505	0.00687601	0.00930568	0.0076897	0.00725369	0.0102551	0.00795569	0.0100798	0.0139892	0.0420804
que	0.0156756	0.0127804	0.0119773	0.00901075	0.00635895	0.00907267	0.0108211	0.0143766	0.0147783	0.0238286	0.0221126	0.0174717	0.0225822	0.024461	0.0274795	0.0270252	0.0341497	0.0302459	0.0356582	0.0408723	0.038308	0.0423274	0.0392853	0.0391322	0.039848	0.042552	0.0414678	0.0259187	0.0318989	0.0344773	0.0280351	0.0341036	0.0277341	0.0352556	0.0428157	0.0461017
j'	0.0357676	0.0288315	0.0258565	0.0181025	0.0208555	0.0284985	0.0218281	0.0210672	0.0215784	0.0251722	0.0178027	0.0142276	0.0194362	0.0191732	0.0250565	0.0244498	0.032746	0.0230657	0.0245949	0.0262252	0.033814	0.0376317	0.0351528	0.0261342	0.0208413	0.0223583	0.0167543	0.019566	0.0227147	0.0243651	0.0303807	0.0401687	0.0303165	0.0546833	0.046213	0.0645697
ai	0.0693518	0.056261	0.0420072	0.0168759	0.0192626	0.024129	0.0177373	0.0137112	0.0142198	0.0155442	0.0124748	0.0136838	0.0184413	0.0160255	0.0184129	0.0183144	0.0236221	0.0336134	0.024287	0.020435	0.0282859	0.0348829	0.0344692	0.0314998	0.0239395	0.0247494	0.0300635	0.0144969	0.017156	0.0305601	0.0264665	0.0389557	0.0252107	0.0445466	0.0474733	0.0588339
mal	0.0837745	0.0667455	0.0228449	0.0142013	0.0173796	0.0156083	0.0131182	0.015868	0.0176932	0.03437	0.0305964	0.0287426	0.026582	0.0250059	0.0214273	0.0214375	0.024304	0.0254569	0.0225362	0.0244383	0.0262527	0.0268467	0.0269699	0.0257808	0.0264669	0.0245075	0.0308254	0.0180953	0.0214612	0.0237832	0.0231047	0.0272437	0.023677	0.032358	0.0313385	0.0591577
à	0.0694614	0.0367111	0.0165178	0.0126524	0.0203685	0.0196747	0.0253811	0.0280661	0.0232111	0.0453659	0.0572933	0.0341752	0.0283722	0.0355722	0.0307385	0.029375	0.0273882	0.0208102	0.0156652	0.0143813	0.0114716	0.0102349	0.0109504	0.00941066	0.010621	0.011113	0.010649	0.0118266	0.0155211	0.0224748	0.0330348	0.0413084	0.038628	0.0448092	0.049056	0.0777091
la	0.0363365	0.018545	0.0153035	0.00933495	0.00961419	0.010642	0.0143017	0.0201925	0.0226038	0.0421048	0.0492504	0.0201167	0.0234911	0.030477	0.0441209	0.0441129	0.0464821	0.0164511	0.016427	0.0274905	0.0193045	0.0181431	0.0195493	0.0161694	0.0153795	0.021741	0.0159411	0.0177226	0.0156133	0.0217909	0.0229061	0.0293957	0.0286048	0.0435619	0.0545417	0.122236
tête	0.0134018	0.0120906	0.0106481	0.00636417	0.00452655	0.00907836	0.0137228	0.0139196	0.0139192	0.0219852	0.0249607	0.0229463	0.0222092	0.0203387	0.0197782	0.0208225	0.0323098	0.0127044	0.0189677	0.0482818	0.0282335	0.0180739	0.028957	0.0219591	0.024582	0.0271996	0.024629	0.0146788	0.0181297	0.0276624	0.0223701	0.0423965	0.0245468	0.0579553	0.0682364	0.187414
</S>	0.0914627	0.0423686	0.0397483	0.0194781	0.025639	0.0262549	0.0204478	0.0240089	0.0368928	0.025857	0.0186697	0.0104609	0.0136739	0.0122512	0.0142732	0.0135447	0.0194978	0.00760533	0.013769	0.015293	0.0138873	0.0201004	0.0278465	0.0245991	0.0289212	0.0307677	0.024424	0.0180757	0.0234021	0.0308528	0.0235016	0.0285326	0.0235859	0.041973	0.0582325	0.0901009
