 	i	s	á	l	a	l	á	b	v	a	n	d	e	í	m	i	s	í	á	o	w	u	l	á	l	a	n	g	á	ó	k	ώ	p	é	</S>
les	0.107624	0.0550036	0.0607012	0.0163142	0.0250553	0.0261381	0.0304064	0.0397383	0.0501627	0.0382469	0.0502238	0.062277	0.052443	0.0477052	0.028866	0.0280246	0.0222302	0.010947	0.00968901	0.0121937	0.00780766	0.011184	0.00825995	0.0141294	0.024049	0.0207032	0.0155679	0.0209633	0.0154993	0.0200864	0.0162557	0.0108913	0.0124411	0.0155875	0.0125839
travaux	0.020053	0.0344963	0.0512019	0.11132	0.149913	0.133262	0.0921045	0.0806788	0.0432123	0.0360879	0.0464732	0.0389109	0.0293012	0.0262289	0.0152661	0.0123293	0.00847388	0.00727258	0.00905483	0.00611894	0.0063882	0.00552371	0.00124827	0.00287864	0.00530041	0.00459077	0.00130116	0.00422237	0.0015872	0.00267994	0.00298718	0.0028928	0.00254166	0.00259446	0.00150356
de	0.149625	0.0886407	0.0454643	0.0273163	0.0434073	0.05654	0.0532128	0.074925	0.0602374	0.0330713	0.0356479	0.0207177	0.0127413	0.0162083	0.0231601	0.0266339	0.0119615	0.0223722	0.0132038	0.0152794	0.00906795	0.0121562	0.0075512	0.0116713	0.0172379	0.0179075	0.00692686	0.0151338	0.015745	0.0134826	0.0131338	0.0089875	0.00568259	0.00720639	0.00774344
construction	0.0321077	0.08291	0.100589	0.107962	0.0757109	0.0367859	0.0250722	0.0237204	0.029398	0.0376343	0.0485482	0.0454801	0.0326758	0.016992	0.021809	0.0225481	0.0148433	0.00976475	0.0181881	0.0145356	0.0105828	0.00975447	0.00542821	0.011446	0.0139559	0.011373	0.00561408	0.0148132	0.00915741	0.0126852	0.0142336	0.0127454	0.0117729	0.0107833	0.0483792
du	0.0267034	0.0343418	0.0348231	0.033787	0.028834	0.023376	0.0228704	0.0232746	0.0253734	0.021402	0.0269978	0.0246221	0.0238258	0.0194906	0.0182369	0.022078	0.0227972	0.0291217	0.038087	0.0314659	0.0263151	0.0317282	0.0252277	0.0187338	0.0233945	0.0199597	0.0182934	0.0310897	0.02485	0.0264108	0.0343069	0.0376032	0.0377337	0.0379238	0.0749206
barrage	0.0239974	0.0164028	0.0162288	0.0153771	0.0141317	0.01327	0.0143193	0.0198996	0.0249685	0.0251685	0.0344128	0.035598	0.0279833	0.0353786	0.0323065	0.040195	0.0469673	0.0370096	0.0448839	0.0394621	0.0393058	0.0179402	0.0131121	0.0190887	0.0267425	0.0278908	0.0217589	0.0269149	0.0225347	0.0244817	0.0288066	0.0340112	0.042409	0.0466702	0.0503717
à	0.0228442	0.016546	0.0122809	0.0121765	0.0169224	0.0289622	0.0258826	0.0367371	0.0378647	0.0461817	0.0435634	0.0498694	0.0506094	0.0421874	0.0384785	0.0287143	0.0159579	0.0222298	0.017406	0.0168037	0.0116619	0.0145049	0.0120569	0.0112103	0.0128202	0.0107506	0.0129991	0.0213643	0.0165607	0.0205278	0.0285463	0.0341846	0.0429102	0.0606837	0.107
nasses	0.0315566	0.0268818	0.0237105	0.0212332	0.0155088	0.013757	0.0120173	0.012666	0.010969	0.00932998	0.0120727	0.0135732	0.0136214	0.0116001	0.0133435	0.0172236	0.0186801	0.0139655	0.0196463	0.0211494	0.0239762	0.0172789	0.0151409	0.0141276	0.0351502	0.0248921	0.0274848	0.0468038	0.0302732	0.0602747	0.0589273	0.0654749	0.0753565	0.079716	0.0926171
en	0.0353703	0.0279858	0.0225856	0.0206136	0.0145201	0.01053	0.00641972	0.00595874	0.00603141	0.00611847	0.00816435	0.00976768	0.00808248	0.00835179	0.0100144	0.0181899	0.0223631	0.0283373	0.0306768	0.0301135	0.0363125	0.0316195	0.0182422	0.0200391	0.0383957	0.026979	0.0417714	0.0534194	0.0454112	0.0421198	0.0468436	0.0547804	0.0651628	0.0656783	0.0830301
forêt	0.0457044	0.0362315	0.0354778	0.0318265	0.012033	0.00476259	0.00324585	0.00378602	0.00471408	0.00334847	0.00479094	0.00555182	0.00683795	0.00906551	0.0164792	0.023375	0.0233558	0.0137232	0.0156922	0.0150481	0.0205688	0.0155162	0.0111137	0.0124359	0.0301095	0.0234673	0.0196762	0.0615608	0.0306845	0.0510029	0.0531154	0.0714746	0.0886668	0.0811902	0.114368
me	0.0370565	0.0311838	0.0298699	0.029632	0.0147353	0.0068079	0.00371161	0.00403159	0.0046151	0.00343726	0.00464728	0.00508894	0.0051704	0.00606331	0.00915129	0.01758	0.0152835	0.0118391	0.0129585	0.0135134	0.01924	0.0152326	0.0132612	0.0170733	0.0357768	0.0357734	0.0358074	0.0681727	0.0511461	0.0601034	0.0626609	0.0738153	0.0801746	0.0750095	0.0903764
dépassent	0.0754515	0.0647147	0.039585	0.0338111	0.0125048	0.00823625	0.00454651	0.00404514	0.00397769	0.00325506	0.00372269	0.00356961	0.00458795	0.00574424	0.0108319	0.0125006	0.0109443	0.0101659	0.0106507	0.0106834	0.014718	0.0154377	0.0124255	0.0142227	0.0229386	0.0206169	0.0226896	0.0463956	0.0329603	0.0446914	0.0460389	0.0641684	0.0811799	0.0798358	0.148152
</S>	0.053508	0.0453282	0.0386703	0.026536	0.014102	0.0107106	0.00986915	0.0107867	0.00974565	0.006923	0.00722034	0.00651906	0.0080842	0.00492897	0.00874417	0.011844	0.0150656	0.0118036	0.0175803	0.0151607	0.0232319	0.0255256	0.0410793	0.0331299	0.0381094	0.031229	0.0274134	0.0365874	0.0298015	0.0427617	0.0404276	0.0509429	0.0570138	0.0563699	0.133246
