 	w	a	a	d	i	ó	e	b	é	e	y	é	é	k	i	r	á	b	á	a	n	y	a	m	a	</S>
il	0.165684	0.169491	0.21858	0.215707	0.0771402	0.0390093	0.0251634	0.0149049	0.00974283	0.0092876	0.00609513	0.00165554	0.00186877	0.00117827	0.00229418	0.00324819	0.00408622	0.00412607	0.00421803	0.00409379	0.00430984	0.0043079	0.00453943	0.00393403	0.00341601	0.0019185
se	0.0166498	0.0151101	0.0283544	0.0699363	0.103654	0.151896	0.176306	0.0641996	0.0390457	0.0440024	0.047297	0.0587642	0.0480409	0.0327409	0.0200624	0.0163217	0.00880854	0.0108934	0.0101549	0.00408774	0.00567515	0.00389419	0.00289333	0.00273534	0.00636815	0.0121084
trouve	0.0137807	0.0146318	0.0142441	0.0151302	0.0172992	0.0425982	0.0473041	0.0684364	0.116212	0.117423	0.0838537	0.0841768	0.0615731	0.0335141	0.0295562	0.0406481	0.031997	0.0281017	0.0199325	0.016871	0.0129326	0.0193744	0.0160704	0.0232041	0.0143586	0.0167753
là	0.0131431	0.0165608	0.0242733	0.0225204	0.0192388	0.0279038	0.023951	0.0216113	0.0252475	0.0322992	0.0386281	0.0524952	0.0820366	0.104523	0.0777323	0.0779113	0.0687239	0.0538819	0.0376136	0.026299	0.028941	0.0238113	0.0189874	0.0302065	0.0223815	0.0290778
où	0.0185409	0.0177194	0.0141459	0.00967078	0.00973433	0.0105482	0.0138152	0.0108068	0.0118069	0.0124806	0.013867	0.0206002	0.0276469	0.0533493	0.0601778	0.0600761	0.0477316	0.0511668	0.0510533	0.0581437	0.0580037	0.0646874	0.0599938	0.0676231	0.0818567	0.0947536
on	0.0326849	0.0418069	0.0359628	0.0215983	0.0148559	0.0424658	0.0351214	0.0313183	0.0332121	0.0324532	0.0180543	0.0116364	0.0166645	0.0286472	0.0415195	0.0560005	0.0452241	0.0452842	0.039517	0.0526641	0.0522942	0.0573	0.0592386	0.0576254	0.0562214	0.0406292
vend	0.0217117	0.0355606	0.0372453	0.0305698	0.0251999	0.0258475	0.0381704	0.0191009	0.0180597	0.0199744	0.0201283	0.0212062	0.0264286	0.0346078	0.0380584	0.0445958	0.0375201	0.0416115	0.040961	0.0524419	0.0539251	0.0605217	0.0565266	0.0638012	0.0666631	0.0695625
la	0.0130126	0.0120805	0.0194805	0.0215971	0.0226949	0.022305	0.0210027	0.0167438	0.0188048	0.0226622	0.0233659	0.0246708	0.0290004	0.0325726	0.0351798	0.0416195	0.0356657	0.0381323	0.038303	0.0543982	0.0560496	0.0707316	0.068284	0.0789417	0.0902491	0.0924514
viande	0.00958609	0.00985701	0.0138095	0.0162221	0.0187143	0.0168316	0.0153154	0.0117516	0.0144863	0.0175806	0.0176175	0.0190502	0.0237805	0.0269909	0.0263131	0.0290071	0.0242944	0.0260946	0.0291646	0.0427794	0.0530338	0.0647322	0.0536226	0.117295	0.130921	0.171148
</S>	0.0196617	0.0195542	0.0269111	0.0315937	0.0335806	0.0311247	0.0290771	0.0222615	0.0229356	0.028035	0.0287183	0.0322968	0.043233	0.0452111	0.0510978	0.0336888	0.0221934	0.0140744	0.0144299	0.018482	0.0305969	0.0355767	0.0289478	0.0723552	0.0723976	0.191965
