 	l	a	k	a	l	a	á	d	z	a	b	á	a	t	á	á	n	d	é	e	m	ó	m	ω	n	d	í	n	d	z	á	á	p	á	b	h	a	á	b	h	i	á	m	ó	m	ú	n	d	a	</S>
jadis	0.0136089	0.0200546	0.022544	0.0305134	0.0347017	0.0322289	0.0434189	0.0219333	0.0708499	0.0276886	0.0253686	0.0503273	0.0459928	0.0499497	0.0363943	0.0345876	0.0300146	0.0307083	0.0434474	0.0368123	0.0279463	0.0139956	0.00873589	0.00769051	0.0044229	0.0051673	0.00416585	0.00416133	0.00496765	0.00579906	0.00485547	0.00621762	0.00513663	0.00741958	0.00895966	0.00825762	0.0110572	0.0118743	0.00915473	0.0085627	0.0110921	0.0103206	0.0109639	0.00983062	0.0100033	0.0164617	0.019412	0.0144713	0.017361	0.0103904
on	0.0531053	0.0478206	0.044055	0.0430702	0.0374058	0.0314241	0.0391752	0.0380939	0.0334006	0.0324952	0.0219175	0.0253839	0.0213745	0.023468	0.0214582	0.0266365	0.0199226	0.0154992	0.0159525	0.0149524	0.0260714	0.0236203	0.0309817	0.0118216	0.0128508	0.02362	0.0139231	0.0215801	0.0153765	0.0140218	0.0126549	0.0168855	0.0141356	0.0130446	0.0132545	0.0151671	0.0122	0.0113463	0.0100426	0.00801895	0.00551451	0.00339227	0.00243814	0.00473461	0.00443256	0.00397592	0.00725187	0.00775973	0.00937234	0.0238994
éclairait	0.0196438	0.0310017	0.0204144	0.0122628	0.0110807	0.0184598	0.0130628	0.0224654	0.0169269	0.0360839	0.0401974	0.0245613	0.0296335	0.0307484	0.0416409	0.041981	0.063904	0.0197315	0.0220165	0.0164532	0.0229077	0.0325006	0.0425213	0.033316	0.0163356	0.0302678	0.0133019	0.0174599	0.015849	0.0139041	0.0162324	0.0157204	0.0137624	0.00903651	0.0104954	0.00902904	0.0148094	0.0127636	0.0108799	0.0111724	0.0097855	0.00888044	0.00878131	0.00766424	0.0107533	0.0105865	0.0132897	0.0112301	0.0141422	0.0103516
la	0.0084018	0.00960321	0.00795518	0.00726608	0.0075028	0.011	0.00973137	0.0119008	0.0101989	0.0154239	0.0169944	0.0156606	0.0190632	0.0158572	0.0173925	0.0162769	0.0196404	0.0149439	0.015307	0.0144986	0.0187186	0.015772	0.0189047	0.0176234	0.0245237	0.0260096	0.0187271	0.0319209	0.0251493	0.033875	0.0267126	0.0355915	0.0368562	0.0330253	0.0362339	0.0320587	0.0396333	0.0430033	0.0346077	0.0240195	0.0208558	0.0150019	0.0141354	0.013682	0.0116483	0.00982955	0.010418	0.012908	0.0174595	0.0364767
maison	0.00775904	0.00743328	0.00670491	0.0057637	0.00851219	0.0134109	0.00930842	0.0102542	0.00802817	0.00841284	0.00969537	0.00903999	0.0127415	0.0113659	0.0105211	0.0109636	0.0133691	0.00586637	0.00731104	0.00539362	0.0110381	0.0121811	0.0186232	0.0255959	0.0414994	0.029462	0.0311419	0.0348975	0.0331937	0.0291025	0.0342224	0.0305097	0.03942	0.0257728	0.0268783	0.0355314	0.0295453	0.0309249	0.0309494	0.0318682	0.024268	0.0284327	0.0329041	0.0219013	0.0214412	0.0148915	0.0207399	0.0168428	0.0210382	0.0333271
avec	0.00584079	0.00391569	0.00339525	0.00318978	0.00394087	0.00906583	0.00702825	0.00555612	0.00522069	0.00577626	0.00617314	0.00793041	0.00966067	0.00851197	0.00814807	0.00702444	0.00754265	0.00518345	0.00584599	0.00394328	0.00764684	0.00538772	0.00940175	0.0117892	0.0201551	0.0172208	0.0214433	0.0272947	0.0314084	0.0279656	0.0384719	0.0454496	0.0584271	0.0579235	0.0540238	0.0587465	0.0611753	0.0442686	0.0471015	0.0489514	0.0287602	0.0215242	0.0279413	0.015515	0.0142954	0.00950848	0.0125693	0.0116395	0.0152055	0.0258947
le	0.0138719	0.0106706	0.0105595	0.0106619	0.0111656	0.0127246	0.01396	0.0108885	0.00904319	0.00703821	0.00827051	0.010026	0.0103281	0.00630587	0.00709282	0.00570381	0.00470463	0.00696494	0.00724943	0.00609897	0.00489902	0.00396966	0.00606601	0.00897641	0.0110355	0.0132255	0.0171281	0.0262534	0.0294023	0.0301342	0.0313894	0.0418353	0.038227	0.0580393	0.0482775	0.0558517	0.0444651	0.0322947	0.0438558	0.0361044	0.0212104	0.0173574	0.0170725	0.0178657	0.0139925	0.0146966	0.0171725	0.0193095	0.0231512	0.0734124
feu	0.0173406	0.010217	0.0087799	0.00779698	0.00816148	0.0135188	0.0104869	0.010628	0.00936749	0.00909779	0.0115276	0.0139133	0.0221063	0.0123485	0.0125405	0.00876925	0.0094497	0.00897772	0.0111119	0.00958944	0.0181568	0.0150088	0.0214842	0.0208299	0.0309832	0.0346518	0.0348491	0.0421238	0.0337068	0.0383186	0.0345252	0.0357668	0.0383059	0.0319561	0.0350033	0.0313656	0.0275457	0.0168713	0.0162298	0.0100363	0.0119834	0.00934164	0.0145232	0.0209956	0.0153675	0.0160695	0.0150497	0.0145919	0.025148	0.0634812
d'	0.00773974	0.00562666	0.00615272	0.00576475	0.00565942	0.00750566	0.00552753	0.0040283	0.00334239	0.003878	0.00444982	0.00325531	0.00340293	0.00409754	0.00400069	0.00390404	0.00275205	0.00272803	0.00333706	0.00340763	0.00438563	0.00455075	0.00627625	0.00686177	0.0147301	0.0127511	0.0191156	0.0269347	0.0276031	0.026606	0.0349579	0.0397588	0.0571417	0.0758572	0.0609995	0.0832351	0.0648879	0.0536595	0.0512747	0.051177	0.023961	0.0195408	0.0163379	0.0155955	0.0115302	0.0140551	0.0173355	0.0191853	0.0199236	0.0292104
une	0.0151766	0.00853735	0.00676546	0.00617957	0.00538629	0.00637016	0.00613792	0.0057365	0.00550801	0.00444	0.00690509	0.00610988	0.00474283	0.00439302	0.00479583	0.00428929	0.00255596	0.00426159	0.00527452	0.00516678	0.00508825	0.00758056	0.0109588	0.0126878	0.0222747	0.0242912	0.0382109	0.0349667	0.0386306	0.02938	0.0347342	0.0358823	0.0393702	0.0379343	0.0397117	0.0401602	0.0303195	0.0240012	0.03289	0.0310637	0.0228729	0.0165951	0.0232293	0.0209084	0.0234661	0.0334907	0.0336961	0.0427824	0.0395512	0.0545384
