 	o	k	o	n	d	z	i	y	a	w	a	y	i	s	á	l	a	á	s	ó	m	b	i	w	á	b	i	k	á	á	n	i	</S>
son	0.0118591	0.0144096	0.0128824	0.013079	0.00995381	0.0103522	0.0105471	0.0215688	0.0184011	0.0406565	0.0563728	0.1038	0.13436	0.101835	0.0432942	0.0281095	0.0215096	0.0236518	0.0226542	0.0188989	0.0191744	0.0293282	0.0193718	0.010225	0.0190249	0.0140506	0.0318902	0.0225627	0.0272145	0.0249083	0.0234303	0.0206596	0.0199639
chef	0.0302242	0.119536	0.161832	0.212408	0.145395	0.0601152	0.0162816	0.0248179	0.034891	0.0302686	0.0281936	0.01478	0.0344873	0.0235263	0.0166755	0.00636357	0.00372199	0.004129	0.00404204	0.00422318	0.00289617	0.00109063	0.0018452	0.000283956	0.00262179	0.001243	0.00431809	0.0030177	0.00230459	0.00121216	0.00155484	0.00113315	0.000566666
de	0.0698449	0.0685978	0.0555526	0.0605422	0.0449849	0.0409482	0.0484377	0.0333703	0.0296382	0.0261112	0.0209301	0.0148501	0.01135	0.0118582	0.0182573	0.00805868	0.00903326	0.00961363	0.0230969	0.021311	0.0450523	0.0653275	0.0383706	0.0250755	0.0420075	0.0259454	0.0322107	0.012029	0.0190994	0.0190319	0.0186917	0.0233927	0.00737852
service	0.00877179	0.0226672	0.0208477	0.0260864	0.0223833	0.0232302	0.0422746	0.0293305	0.0294607	0.036592	0.0249269	0.0181571	0.0202346	0.0148594	0.0156378	0.0131348	0.0137634	0.0207886	0.024048	0.0405031	0.0571689	0.0645119	0.0732243	0.0268686	0.0399933	0.0203702	0.0218557	0.0224613	0.0193717	0.0292174	0.037755	0.0630092	0.0564943
lui	0.0350338	0.0371935	0.0310837	0.0236631	0.0227459	0.0278025	0.0296428	0.0213656	0.021405	0.0215531	0.015001	0.0144039	0.0173265	0.0239143	0.0279806	0.0176464	0.0319709	0.030391	0.0337085	0.0547342	0.0395134	0.0413891	0.0382621	0.0234254	0.0278748	0.0276095	0.0210571	0.0355317	0.0212987	0.0189366	0.0250051	0.0392583	0.102272
a	0.0112876	0.0139171	0.0146792	0.0148396	0.0176627	0.0217407	0.0286601	0.0298514	0.0281155	0.0274184	0.0299183	0.0285148	0.0293308	0.0340528	0.0411233	0.0387712	0.0399087	0.0315	0.0455696	0.0331791	0.0489009	0.0324384	0.0329349	0.0502703	0.0395638	0.0325604	0.02623	0.0267219	0.0335176	0.0276252	0.0233889	0.0261609	0.0396459
acheté	0.0330211	0.032288	0.0303767	0.02726	0.0286302	0.0261568	0.0205284	0.0227069	0.0171944	0.015951	0.0201401	0.018408	0.0197745	0.0304974	0.0255957	0.0222811	0.0267412	0.0267785	0.0474443	0.0420934	0.0522514	0.0371157	0.0361235	0.0237343	0.038111	0.0419127	0.0271205	0.0325666	0.0282881	0.0239366	0.0285252	0.0302745	0.0661721
une	0.0528187	0.0552373	0.0545948	0.0583026	0.0507103	0.0515933	0.0335315	0.0517666	0.0328311	0.0283458	0.0323464	0.0261215	0.0355096	0.0431008	0.0174667	0.0223432	0.030152	0.0372103	0.0203442	0.0379011	0.0204365	0.0110841	0.0168426	0.00580125	0.00558065	0.00632703	0.00677848	0.0134661	0.00768883	0.0114196	0.0142303	0.0210042	0.0871123
bicyclette	0.0654972	0.0788873	0.0708765	0.0609054	0.0455679	0.0233876	0.0133671	0.0182103	0.0177515	0.0206556	0.0186074	0.0193733	0.029786	0.0319626	0.0248909	0.0543723	0.0630711	0.054604	0.0216067	0.0339465	0.00658099	0.00200251	0.00504475	0.00148792	0.00268801	0.00117936	0.00323692	0.00825946	0.00381474	0.0127524	0.015836	0.0153976	0.154392
</S>	0.0852982	0.0561417	0.0461327	0.0385055	0.0348128	0.0357217	0.0383518	0.0288481	0.0295307	0.0226291	0.0264018	0.0144447	0.0167493	0.0206758	0.0156462	0.0115436	0.0217394	0.0219348	0.0273245	0.0427007	0.0464153	0.0245029	0.0531197	0.00677998	0.013377	0.0120186	0.010942	0.0196289	0.0107637	0.0185831	0.0175793	0.0309008	0.100256
