 	n	g	á	í	k	ú	l	u	i	b	v	é	é	l	á	s	w	é	s	a	a	m	ó	m	é	s	á	</S>
j'	0.105396	0.469471	0.198467	0.118411	0.0427217	0.00810003	0.00221223	0.00240591	0.00124385	0.00139563	0.00236896	0.00257896	0.00322239	0.0038221	0.00423963	0.00389352	0.00328406	0.00283175	0.00271481	0.00209783	0.00209392	0.00232514	0.00244188	0.00227554	0.00263488	0.00248752	0.0024344	0.00242783
ai	0.0782112	0.0205039	0.0152166	0.0180905	0.027712	0.0468038	0.0738921	0.0914495	0.101715	0.130254	0.0901723	0.0519375	0.0277861	0.0224212	0.0277097	0.0301124	0.014027	0.0119718	0.00994239	0.00729179	0.00853659	0.0122341	0.00679781	0.0121743	0.00896227	0.0104657	0.0130089	0.0306002
laissé	0.0452044	0.0282454	0.0422831	0.0530065	0.0637104	0.0357023	0.0257903	0.0373283	0.054055	0.0701915	0.0673699	0.0885593	0.0851037	0.0371032	0.0223599	0.0265794	0.0248167	0.0171829	0.0181537	0.0164439	0.0172263	0.0142807	0.0143123	0.0171469	0.0206972	0.0222631	0.0172939	0.0175898
le	0.043369	0.0415945	0.0462724	0.0203392	0.0258433	0.0232393	0.0360977	0.034845	0.0401452	0.0517718	0.0475807	0.0780421	0.0944939	0.0578257	0.0285789	0.0394925	0.0434139	0.0327885	0.0273064	0.0236919	0.017975	0.026659	0.0265181	0.0144176	0.0122353	0.0208863	0.0200356	0.0245411
paquet	0.0396378	0.0237011	0.0175969	0.0162986	0.0269174	0.0398662	0.0342139	0.0620166	0.0522089	0.0647423	0.0623139	0.0823922	0.0676323	0.0417745	0.0265746	0.0249084	0.0235379	0.0221955	0.0194616	0.0153466	0.0174021	0.0200686	0.0217482	0.0209287	0.0223659	0.0298638	0.0411094	0.0631762
de	0.00841178	0.00771411	0.00788259	0.00571313	0.00598183	0.0160413	0.0229757	0.0325066	0.0488513	0.0441411	0.0517587	0.0485481	0.0448044	0.0530954	0.026461	0.0267089	0.0193363	0.0341528	0.0383698	0.01847	0.0188251	0.0300566	0.0477416	0.0517225	0.0456338	0.0602326	0.0851414	0.0987216
poissons	0.0334004	0.0167881	0.0136487	0.00832992	0.0137107	0.0268725	0.0234321	0.0380106	0.046734	0.0417798	0.0515637	0.0589802	0.0587095	0.0521241	0.0264524	0.0274556	0.0311906	0.0318424	0.0324132	0.0173355	0.0183953	0.0224752	0.0336113	0.0374146	0.0400231	0.0452154	0.0547833	0.0973076
sur	0.0386278	0.0329376	0.03505	0.0282048	0.0257799	0.022885	0.0137155	0.0219896	0.0235174	0.0230118	0.0285068	0.0337399	0.0384938	0.0303302	0.0173164	0.0194838	0.0266844	0.0266189	0.0280093	0.0128	0.0142204	0.0208155	0.033928	0.0405207	0.0577723	0.0719767	0.0953437	0.13772
la	0.0270242	0.0253592	0.0311486	0.0229587	0.022667	0.0226829	0.0194289	0.02467	0.0247895	0.0253298	0.0237303	0.0281671	0.0379003	0.0383331	0.0159069	0.0213246	0.0319004	0.0327676	0.0493225	0.0279922	0.0331944	0.033404	0.0339007	0.0410548	0.0598749	0.0714989	0.0813966	0.0922718
table	0.032334	0.0324778	0.0375219	0.0406285	0.0189604	0.0133815	0.0128191	0.0147007	0.0141449	0.0171786	0.0155406	0.0232133	0.0315187	0.0342915	0.0212768	0.0250329	0.0278952	0.02944	0.0395494	0.0304657	0.0337164	0.0300212	0.0255523	0.033771	0.0541108	0.0884951	0.108373	0.113589
</S>	0.140305	0.0320287	0.0301266	0.0230508	0.0225371	0.0200348	0.0291195	0.0238882	0.0321077	0.0275571	0.0213993	0.0225354	0.0224879	0.0245496	0.0215938	0.0364728	0.0369208	0.0321095	0.0467665	0.0279804	0.0236113	0.0215957	0.026015	0.0199743	0.0251045	0.0461095	0.0531682	0.11085
