 	w	á	á	n	ω	o	b	h	á	á	g	h	í	o	k	o	ó	m	í	s	i	m	u	a	ó	d	í	o	b	v	ú	r	á	o	t	ω	ω	k	a	á	</S>
si	0.14535	0.112057	0.117998	0.0854922	0.0298431	0.0135233	0.0266984	0.0128561	0.0118304	0.0129681	0.0132655	0.0104961	0.0140839	0.0180622	0.0199888	0.0138962	0.0114786	0.0196954	0.0151176	0.0222327	0.0114917	0.00642517	0.00564973	0.00494474	0.00550837	0.00586125	0.00384216	0.0114296	0.0139214	0.0134549	0.0195851	0.0188359	0.020373	0.0137348	0.0188212	0.0204169	0.0174773	0.0236649	0.0169082	0.0114627	0.00925724
tu	0.126828	0.100219	0.0510735	0.0355478	0.0500941	0.0495796	0.062934	0.0466999	0.054585	0.0579738	0.0420843	0.0470939	0.0236533	0.0477287	0.0328111	0.021478	0.0127767	0.0127164	0.00664073	0.0246336	0.00975317	0.00523061	0.00119861	0.00102015	0.00179722	0.00383803	0.00148149	0.00726773	0.00599889	0.0102439	0.00336948	0.00219146	0.00196388	0.00147533	0.00265018	0.00187462	0.00335211	0.00426915	0.00448007	0.00292577	0.0164672
enlèves	0.0096261	0.00724587	0.0160132	0.0133779	0.0303616	0.0498546	0.0225906	0.016395	0.0342724	0.0316494	0.0350475	0.042424	0.0586975	0.0474486	0.0815702	0.0628252	0.0451703	0.0300925	0.033763	0.0545108	0.0450888	0.0188884	0.0102948	0.0101439	0.0157011	0.0147683	0.0118073	0.0117491	0.0143798	0.0148702	0.00672407	0.00806466	0.0108951	0.00433731	0.0111488	0.00625233	0.0083927	0.0113917	0.0127107	0.0107271	0.0187277
les	0.00675368	0.00496751	0.00535788	0.00912122	0.0149179	0.0189426	0.013082	0.0153305	0.0226506	0.0236223	0.0196309	0.024115	0.0227192	0.0275006	0.030692	0.0317397	0.0540059	0.016527	0.0273286	0.0375031	0.0449166	0.0309969	0.0281802	0.0355237	0.0283731	0.026613	0.0685094	0.0567073	0.0394252	0.0358761	0.0172719	0.0233862	0.0167204	0.0084161	0.00916361	0.00433329	0.0113061	0.0108388	0.0132482	0.0207837	0.0429022
bourgeons	0.00249983	0.00229011	0.00514596	0.00448514	0.0118008	0.0110994	0.00814875	0.0140486	0.0166551	0.0247424	0.0196728	0.0213271	0.0243364	0.018847	0.0184541	0.0136911	0.0170124	0.014125	0.0297563	0.0335897	0.0392642	0.0455331	0.0308109	0.047355	0.0501014	0.0405726	0.0486016	0.0300402	0.0295137	0.029518	0.044327	0.0402639	0.0339024	0.0341901	0.0323853	0.014815	0.0181066	0.0119618	0.0118578	0.0221476	0.0330039
de	0.00402747	0.00350026	0.00504373	0.00412354	0.0154808	0.0131984	0.0081938	0.0252576	0.0232022	0.0249265	0.0233183	0.0281236	0.0381498	0.0253907	0.0201128	0.0203471	0.020129	0.0174596	0.0268894	0.0437584	0.0525041	0.035089	0.0243731	0.033217	0.0299302	0.0251029	0.0509938	0.0221992	0.0347978	0.0361686	0.030881	0.0199546	0.0200346	0.0156045	0.0150892	0.0119627	0.0157964	0.0138675	0.0142092	0.0375424	0.0700491
la	0.00538005	0.00439494	0.00431003	0.00522765	0.0184276	0.0129373	0.0145937	0.0181181	0.0259218	0.0240235	0.0179811	0.0254739	0.0255886	0.0229726	0.0130651	0.020594	0.0253202	0.0241747	0.0298414	0.0399689	0.039593	0.0328627	0.0246085	0.0264464	0.0251799	0.0231359	0.0275416	0.0277516	0.0245556	0.0189178	0.0211241	0.0175386	0.0226388	0.0176655	0.0222989	0.0220686	0.0226971	0.0267723	0.0313329	0.061724	0.0852308
canne-à-	0.00904094	0.00773102	0.00766044	0.00874961	0.0199243	0.0136706	0.012064	0.0164169	0.0200704	0.012757	0.0164406	0.0241632	0.0264708	0.0200762	0.0129856	0.018703	0.0229003	0.0215478	0.0293944	0.0397823	0.0472404	0.0418021	0.0224937	0.0250837	0.0328298	0.0327025	0.0420097	0.0362966	0.0297722	0.0267305	0.0245139	0.0187958	0.0245327	0.0174828	0.0184588	0.0149383	0.016595	0.0260895	0.0209474	0.0561966	0.0639385
sucre	0.00855891	0.00534611	0.00560217	0.00797548	0.0153895	0.011373	0.0113308	0.0156613	0.0263703	0.0186273	0.0159574	0.0226372	0.0221381	0.0158874	0.0111423	0.0144071	0.0193717	0.0191694	0.0313803	0.0409747	0.0405042	0.0379141	0.0321531	0.0312463	0.0296497	0.027231	0.0327122	0.0268238	0.0253515	0.0206031	0.0205532	0.0174626	0.0245483	0.0192058	0.0215879	0.0270518	0.0278296	0.0300021	0.032958	0.0662082	0.0691027
celle-ci	0.00868781	0.00701812	0.00731802	0.00847948	0.011243	0.00988472	0.00959494	0.0110004	0.0138492	0.0120069	0.009777	0.0130792	0.012081	0.00984632	0.00963517	0.00980023	0.0124194	0.0108095	0.023059	0.0335233	0.0355401	0.0306606	0.0310685	0.041227	0.0413103	0.0390077	0.042662	0.0268848	0.0280966	0.0229658	0.0376302	0.0366051	0.0456157	0.0364781	0.0330953	0.0333827	0.0317063	0.0366681	0.0338405	0.0475436	0.0448983
