 	n	g	ó	o	l	á	a	s	í	n	y	í	s	á	m	w	á	n	a	o	b	o	s	ó	b	í	b	v	e	e	s	a	l	á	w	a	f	u	l	ú	</S>
la	0.107983	0.0792606	0.0538101	0.0231813	0.00596414	0.00770839	0.00754681	0.00617037	0.00984051	0.0177868	0.0253292	0.0438782	0.0712959	0.0643643	0.122885	0.0245187	0.0269576	0.00967941	0.00863793	0.0182317	0.00988104	0.0119088	0.00946223	0.00848221	0.0060404	0.0111684	0.011984	0.0110259	0.0123441	0.0106623	0.0143684	0.0110416	0.0130771	0.0157711	0.0215897	0.0102874	0.0155475	0.0153521	0.0128139	0.0189605	0.0132018
mère	0.680211	0.0680765	0.0208535	0.0354894	0.0560177	0.0471953	0.0241077	0.0173377	0.0104865	0.00917056	0.00667727	0.00390819	0.00205223	0.000984653	0.000687221	0.00107301	0.00085675	0.000624386	0.00100319	0.000434261	0.000270388	0.000343174	0.000368605	0.000402356	0.000850896	0.00141171	0.00130264	0.000763037	0.000680838	0.000566605	0.00084078	0.000754725	0.000917381	0.00040895	0.00101383	0.000464996	0.000467535	0.000319966	0.000195028	0.000281172	0.000128629
fait	0.0143405	0.0177051	0.0193408	0.0248985	0.0200061	0.0285629	0.0217659	0.0289646	0.0400387	0.0267733	0.0231756	0.0288736	0.035089	0.0505168	0.0261446	0.0389462	0.021009	0.0152537	0.0205492	0.0187707	0.0198572	0.0192324	0.0238825	0.0154325	0.0152409	0.0191089	0.0245322	0.0290165	0.0296817	0.0318439	0.0401358	0.0355236	0.0281375	0.0206205	0.0254305	0.0142561	0.0221685	0.0150111	0.0118492	0.0261077	0.0122057
pisser	0.0299214	0.0152735	0.012625	0.013444	0.011811	0.0134914	0.0152421	0.0171947	0.0210165	0.0170442	0.0178917	0.0192194	0.0234092	0.0215771	0.0324597	0.025266	0.0209077	0.0318273	0.0271541	0.0356205	0.0210609	0.0173792	0.0212099	0.0172888	0.0210885	0.0258633	0.0310683	0.0261977	0.0201521	0.0361901	0.028575	0.0295942	0.029496	0.0319811	0.0171677	0.0160691	0.0221879	0.0225271	0.0341307	0.0560651	0.0523107
l'	0.0298034	0.018147	0.0180113	0.0230682	0.0240048	0.0260117	0.0374895	0.0303716	0.0414145	0.0391737	0.0371213	0.0245945	0.0183554	0.0237976	0.0203871	0.0183485	0.0207824	0.0259252	0.0197127	0.0186293	0.0272685	0.0310595	0.0227988	0.0308818	0.0308597	0.0312968	0.0346696	0.0271712	0.0197629	0.0237624	0.0209512	0.0172837	0.0213074	0.0177481	0.0164578	0.0135227	0.012668	0.0117007	0.0156788	0.0244557	0.033545
enfant	0.0110588	0.0075054	0.0100723	0.00961159	0.0111297	0.00996099	0.0108281	0.011674	0.0187876	0.0142464	0.0149168	0.0170436	0.0203061	0.0227477	0.0267451	0.021279	0.0303403	0.0369267	0.0352095	0.0361371	0.0330027	0.0328705	0.0351652	0.0368238	0.0356626	0.0427324	0.0441762	0.0343648	0.0438182	0.0509793	0.0414953	0.0260201	0.0325095	0.0192566	0.00970013	0.0101564	0.0122118	0.0136994	0.0178564	0.0231949	0.0277771
avant	0.0072839	0.00661333	0.00754364	0.00725583	0.00953025	0.0147973	0.0170112	0.0131507	0.0139411	0.0174677	0.0164255	0.0135402	0.0152465	0.0167183	0.0144423	0.011138	0.0129242	0.0241887	0.015301	0.0169418	0.0313474	0.0434628	0.0474533	0.0546675	0.0576971	0.05271	0.0547807	0.0525577	0.0401755	0.0311305	0.025196	0.0236725	0.0249223	0.0238755	0.0195566	0.0208832	0.0222952	0.0233747	0.0248093	0.0248274	0.0291434
de	0.0178392	0.00954559	0.00962147	0.0169258	0.018911	0.0154427	0.0235563	0.0161418	0.01933	0.0232804	0.0178963	0.0114227	0.0127972	0.0159787	0.0173909	0.0123628	0.0108764	0.0170505	0.0118009	0.0129156	0.028707	0.0268352	0.0231239	0.0365145	0.0383159	0.0313536	0.0334934	0.0311361	0.0242652	0.0241947	0.0226132	0.0303209	0.027068	0.0425815	0.0328058	0.0426131	0.0276612	0.0348675	0.0398254	0.0377544	0.0528631
le	0.0254597	0.0150327	0.0157133	0.0190654	0.009386	0.00629692	0.00830378	0.00762196	0.00772523	0.00717496	0.00647417	0.00592344	0.00931723	0.0109209	0.0134127	0.0171228	0.0197338	0.0245984	0.0389558	0.0288503	0.0579293	0.0295726	0.0489629	0.0314175	0.0459334	0.0309503	0.0270813	0.0280824	0.0258295	0.0268399	0.0321263	0.0228524	0.0404802	0.0226476	0.0167079	0.0183246	0.0231257	0.0233385	0.0359262	0.0496788	0.0651034
mettre	0.0210709	0.0166951	0.0142581	0.0121829	0.00933287	0.00805297	0.00932869	0.00979353	0.0106591	0.0082317	0.00833898	0.00927699	0.0147881	0.0169981	0.021504	0.0208157	0.0229656	0.0326548	0.0316359	0.0363358	0.0307548	0.0316198	0.0376934	0.0320475	0.0317656	0.0253267	0.0243497	0.0287573	0.0291714	0.0323953	0.028192	0.0209858	0.0286063	0.0195352	0.0096731	0.0138065	0.0194821	0.0276871	0.0474645	0.0486723	0.0970938
