 	k	á	s	i	y	é	é	y	í	í	b	í	n	í	b	ε	έ	b	ε	έ	l	a	m	í	á	é	m	i	b	ω	b	h	ω	ω	</S>
les	0.0208833	0.0440448	0.0402356	0.028559	0.0205428	0.0192606	0.016599	0.032986	0.0456254	0.0332753	0.0384948	0.0319625	0.0696635	0.0848928	0.0727857	0.0409567	0.0223532	0.0235505	0.014483	0.0159288	0.0190158	0.0172355	0.0245476	0.0233534	0.0267275	0.0302447	0.0207875	0.0176041	0.0159012	0.0161389	0.0133248	0.0125778	0.0138521	0.0151279	0.0164778
feuilles	0.0416042	0.0290268	0.0328241	0.0565255	0.0886186	0.0737296	0.019854	0.0212244	0.0199569	0.00880437	0.00954248	0.00879476	0.0145564	0.0116657	0.0135844	0.0222641	0.0263074	0.0328526	0.0189598	0.0229133	0.0323129	0.0277546	0.0241236	0.0312367	0.0329756	0.0279112	0.0410043	0.044652	0.0326807	0.0480666	0.0303711	0.0259476	0.0114379	0.00963498	0.00628044
que	0.106374	0.025835	0.0178303	0.0134588	0.0165376	0.0104314	0.0120725	0.0190419	0.0224503	0.0224013	0.0319414	0.0183207	0.0134417	0.0156299	0.0170566	0.0210571	0.019104	0.0241727	0.0438815	0.0540397	0.0377625	0.0222366	0.0266548	0.0303974	0.0311319	0.0290031	0.0389304	0.0465068	0.0380408	0.0472124	0.0372456	0.0324399	0.0193223	0.0250153	0.0130224
vous	0.0137592	0.0157545	0.0358859	0.0238045	0.0283002	0.0231726	0.0227323	0.0250209	0.0333878	0.0346649	0.036824	0.0350376	0.0419308	0.0440992	0.0342799	0.0357642	0.0339194	0.0324214	0.0249829	0.0380903	0.0295341	0.015779	0.0169144	0.0146536	0.0113984	0.0122651	0.0134119	0.0157585	0.0184394	0.0196918	0.0249468	0.0372152	0.0543308	0.0573658	0.0444631
avez	0.0394937	0.0276276	0.026793	0.0229912	0.0317874	0.0310113	0.0327627	0.0316689	0.0338885	0.0312742	0.032747	0.0263284	0.0256903	0.026144	0.0245992	0.0247205	0.0234262	0.0220609	0.0310754	0.0439312	0.0466154	0.0337126	0.0262188	0.023486	0.0198469	0.0210958	0.0173659	0.0128686	0.014384	0.0116014	0.0119803	0.0153039	0.0166404	0.0344606	0.104398
laissées	0.0255287	0.0230616	0.0239642	0.0241317	0.0262011	0.0273231	0.0314696	0.0356682	0.0349762	0.0387741	0.0319432	0.0245955	0.0232176	0.0227921	0.020631	0.0215219	0.0195793	0.0164032	0.0207488	0.0229609	0.0292745	0.0271844	0.0267153	0.0260207	0.0242265	0.0256141	0.019381	0.0226164	0.023323	0.0210142	0.0230258	0.0288686	0.0363775	0.0592551	0.0916106
près	0.0153508	0.0227089	0.0165741	0.0185821	0.0218045	0.0257754	0.0252115	0.0371868	0.0365752	0.0412493	0.0392736	0.0313844	0.0231876	0.020855	0.0150136	0.0187719	0.0203597	0.0180988	0.0223384	0.0219768	0.0217604	0.0196995	0.0216861	0.0194429	0.0216542	0.0245446	0.0251473	0.0274936	0.029454	0.0257105	0.0311976	0.0396788	0.0457485	0.061467	0.0930368
du	0.0206739	0.0195241	0.0172135	0.0195082	0.0283215	0.0366709	0.043654	0.04528	0.0442469	0.0443616	0.0404463	0.0390948	0.0286854	0.0268875	0.0226898	0.0306194	0.0248147	0.0171825	0.0196536	0.0192959	0.0178629	0.0194428	0.0134074	0.0135808	0.0119674	0.0131238	0.0135836	0.0139084	0.0149374	0.0143591	0.0170463	0.0222759	0.0362256	0.057346	0.132108
feu	0.0315928	0.0228504	0.0234846	0.0249589	0.0306125	0.0391478	0.0289897	0.0219081	0.017421	0.0146601	0.0115936	0.0135731	0.0113503	0.0111159	0.0112523	0.0108697	0.0122102	0.0112938	0.0125502	0.0185959	0.0208467	0.0237242	0.0211595	0.0255692	0.0281401	0.0238178	0.0259179	0.0311322	0.0290805	0.0351886	0.0388739	0.0496261	0.0797085	0.0732082	0.113976
se	0.0334552	0.0168327	0.0139493	0.0143558	0.017782	0.0287428	0.0484378	0.0450086	0.040103	0.0406054	0.0261248	0.0225431	0.0099118	0.0100567	0.00902876	0.0156641	0.0165968	0.0164127	0.0258485	0.0273489	0.0318406	0.0357669	0.0258248	0.0356877	0.0238558	0.0221738	0.0209864	0.0164157	0.0175933	0.0186676	0.0192607	0.0299739	0.054277	0.068579	0.100288
sont	0.0792362	0.0415993	0.0302752	0.0243551	0.0168871	0.0102447	0.00647988	0.00687505	0.00692561	0.00500053	0.00422533	0.00646717	0.00559503	0.00798379	0.0104322	0.00803138	0.0137347	0.0177063	0.028599	0.0301377	0.0281205	0.0192295	0.0185359	0.0209322	0.019866	0.0207245	0.0250053	0.0195125	0.0229773	0.0320851	0.0390556	0.0773297	0.0859702	0.091218	0.118646
flétries	0.084529	0.0542302	0.0405801	0.0315023	0.0221747	0.0120256	0.00555951	0.00681484	0.00670966	0.00472669	0.00413164	0.00616153	0.00487141	0.00808181	0.0127509	0.0122761	0.0194721	0.0191414	0.0246665	0.0178883	0.0132718	0.0145067	0.0144003	0.0142061	0.0123831	0.014787	0.0325072	0.0182706	0.0151578	0.0368661	0.0408447	0.0851484	0.0966408	0.0914459	0.101269
</S>	0.0713592	0.0494693	0.0639377	0.0393722	0.0347303	0.0288376	0.0285193	0.0356912	0.0279665	0.0180484	0.0124318	0.0099235	0.00693247	0.00714336	0.00628362	0.00768727	0.0120536	0.012297	0.0139089	0.0239134	0.0153437	0.0140986	0.0155952	0.0137482	0.0153076	0.0177945	0.0201878	0.0236388	0.0360567	0.0364069	0.0514493	0.0646607	0.0541723	0.0573249	0.0537083
