 	i	s	y	έ	έ	g	h	έ	l	í	i	t	ω	ώ	s	á	k	ώ	l	a	á	s	ó	l	ω	n	g	ώ	</S>
le	0.0626547	0.020943	0.0119035	0.00933172	0.0060606	0.00675172	0.0159462	0.0175658	0.0323413	0.0707002	0.086426	0.0754368	0.0525716	0.0703692	0.0727611	0.061309	0.0432781	0.0405684	0.0430269	0.0308236	0.0312722	0.0150094	0.0221446	0.0147951	0.0132875	0.0153114	0.0195499	0.0163954	0.0214649
champignon	0.0370672	0.083632	0.140057	0.113708	0.0513974	0.066951	0.0239583	0.0262994	0.0112766	0.0840173	0.0382956	0.0713241	0.0639874	0.040411	0.0435664	0.0226576	0.0134588	0.0125574	0.013869	0.00727731	0.00755735	0.00650299	0.00629596	0.00471184	0.00335072	0.00234943	0.00146806	0.00106259	0.000932078
blanc	0.0502899	0.0381849	0.0599725	0.0537476	0.0453359	0.0526214	0.0552559	0.136108	0.0827564	0.0480109	0.0414524	0.0313576	0.0353651	0.0196167	0.0294917	0.036788	0.0302423	0.0252584	0.0240774	0.0211305	0.0202862	0.0143096	0.0124322	0.00843553	0.00733779	0.00562825	0.00498909	0.00406316	0.00545446
isyeeghe	0.0385866	0.0515526	0.0617564	0.0836162	0.0841749	0.0687029	0.0549585	0.0310093	0.0372443	0.0198095	0.0280241	0.0252936	0.0232637	0.016284	0.0229824	0.0306227	0.0373985	0.0426706	0.035363	0.0203644	0.0249479	0.0191926	0.0173297	0.0127227	0.0156094	0.0244313	0.025549	0.0225338	0.0240056
pousse	0.0556659	0.0862791	0.0813912	0.0622673	0.0490407	0.0312731	0.0515464	0.0442366	0.0476855	0.0550672	0.0451642	0.0393794	0.0308498	0.0235595	0.0255935	0.022748	0.0133495	0.010499	0.00927112	0.00807391	0.00688415	0.00637317	0.00580216	0.00881926	0.00859374	0.011184	0.0206442	0.027345	0.111414
aussi	0.0983417	0.0661023	0.0527668	0.0490573	0.0358454	0.0257481	0.0222513	0.0228723	0.0197598	0.00962973	0.0137039	0.0117531	0.00949803	0.00962581	0.00710535	0.0103519	0.0164648	0.0303172	0.0243489	0.0252805	0.0429601	0.0451269	0.0417594	0.0407357	0.0443749	0.0491337	0.0575623	0.045855	0.0716676
bien	0.0262288	0.012985	0.0128361	0.0161879	0.0153083	0.0185757	0.0120651	0.0150332	0.0199775	0.0236218	0.0297844	0.0267117	0.024727	0.0220315	0.0202379	0.0177321	0.0185483	0.0195978	0.0325074	0.0388201	0.0337926	0.0529419	0.0607284	0.0683629	0.0637229	0.0614337	0.0622199	0.0799329	0.0933472
dans	0.023591	0.0204424	0.0205719	0.0221866	0.028013	0.0298331	0.0286294	0.0208437	0.0122836	0.00861012	0.0097836	0.00869903	0.0073929	0.00953608	0.0120092	0.0205435	0.0274959	0.0331063	0.0410363	0.0424799	0.0484877	0.0525898	0.050785	0.0564699	0.0538604	0.0606298	0.069725	0.0707592	0.109606
la	0.0308403	0.0271185	0.0262946	0.0266205	0.0256526	0.0212882	0.0161181	0.0192337	0.0104596	0.00347589	0.00417986	0.00361631	0.00307647	0.00361564	0.00518188	0.00985773	0.0155355	0.0229044	0.028096	0.0390387	0.0568259	0.0627865	0.055022	0.0689228	0.0639642	0.0820704	0.0859175	0.0871622	0.0951241
forêt	0.064528	0.0457731	0.0348123	0.0304035	0.0263884	0.00991234	0.00485874	0.00614432	0.00382645	0.00360716	0.00455301	0.00404599	0.0036201	0.00458241	0.00570572	0.00748513	0.0135185	0.0225386	0.0276587	0.0254456	0.0471924	0.0610325	0.034371	0.0726119	0.0624161	0.101847	0.0782071	0.0817586	0.111155
que	0.0465088	0.0202912	0.0145542	0.0135007	0.0138315	0.012712	0.00420506	0.00381076	0.00209652	0.00146616	0.00161787	0.00130711	0.00132874	0.00188214	0.00348751	0.00638571	0.0121333	0.0260473	0.0372293	0.0393893	0.0568607	0.062829	0.0570031	0.0890925	0.0548836	0.0948297	0.0894851	0.0994268	0.131804
dans	0.0569179	0.0258362	0.0177648	0.0182589	0.0128153	0.0211567	0.00722212	0.0139496	0.00575745	0.0052715	0.00587222	0.00518383	0.00583547	0.00455703	0.00613447	0.0122389	0.0128021	0.0187549	0.0329608	0.0446098	0.0522059	0.0568316	0.0360962	0.066747	0.0586054	0.0718661	0.0827661	0.0814832	0.159499
la	0.0457584	0.0285537	0.023266	0.0274986	0.0257498	0.0326211	0.0104462	0.0182111	0.00738999	0.00377328	0.0042983	0.00369573	0.00333413	0.00352963	0.00515205	0.00870175	0.0135506	0.0206923	0.0277522	0.0393544	0.058206	0.0557069	0.0445399	0.0734662	0.0506448	0.0672095	0.0752328	0.0751538	0.146511
plaine	0.0290843	0.0137721	0.0118111	0.0130863	0.0138272	0.013642	0.00485661	0.00340937	0.00230065	0.0012241	0.00137747	0.00118637	0.00107305	0.00160279	0.00256083	0.00359762	0.0065344	0.0157145	0.0281211	0.032478	0.0445159	0.0467054	0.0324809	0.0591874	0.0452938	0.0934526	0.114784	0.13728	0.225041
</S>	0.0200179	0.0142801	0.0152653	0.0109415	0.0111311	0.00962468	0.00856805	0.00637696	0.00429142	0.00275868	0.00278492	0.00206688	0.00165651	0.00217478	0.00293404	0.00560016	0.0094828	0.0167241	0.0273575	0.0374395	0.0603701	0.0602574	0.0260207	0.0519159	0.0614701	0.0779149	0.106497	0.100467	0.243611
