 	a	d	i	b	v	ú	u	ω	k	y	a	k	a	á	</S>
ce	0.12236	0.113255	0.0188313	0.010277	0.0195017	0.0270295	0.0332339	0.0236166	0.0405102	0.0502335	0.0925378	0.218795	0.119179	0.0657575	0.0448821
n'	0.169091	0.0821215	0.108889	0.0561036	0.13363	0.113254	0.129058	0.0966006	0.0271664	0.017308	0.0153759	0.00970654	0.0203755	0.0113645	0.00995481
est	0.18243	0.151764	0.183846	0.197231	0.0607027	0.0392621	0.0348271	0.0516981	0.0238679	0.0137683	0.00826762	0.00376801	0.00945455	0.011325	0.0277875
pas	0.176822	0.201192	0.11254	0.0680581	0.0310579	0.0283163	0.0351757	0.0470005	0.0425811	0.0462802	0.0314383	0.0345327	0.0436346	0.0518385	0.0495323
ainsi	0.0788308	0.0609459	0.04252	0.0535385	0.0407285	0.0642658	0.0522498	0.0441415	0.0317893	0.0315559	0.0366224	0.04759	0.107121	0.108255	0.199845
qu'	0.100132	0.0489226	0.0328925	0.0455634	0.0413679	0.04742	0.0401514	0.0309666	0.0333869	0.0380368	0.0528813	0.0949382	0.120644	0.111462	0.161234
il	0.122008	0.0565767	0.0555379	0.0659972	0.0488441	0.0448284	0.0427909	0.0378582	0.0435734	0.0407679	0.0463076	0.0575403	0.0909141	0.100204	0.146251
faut	0.176888	0.088443	0.0643646	0.0613836	0.0432364	0.0391117	0.0407702	0.0276742	0.0271564	0.0379557	0.0280128	0.0289563	0.0499874	0.0666545	0.219405
faire	0.488307	0.134523	0.0598116	0.0527133	0.0352294	0.0407385	0.0257301	0.00933126	0.0113323	0.0152899	0.011552	0.0121757	0.0202122	0.0211219	0.0619318
</S>	0.373576	0.231826	0.12043	0.0542204	0.032163	0.0266279	0.0180531	0.0125655	0.0109241	0.0129999	0.0110185	0.0114913	0.0170186	0.0206708	0.0464147
