 	n	g	á	í	s	e	e	n	g	i	m	ó	b	v	á	r	e	b	á	n	ω	m	í	k	y	é	n	a	l	á	n	d	z	á	l	é	</S>
je	0.203264	0.283647	0.144841	0.0563145	0.0140789	0.00380056	0.00395271	0.00546367	0.00623878	0.00598871	0.00800686	0.00924301	0.013003	0.0131413	0.0125771	0.00848423	0.00878276	0.00915473	0.0109057	0.0108725	0.00792875	0.0110297	0.00849191	0.00912987	0.00943351	0.00935834	0.00929035	0.00939317	0.00743283	0.0096327	0.00986512	0.0109366	0.00943672	0.0111323	0.011987	0.0122567	0.0115035
me	0.0966869	0.0581567	0.0902508	0.0657141	0.0215875	0.0359084	0.049225	0.0628486	0.0589652	0.0438205	0.0708095	0.0241565	0.0217327	0.0179687	0.0132927	0.0187714	0.0212309	0.0273452	0.0208778	0.0156933	0.0108763	0.00951045	0.00756581	0.0164648	0.00907268	0.00988494	0.00963117	0.00673541	0.00490046	0.00544527	0.00979329	0.00798464	0.00786429	0.00906323	0.00763948	0.00988215	0.0226433
suis	0.0620175	0.0476821	0.0169423	0.0407514	0.040261	0.0295138	0.0345308	0.0260204	0.0281308	0.0290002	0.0144272	0.0196696	0.0226932	0.0169362	0.029918	0.0166091	0.0306241	0.062063	0.0541715	0.0553988	0.0497904	0.0315997	0.0351568	0.0379901	0.0249455	0.0167609	0.0166724	0.0132557	0.0110557	0.0150435	0.00648101	0.00853205	0.00783239	0.0100573	0.0127106	0.011487	0.0132682
servi	0.0183319	0.00827861	0.00636228	0.0108275	0.00908964	0.0270483	0.0240071	0.0362828	0.041645	0.0359349	0.0300803	0.044438	0.0432719	0.0370695	0.0339002	0.0339635	0.0304182	0.0245044	0.0246117	0.0235915	0.0233118	0.0152879	0.0163649	0.0299748	0.0285254	0.0286431	0.0261594	0.0325301	0.0269788	0.0345718	0.0427003	0.0389138	0.029863	0.0240004	0.0192297	0.0194102	0.0198773
de	0.00552102	0.00261903	0.00326323	0.00463355	0.0208702	0.0549113	0.0417966	0.0402946	0.0477315	0.0374703	0.0223589	0.0232636	0.0208906	0.0199487	0.031989	0.0436586	0.0465353	0.0376087	0.0315986	0.0365099	0.0315443	0.0388908	0.0319287	0.0258278	0.0287109	0.0266241	0.0186647	0.0157759	0.0197018	0.0136661	0.0181339	0.017347	0.0230695	0.0254518	0.0225758	0.0289524	0.0396611
ta	0.0115894	0.00712308	0.00875598	0.00996005	0.00996592	0.0126933	0.0120847	0.0184938	0.0185199	0.0222753	0.0173162	0.0182332	0.0164742	0.0284476	0.0297519	0.0360162	0.0400493	0.0376427	0.031297	0.0325944	0.0314208	0.0411802	0.0488516	0.0316274	0.0358278	0.034979	0.0304437	0.0295451	0.0409193	0.0318904	0.0261573	0.0348599	0.0286604	0.0276251	0.0281323	0.0291103	0.0494852
pirogue	0.00563489	0.00454454	0.00625194	0.00989397	0.00567105	0.00880007	0.0102381	0.0215356	0.0304544	0.0476219	0.0341326	0.0389051	0.0283751	0.0316062	0.0224883	0.0211226	0.0193441	0.014708	0.0139196	0.0185075	0.0162683	0.0141303	0.0145127	0.0223717	0.0189811	0.0230252	0.0261879	0.0354295	0.0267364	0.0571655	0.0560224	0.0286624	0.0305489	0.0459777	0.039096	0.0708435	0.0802846
pour	0.0139067	0.0122196	0.0176409	0.0178019	0.0129906	0.0140029	0.0115086	0.0221546	0.0235248	0.0333928	0.0189008	0.0204789	0.0182044	0.0224484	0.0258661	0.0337589	0.0340306	0.0283329	0.0253706	0.0371398	0.0272088	0.0184875	0.0163232	0.0271665	0.0179615	0.0191731	0.0176379	0.0245913	0.0157437	0.0496401	0.0594516	0.0286581	0.0273813	0.0327856	0.0228331	0.0951152	0.0561667
traverser	0.0249672	0.0160686	0.00856224	0.0119866	0.01486	0.0143802	0.0127843	0.0141582	0.0141836	0.0128838	0.0117451	0.0118781	0.0112079	0.0136029	0.01619	0.0233373	0.0271184	0.0293984	0.0321795	0.0398651	0.0370792	0.0399613	0.0367273	0.0372603	0.0359164	0.0319018	0.0248239	0.0275726	0.022686	0.0308779	0.0323408	0.0418122	0.0410845	0.045098	0.0474461	0.0508564	0.0551981
la	0.0185633	0.0165348	0.00630844	0.0103783	0.0158384	0.017287	0.0142246	0.0147991	0.0180316	0.0191294	0.0177658	0.0212916	0.0184384	0.0282032	0.0278108	0.0352913	0.0292135	0.0239887	0.0286349	0.0263534	0.0199867	0.0253306	0.0227612	0.0217849	0.0252435	0.0208728	0.019945	0.0210322	0.0237797	0.0232891	0.0253776	0.0471957	0.0512516	0.0545903	0.0607724	0.0621354	0.0665648
rivière	0.009162	0.00876397	0.00700884	0.00924714	0.00673571	0.00591769	0.00498369	0.0100877	0.00957762	0.00987422	0.0093866	0.0112308	0.0117694	0.0139965	0.0132861	0.0180763	0.0189792	0.0136351	0.016596	0.0231805	0.0193247	0.0190617	0.0174137	0.0292741	0.0335572	0.0389226	0.0405608	0.0489111	0.0397808	0.0560899	0.0516077	0.0528637	0.0442292	0.0648431	0.0665604	0.0774625	0.0680417
</S>	0.0150194	0.00850247	0.00309637	0.00457958	0.00704568	0.0099727	0.0105701	0.0164961	0.0171799	0.0182255	0.016999	0.0192492	0.0185086	0.0245182	0.0241698	0.0306813	0.0244192	0.022085	0.0294497	0.0296002	0.0229133	0.0192193	0.0187295	0.033825	0.0306879	0.0279028	0.0315085	0.0332809	0.0249403	0.0317911	0.0412806	0.0386193	0.032772	0.0479817	0.0589636	0.0660933	0.0891228
