 	l	a	m	b	v	ú	á	b	ó	o	k	y	ε	l	i	m	á	l	á	t	s	ε	a	d	í	k	a	á	</S>
sous	0.00858772	0.0120428	0.00904818	0.00968076	0.0118739	0.0256213	0.0333327	0.0442514	0.0469506	0.0566478	0.0824825	0.150121	0.0829179	0.0303201	0.040896	0.0322141	0.032633	0.0346437	0.0281799	0.026805	0.01461	0.0123432	0.0186672	0.0283296	0.0306593	0.039056	0.0237515	0.0186121	0.014721
cette	0.0494702	0.0435257	0.0200169	0.0188065	0.0235851	0.019928	0.0147821	0.0118154	0.0263157	0.0502589	0.100146	0.214384	0.160614	0.0739595	0.0494385	0.0204637	0.0125941	0.00622669	0.00733135	0.00836544	0.00347078	0.0024695	0.00382621	0.0081185	0.0086429	0.00691964	0.0122844	0.00646732	0.0157727
pluie	0.0323321	0.0181633	0.0189367	0.0113139	0.0159695	0.0118215	0.0131174	0.0120018	0.0174341	0.0228434	0.0485376	0.11143	0.0727601	0.12832	0.0702448	0.0230919	0.0383439	0.0578672	0.0429047	0.0606642	0.0373031	0.0491177	0.0239207	0.0171697	0.0156875	0.00496714	0.011971	0.00519025	0.00657412
personne	0.00943478	0.00975605	0.00925638	0.0115796	0.00886627	0.00705727	0.00794905	0.00997652	0.0110155	0.0150717	0.025771	0.0572138	0.05711	0.0658508	0.0990304	0.0668602	0.0858753	0.0932973	0.0980468	0.0875567	0.0395072	0.049334	0.0149356	0.00919275	0.0133118	0.00809061	0.00814026	0.00725204	0.0136601
n'	0.027441	0.0310317	0.0373381	0.0457319	0.0534304	0.049516	0.0541033	0.0478104	0.0419668	0.0340878	0.0248611	0.0192575	0.0238103	0.0374814	0.0375764	0.0109282	0.0212745	0.0224494	0.0178301	0.029459	0.0305772	0.0358434	0.0363831	0.0209045	0.0333616	0.0119713	0.0497314	0.022423	0.0914193
ose	0.03432	0.0264888	0.0257605	0.0253926	0.0273199	0.022612	0.0264499	0.0184261	0.0150813	0.0145564	0.00789584	0.00625974	0.0085314	0.017324	0.0256075	0.026335	0.0563019	0.0622196	0.0682113	0.0743116	0.0679083	0.0482513	0.0479867	0.0363816	0.0573099	0.0185804	0.0414997	0.0360332	0.0566437
descendre	0.0246582	0.0272583	0.0219701	0.0313774	0.0446725	0.0391227	0.0491094	0.0255023	0.0149156	0.0133846	0.00922107	0.00636978	0.0052354	0.00631005	0.0069918	0.0127427	0.0211817	0.0277917	0.0376929	0.0305104	0.0516257	0.0500828	0.0513327	0.0470858	0.0467796	0.0376641	0.0453714	0.0840897	0.12995
en	0.0464591	0.0482469	0.0394897	0.0574877	0.0774353	0.0657073	0.0726859	0.03219	0.0192197	0.017759	0.0154611	0.0115833	0.0094458	0.0108553	0.0129269	0.0163271	0.0185776	0.0177712	0.0197848	0.0175817	0.018164	0.0137963	0.0160453	0.029833	0.0263061	0.0170737	0.0246514	0.059168	0.167967
aval	0.0693983	0.0706088	0.0563738	0.0654027	0.068664	0.0400925	0.0329027	0.0299507	0.0318259	0.0262399	0.0241722	0.0249823	0.0202812	0.0423005	0.0343804	0.0207546	0.0183149	0.0136308	0.00702727	0.0195349	0.0105444	0.00977995	0.0154304	0.0179345	0.0201617	0.010188	0.0272444	0.0297597	0.142119
du	0.0675191	0.044659	0.0382322	0.0246839	0.0256457	0.023127	0.0274012	0.0272945	0.0258964	0.0260042	0.0198252	0.0260436	0.0236117	0.0329001	0.0412083	0.0496365	0.0597734	0.0634047	0.0545602	0.0497867	0.0263912	0.0142548	0.010366	0.0140827	0.0140527	0.0132283	0.017553	0.0245769	0.114281
fleuve	0.0987717	0.0559423	0.0516066	0.0381841	0.0291662	0.0176462	0.0142289	0.00920049	0.00844867	0.00727471	0.00654302	0.00756346	0.00803567	0.0150456	0.0127563	0.0373977	0.0223886	0.0115677	0.00759883	0.0189124	0.00672722	0.00863006	0.0123388	0.0201465	0.0390071	0.0217011	0.0741703	0.107822	0.231178
</S>	0.055169	0.0316399	0.0326084	0.0275218	0.0268234	0.0247069	0.0238884	0.0199581	0.0170111	0.0162915	0.0115019	0.010048	0.0103576	0.0226502	0.0221033	0.0469726	0.0570499	0.0457075	0.0582828	0.0804637	0.0318229	0.0292787	0.0208162	0.027551	0.0356908	0.0232409	0.0400443	0.0508459	0.0999531
