 	k	o	b	h	á	y	a	á	e	y	e	a	b	a	á	l	ó	o	s	e	n	g	á	w	á	a	n	ω	ω	k	á	m	b	í	</S>
prenez	0.0205241	0.0158577	0.0199498	0.0420819	0.084832	0.0439392	0.075659	0.0772024	0.0550883	0.0621539	0.0407498	0.0517185	0.0503386	0.0329747	0.0284117	0.0235988	0.02832	0.0167146	0.0204415	0.016773	0.0137581	0.013	0.0124118	0.0112206	0.0135896	0.0117491	0.0222582	0.0194373	0.0134948	0.0138643	0.0105639	0.00989649	0.0112198	0.00660244	0.00960391
quelque	0.0447422	0.0211279	0.0346274	0.0329802	0.0429211	0.035944	0.0497962	0.0480576	0.0573676	0.0614019	0.0893485	0.0979302	0.0636324	0.0877929	0.0774863	0.0687728	0.029511	0.0128175	0.00701294	0.00425077	0.00175044	0.00199313	0.0044103	0.0022183	0.00353161	0.00134331	0.00370265	0.00288158	0.0026901	0.00156091	0.00137895	0.00165244	0.000425969	0.000753114	0.00218581
chose	0.0258752	0.0334538	0.0195663	0.0126398	0.0109048	0.0247332	0.0176347	0.0229947	0.0389771	0.0305624	0.0382389	0.0575034	0.0257409	0.0413539	0.0369494	0.0297447	0.0362195	0.0577933	0.0813425	0.0697533	0.0785581	0.0615202	0.0435605	0.0153924	0.0133451	0.0182189	0.00737164	0.00641145	0.00715229	0.00746711	0.00789182	0.0054073	0.00495678	0.00600463	0.00475989
pour	0.0408639	0.0303689	0.0251811	0.0223406	0.0204297	0.0223711	0.0210008	0.0222089	0.0205029	0.0147278	0.0147566	0.0149754	0.0135332	0.00913279	0.0137603	0.0114209	0.0209115	0.0304059	0.0557205	0.0634653	0.0536363	0.0482251	0.054133	0.0261367	0.0396084	0.034976	0.0155534	0.0223435	0.0270328	0.0374659	0.0334271	0.0259161	0.0201284	0.0221183	0.051221
vous	0.0187912	0.0122975	0.0122805	0.0108953	0.00959954	0.0119291	0.0110328	0.0117688	0.014646	0.0130979	0.0144481	0.0168888	0.0132375	0.0108907	0.0153368	0.014225	0.0165721	0.0451653	0.076285	0.0863828	0.0706902	0.0742216	0.0490215	0.0467407	0.0494171	0.0443514	0.0149237	0.0237567	0.0352851	0.0372087	0.0265814	0.038896	0.011733	0.0222565	0.0191459
en	0.0217715	0.0213866	0.0209621	0.0213203	0.0204348	0.0218847	0.0215488	0.0214412	0.017252	0.0123355	0.0116408	0.0126397	0.0136156	0.0120852	0.0162729	0.0134528	0.0141458	0.0238468	0.0345011	0.0439011	0.0372446	0.0353944	0.0366568	0.017457	0.0350224	0.0326908	0.0286439	0.0346186	0.0343175	0.0463385	0.0314387	0.0467134	0.0347968	0.0711216	0.0811058
servir	0.0565188	0.0452024	0.0316072	0.0267686	0.0218818	0.0142299	0.0120519	0.0133436	0.00877506	0.00946995	0.0132133	0.0133563	0.0187576	0.0235716	0.0307466	0.0373041	0.0505153	0.0583336	0.0586013	0.0516315	0.0336924	0.0226174	0.0138885	0.00626859	0.0123739	0.0109652	0.0146927	0.0183125	0.0169322	0.0229036	0.0218838	0.027406	0.0315346	0.0509477	0.0997004
au	0.0316121	0.0245668	0.016732	0.0157867	0.0157571	0.0224591	0.0243136	0.0248857	0.0226682	0.0188928	0.0174803	0.0180491	0.0184512	0.016164	0.0228358	0.0220826	0.0218821	0.0313468	0.0456909	0.0462597	0.0419479	0.0374062	0.0469013	0.0186686	0.0273325	0.0120378	0.0282719	0.0326029	0.0302185	0.0359753	0.030781	0.036809	0.0385683	0.0459268	0.0586351
besoin	0.102896	0.0803514	0.0500172	0.0393541	0.034833	0.0397273	0.0357906	0.0428511	0.0253283	0.0184922	0.0299392	0.0236087	0.0207804	0.0276728	0.0323672	0.0483467	0.038747	0.0367821	0.030994	0.0149575	0.00637133	0.00472394	0.0059019	0.00230694	0.00344172	0.00304173	0.00438335	0.00764577	0.0046763	0.0161314	0.00631375	0.0250526	0.0148176	0.0566583	0.0646967
</S>	0.0639267	0.0352051	0.0183365	0.016241	0.0150708	0.0209091	0.0224918	0.0250992	0.0176648	0.0116464	0.0106559	0.0101268	0.00982725	0.00901243	0.00993974	0.0130345	0.0127296	0.0171289	0.0243743	0.0350934	0.0344995	0.0423804	0.0509421	0.0367821	0.0368626	0.0260338	0.0380507	0.0388545	0.0386028	0.040602	0.0398553	0.0407672	0.0407532	0.043328	0.0531713
