 	e	l	é	n	í	í	l	í	y	é	é	l	é	n	á	á	w	a	n	g	á	m	w	á	s	í	a	d	í	l	i	b	h	ώ	ω	</S>
la	0.00980602	0.0118431	0.0154406	0.0135705	0.0148541	0.0179389	0.0148726	0.0112286	0.0244776	0.0269283	0.0318441	0.0397404	0.0768268	0.109345	0.0696834	0.056391	0.0515002	0.035872	0.0194094	0.0353101	0.0187698	0.0174484	0.0120787	0.0104393	0.00639738	0.0040359	0.00548318	0.0120245	0.011451	0.0483418	0.0376373	0.0357849	0.0287759	0.0228881	0.021415	0.0201459
manière	0.0156722	0.0155089	0.0260667	0.0140728	0.0122621	0.0115579	0.0141732	0.0174067	0.0192086	0.027164	0.044101	0.05089	0.0603813	0.0252096	0.023181	0.0217454	0.013222	0.0524687	0.076472	0.116104	0.0589148	0.0378989	0.0389966	0.032374	0.0167745	0.0179885	0.0241396	0.0201555	0.0267719	0.0194342	0.0148949	0.0190446	0.0116215	0.00242868	0.00102342	0.000670078
dont	0.236252	0.0756008	0.0327422	0.0309401	0.0179502	0.0232801	0.0193711	0.0153523	0.00837909	0.0122843	0.013821	0.0155138	0.0159649	0.0128935	0.0158158	0.0238061	0.0251757	0.0167823	0.0295203	0.0625822	0.0567252	0.0158499	0.0273663	0.0174497	0.0142664	0.0131521	0.0170584	0.0138726	0.012262	0.0150377	0.018315	0.0144472	0.00978751	0.0104817	0.011815	0.0280854
il	0.0467603	0.0555964	0.0604397	0.0564848	0.0417637	0.0460577	0.0453974	0.0171582	0.0117933	0.0181538	0.0201099	0.0217017	0.015642	0.0168613	0.00633732	0.00560979	0.00199032	0.0164591	0.0381852	0.0288515	0.0502606	0.0228163	0.0440071	0.0290257	0.0560679	0.0234923	0.0216778	0.0202397	0.0179154	0.0252485	0.0288554	0.0117586	0.0108348	0.00795254	0.0107818	0.0477123
regarde	0.0761326	0.0658768	0.0540292	0.0431329	0.0365472	0.0484589	0.0391652	0.0275078	0.0111506	0.0142784	0.0106986	0.0124675	0.0088776	0.00732396	0.0116382	0.0115891	0.00885574	0.0218876	0.0283136	0.0172625	0.0212321	0.0101794	0.0323315	0.0313663	0.0449449	0.0290874	0.0500299	0.0346578	0.0247006	0.0197149	0.02958	0.0209696	0.0224652	0.0141076	0.0175584	0.0418806
ma	0.0445297	0.056533	0.0609426	0.073846	0.0533202	0.063907	0.0329212	0.0173385	0.0178412	0.0165326	0.0183081	0.0122551	0.0100397	0.00624656	0.00599463	0.0183224	0.00782008	0.0166873	0.0234377	0.0361517	0.0205707	0.0131397	0.0246992	0.0276111	0.02427	0.0304176	0.040911	0.0267443	0.0172285	0.0234796	0.026001	0.0191865	0.0173172	0.0214595	0.0230316	0.0509572
femme	0.0781732	0.0799859	0.041125	0.0440169	0.0404299	0.0825537	0.0306622	0.0295672	0.0208219	0.0238693	0.0395189	0.0419567	0.034374	0.0196564	0.0178442	0.02308	0.0121693	0.0263847	0.0254484	0.0126074	0.0180441	0.010241	0.0118	0.0116934	0.0106131	0.0102128	0.0105476	0.00818332	0.00706734	0.0151762	0.0153451	0.014488	0.0151858	0.026299	0.0286039	0.0622541
montre	0.085103	0.059928	0.0393731	0.0335868	0.0382883	0.0404156	0.0164118	0.0160606	0.00986374	0.0102794	0.0177555	0.0173938	0.0199968	0.0126403	0.0114001	0.0242163	0.0104911	0.0184196	0.017634	0.012474	0.00967983	0.012631	0.0107335	0.0109151	0.0118936	0.0171533	0.0236569	0.035794	0.0284003	0.0422445	0.0394329	0.040536	0.039282	0.0518615	0.0530361	0.0610178
qu'	0.0460964	0.0726574	0.0513403	0.0698043	0.0649956	0.0867731	0.0736585	0.0711363	0.0322987	0.0423524	0.0460198	0.0369252	0.0259188	0.0185066	0.0129554	0.00782708	0.0120561	0.0152477	0.0161686	0.0122455	0.0147863	0.0245119	0.0152758	0.0104948	0.00860011	0.00633379	0.00484468	0.00493135	0.00358147	0.0043117	0.00498292	0.00491652	0.00467566	0.0131988	0.0126798	0.0468906
il	0.0841144	0.0951316	0.0509768	0.0381051	0.0349557	0.0399594	0.0531821	0.0374961	0.0163673	0.0126275	0.00993486	0.00750899	0.00664512	0.00640432	0.0078399	0.00668918	0.00981303	0.0123316	0.0184399	0.0163843	0.0326258	0.0348266	0.036232	0.0330325	0.0289554	0.0151386	0.00895842	0.0070302	0.00480774	0.00466225	0.00769253	0.00727481	0.00652307	0.0279077	0.0361103	0.143315
a	0.146767	0.156191	0.0772149	0.0635606	0.0312158	0.0163952	0.00966614	0.00910678	0.00770764	0.0061633	0.00541581	0.00457876	0.00396522	0.00317363	0.00477576	0.00636299	0.00434381	0.00866327	0.00847068	0.00452568	0.00689468	0.00584375	0.00536079	0.0062528	0.00524022	0.00415538	0.00459128	0.00617664	0.0102793	0.0158252	0.0153006	0.0223047	0.0237401	0.0669196	0.0550791	0.167771
un	0.317074	0.177582	0.0633895	0.043525	0.0137962	0.0072331	0.0071502	0.00655808	0.0033238	0.00404884	0.00489627	0.00374944	0.00355404	0.00254504	0.00286741	0.00715234	0.00271214	0.00947189	0.00813315	0.00496869	0.0050733	0.00613293	0.00447855	0.0054791	0.00326284	0.00265451	0.00225557	0.00303494	0.00353154	0.00736113	0.00642875	0.0122803	0.0177189	0.0433074	0.0411521	0.142117
problème	0.0940297	0.0217415	0.00727952	0.00488379	0.00262436	0.00206682	0.00258414	0.00512429	0.00792351	0.00985493	0.0106367	0.00908385	0.00923158	0.00632805	0.00585928	0.0222446	0.00694074	0.0113018	0.0213116	0.0279515	0.0119587	0.021614	0.0152229	0.0248251	0.0166841	0.0183309	0.0157802	0.0217168	0.0166354	0.0259621	0.0241889	0.039756	0.0578838	0.0847017	0.0824932	0.233244
</S>	0.0664297	0.0331244	0.014654	0.0109837	0.00444393	0.00349525	0.00370473	0.0044961	0.00572252	0.00580673	0.004929	0.00437507	0.00431183	0.00298162	0.00485711	0.0110522	0.00494909	0.0114466	0.010106	0.0123669	0.00758547	0.00481103	0.00756528	0.0116737	0.00998643	0.00843528	0.00608198	0.0111877	0.014046	0.0429735	0.0249654	0.0422626	0.0553759	0.132158	0.128372	0.268283
