 	m	ó	y	έ	s	έ	b	í	s	í	e	s	ú	l	u	u	w	á	r	e	n	ω	ó	p	i	i	w	a	m	ó	b	ω	s	i	</S>
donne-nous	0.00814366	0.0112987	0.00946103	0.00932304	0.00913336	0.0108107	0.0184009	0.018103	0.0458326	0.0432131	0.0725344	0.093076	0.0820944	0.121322	0.060766	0.0287835	0.0189385	0.0186356	0.0177692	0.0160952	0.0144299	0.00943993	0.01035	0.0139928	0.015601	0.0107232	0.0140243	0.0211531	0.0305577	0.0227494	0.0269695	0.0332087	0.0231681	0.019771	0.0201264
la	0.0872365	0.0219587	0.0152394	0.00856264	0.0104058	0.0125293	0.0104405	0.0142622	0.0440783	0.0482051	0.0932472	0.11739	0.145131	0.109155	0.121506	0.0647066	0.00760474	0.01309	0.00296643	0.00426622	0.00352208	0.00740712	0.00163667	0.00127856	0.00136188	0.00138048	0.00251021	0.00413735	0.00332059	0.00442685	0.00453239	0.00295181	0.00328765	0.00283873	0.00342631
preuve	0.0302231	0.0184796	0.0168899	0.0128256	0.00942638	0.00460857	0.00754788	0.0065437	0.0309663	0.0239752	0.0188405	0.0296523	0.0347163	0.0292988	0.0422783	0.0287361	0.0188338	0.021775	0.0280691	0.02017	0.026784	0.0348085	0.0464731	0.0420857	0.0492884	0.0463359	0.0342139	0.0465792	0.0520683	0.0283416	0.0506501	0.0526694	0.0223047	0.022891	0.0106497
que	0.0248637	0.0107844	0.00819393	0.00682957	0.00735658	0.00549826	0.00532176	0.00743963	0.0141172	0.0304226	0.0420116	0.052107	0.0500591	0.0356798	0.0338491	0.0284653	0.0269564	0.0561551	0.0458512	0.0484682	0.0745739	0.0850987	0.0356172	0.0371013	0.0296105	0.0318092	0.0150707	0.0137497	0.00777997	0.0139349	0.0113276	0.0175324	0.0292971	0.0370203	0.0200459
tu	0.0172773	0.0221739	0.0251505	0.0252255	0.0332132	0.0395394	0.0403398	0.0545105	0.0381596	0.0347494	0.0242031	0.0229139	0.0175208	0.0180674	0.0195112	0.0277955	0.0317653	0.041124	0.033769	0.0441685	0.0492747	0.0478677	0.0327443	0.0305499	0.02467	0.0150792	0.0248605	0.0120466	0.0130449	0.0117908	0.0138696	0.017112	0.0182528	0.0255407	0.0521185
l'	0.0196063	0.0131509	0.0122181	0.0118223	0.0160817	0.019726	0.0204305	0.0227229	0.0152472	0.013097	0.00957775	0.0116673	0.0111114	0.00998183	0.0117684	0.0165439	0.0386184	0.044928	0.0540505	0.0688871	0.0777448	0.0724857	0.0551871	0.0564937	0.0457156	0.025963	0.0422206	0.0151112	0.0192949	0.0198704	0.0186552	0.0209478	0.0191601	0.0268288	0.0430836
as	0.0581166	0.0739253	0.0746775	0.0443325	0.0344449	0.0188312	0.0196876	0.0152526	0.0256739	0.0322372	0.0470672	0.0491039	0.0546801	0.0344302	0.0428798	0.0480187	0.0295631	0.0162027	0.0161184	0.0123305	0.0227715	0.022941	0.0203767	0.0162223	0.0142572	0.0102596	0.0182526	0.0110243	0.00911538	0.00626704	0.00777699	0.0113891	0.0099726	0.0137391	0.0580605
pris	0.130508	0.0940417	0.0700508	0.0340361	0.0304414	0.0188956	0.0190863	0.0225413	0.0342379	0.0339781	0.042412	0.0433678	0.0442904	0.0285776	0.0362765	0.0388141	0.0413453	0.0200837	0.0149845	0.015355	0.0141595	0.0126379	0.00908787	0.00654863	0.00584258	0.00566046	0.0092023	0.00685252	0.00665241	0.00487503	0.00492507	0.00938573	0.00978898	0.0204817	0.0605752
en	0.166437	0.0523558	0.0476148	0.0332818	0.0205719	0.0139029	0.0160981	0.0106417	0.0161445	0.0157704	0.0198668	0.0257141	0.0245105	0.01391	0.0131395	0.0103656	0.0180311	0.0158845	0.0217438	0.0294244	0.0342011	0.0329643	0.021696	0.0191161	0.0129696	0.0136058	0.0136276	0.00943607	0.0230795	0.0158842	0.0171176	0.0321318	0.0358837	0.059208	0.0736692
adultère	0.1068	0.0659622	0.0412389	0.0218952	0.0129317	0.00679138	0.00552427	0.00582945	0.0108313	0.0104441	0.0122841	0.0138346	0.0147681	0.0114869	0.0117674	0.0145722	0.0256107	0.0198157	0.0173962	0.0180716	0.0209992	0.0185792	0.0173438	0.0107146	0.00972798	0.00619504	0.0104298	0.0123306	0.0156821	0.0127814	0.0188112	0.0347405	0.0504416	0.108707	0.20466
</S>	0.0274758	0.0231463	0.0268505	0.0188168	0.0175363	0.0183024	0.0298813	0.0446909	0.0633802	0.0513616	0.0369173	0.035612	0.0305831	0.0270707	0.0267515	0.0236287	0.0184312	0.0291996	0.0197486	0.0277834	0.035765	0.0409225	0.0232552	0.0251915	0.0214305	0.0211747	0.0126088	0.014673	0.011898	0.010598	0.0124664	0.0271309	0.0306534	0.0553169	0.0597471
