 	m	w	á	n	a	á	d	z	w	e	o	y	é	n	g	á	i	s	á	l	a	l	a	l	e	t	s	a	t	s	a	e	l	á	t	á	á	</S>
l'	0.0107599	0.0125921	0.0199098	0.0126659	0.015386	0.0128166	0.0132726	0.0123268	0.0157779	0.0154524	0.0118899	0.035162	0.0295145	0.0378389	0.0544078	0.0368508	0.0522021	0.039227	0.0259818	0.0182344	0.0225458	0.0210645	0.0197467	0.019749	0.0294179	0.0259738	0.0334897	0.0250719	0.0295942	0.0307608	0.0320269	0.0366844	0.027976	0.04561	0.0299131	0.0360413	0.0253538	0.0267108
en	0.028911	0.00844142	0.00521543	0.00563476	0.00932718	0.013139	0.0206252	0.0225699	0.00708123	0.00388555	0.00423006	0.00154719	0.00126446	0.000980709	0.000939425	0.00203003	0.0013686	0.00248002	0.0081771	0.00911499	0.0121217	0.0168992	0.026866	0.0271771	0.0438732	0.0848926	0.0795732	0.0983695	0.117693	0.134607	0.120567	0.0400258	0.00572668	0.0160786	0.0111708	0.00372823	0.0018121	0.00185534
fant	0.0332181	0.0171357	0.010544	0.016705	0.0267238	0.0324852	0.0883977	0.0439962	0.00624896	0.0290469	0.0178823	0.0309196	0.0175291	0.0182335	0.0167711	0.0295431	0.0251383	0.0651756	0.0484239	0.0396607	0.0470755	0.0381093	0.0611534	0.0524119	0.0383059	0.0276473	0.0231187	0.0255056	0.0129316	0.0118088	0.010442	0.00782033	0.00469003	0.00514652	0.00508452	0.00451357	0.0046046	0.00585139
est	0.0342127	0.0332931	0.0299789	0.0177002	0.0222622	0.0168574	0.0320237	0.0260724	0.0200208	0.0493639	0.0492556	0.0516697	0.0548891	0.0579072	0.0521976	0.0387926	0.0238315	0.021347	0.0190985	0.0302511	0.0245353	0.0225875	0.0192909	0.0139676	0.0183626	0.0135474	0.0163711	0.0141618	0.0180052	0.0158891	0.0132563	0.01145	0.0167561	0.0109736	0.0136018	0.0159574	0.0187458	0.0415151
ellé	0.0400224	0.0286056	0.0246271	0.0194325	0.0157664	0.00999314	0.00828467	0.00846075	0.0084614	0.0185219	0.0157933	0.0184402	0.0178708	0.0183416	0.0262192	0.0294143	0.0232677	0.0243304	0.0173488	0.0260409	0.0276927	0.028776	0.0290824	0.030313	0.0252165	0.0259388	0.0255601	0.0303645	0.0332301	0.0366792	0.0326801	0.0373646	0.0324635	0.0335823	0.0364104	0.0379329	0.0411032	0.0563668
chercher	0.0594637	0.0399602	0.0335597	0.0256156	0.0298428	0.0275309	0.0298821	0.0247532	0.0151991	0.0247059	0.0271186	0.0274585	0.0245816	0.0482126	0.0185908	0.0331496	0.0254551	0.0246789	0.0186209	0.0167321	0.0180064	0.0105893	0.0211592	0.0170913	0.0175023	0.0105232	0.00744028	0.00884481	0.0121488	0.0157453	0.0156958	0.0187016	0.0326275	0.023505	0.0508121	0.0581808	0.0369841	0.04933
l'	0.0279187	0.0181635	0.0146425	0.0179117	0.0289942	0.0334611	0.0240635	0.0243679	0.0138893	0.0178548	0.0210111	0.0210342	0.0243444	0.0320177	0.0185476	0.0474592	0.0373415	0.0438279	0.0363851	0.0277154	0.031354	0.0173099	0.0316422	0.023368	0.0194759	0.0172493	0.0099766	0.0136635	0.0173064	0.0278921	0.0248949	0.0253944	0.0279149	0.0312348	0.0395161	0.0430998	0.0258494	0.0419064
embauche	0.0263322	0.0268914	0.0287717	0.0304311	0.0299021	0.0269048	0.0153226	0.016764	0.0115078	0.00899272	0.00948376	0.0107862	0.0124018	0.0111566	0.0137855	0.0126775	0.0183563	0.0219861	0.0164501	0.0210954	0.0160935	0.0178567	0.0254103	0.017593	0.0228087	0.0253583	0.0233171	0.0254993	0.0354468	0.0388696	0.0364532	0.0384277	0.0488431	0.0496516	0.0557996	0.053265	0.0393628	0.0599443
avec	0.0827157	0.0276283	0.0198829	0.0176882	0.0247465	0.0242334	0.0155237	0.0111011	0.0118046	0.0221582	0.0183621	0.0395681	0.0492649	0.0415138	0.0529037	0.0300545	0.0169115	0.0128994	0.00972384	0.0182153	0.00975312	0.0110429	0.0188207	0.0154085	0.0159976	0.0130401	0.00681879	0.00905915	0.0136867	0.0182796	0.0159737	0.0214814	0.0332987	0.0235348	0.0387231	0.0459161	0.036259	0.106006
la	0.137384	0.0698172	0.0611795	0.0570938	0.0662363	0.0560867	0.0325965	0.0261918	0.0134004	0.019987	0.0186303	0.0139598	0.0150358	0.0162279	0.0133685	0.0150075	0.00920701	0.00877564	0.00764046	0.00992932	0.00736097	0.00854479	0.0132693	0.00736421	0.009497	0.00763025	0.00964402	0.00764061	0.0119977	0.0129405	0.0114094	0.0162424	0.0202046	0.0150681	0.0279399	0.0323264	0.0337167	0.0794479
bénédiction	0.0569465	0.0540247	0.0392851	0.0372353	0.0296802	0.0225354	0.0132503	0.011233	0.0083283	0.0160915	0.0142728	0.0145257	0.0141823	0.0138179	0.0132122	0.00910059	0.00675064	0.00699882	0.00749179	0.0125242	0.01119	0.013797	0.0168687	0.0136216	0.0162894	0.011467	0.0117799	0.0106482	0.0211106	0.0232073	0.0192882	0.0435425	0.0484191	0.0266482	0.0653674	0.0573822	0.0539571	0.133929
de	0.0582795	0.0488589	0.033745	0.0263252	0.0245928	0.0271328	0.0249653	0.0171388	0.010285	0.0257606	0.0230895	0.0237984	0.0190234	0.0225266	0.0176074	0.0133454	0.011446	0.0125468	0.0143483	0.0253087	0.0226927	0.0308711	0.0491654	0.0328062	0.0310267	0.0187963	0.0181313	0.0124533	0.0237871	0.0143829	0.0168929	0.0198229	0.0327799	0.0170247	0.0391136	0.0385077	0.0381779	0.0634432
son	0.0452883	0.0300289	0.0208025	0.0190568	0.0188347	0.0229473	0.0332878	0.0218037	0.0139889	0.036187	0.0259144	0.0322864	0.0194196	0.0205719	0.0198266	0.00935732	0.0093813	0.00975748	0.0113162	0.0219569	0.0183078	0.0315317	0.0350525	0.026533	0.0175973	0.014455	0.0122372	0.0102268	0.0203203	0.0131163	0.0146523	0.0153222	0.0351931	0.0205239	0.0540983	0.0637807	0.0592206	0.095817
père	0.0351034	0.0435902	0.0267603	0.032056	0.0289549	0.0342164	0.02708	0.0206816	0.0108746	0.0176377	0.013578	0.0146074	0.00850224	0.0111711	0.00879027	0.00967766	0.00601914	0.00762376	0.00699192	0.0141928	0.0109698	0.0213451	0.031028	0.028271	0.0203521	0.0164212	0.0129485	0.013058	0.0305521	0.018658	0.0175476	0.0202544	0.0344798	0.0258227	0.0629329	0.0573958	0.0918727	0.107981
</S>	0.0433106	0.0314688	0.0293444	0.0338262	0.0336202	0.0337057	0.0404456	0.0244977	0.0287849	0.0345895	0.0343551	0.0437505	0.0278863	0.0321122	0.02314	0.0147026	0.0174769	0.011905	0.0121691	0.015742	0.0108121	0.0191159	0.0147831	0.0114737	0.00866988	0.00849176	0.00744704	0.00858605	0.012453	0.0118655	0.0117609	0.0136594	0.0280595	0.024615	0.0590379	0.0530818	0.0450248	0.0842296
