 	a	t	έ	m	b	i	s	i	i	b	a	a	d	í	m	ó	m	b	á	r	á	y	ó	k	o	n	d	z	i	á	p	o	o	</S>
on	0.0639093	0.0715398	0.129627	0.0443058	0.0624641	0.0300903	0.0394345	0.034239	0.0302882	0.0438701	0.0387782	0.0648986	0.0758304	0.0251917	0.0229613	0.0203157	0.0131468	0.0132913	0.00982117	0.0140767	0.0151127	0.0162594	0.0213294	0.0118468	0.012739	0.0103275	0.00875094	0.0085315	0.00826463	0.00808469	0.00825539	0.00751984	0.00749917	0.00739866
a	0.0194642	0.0229513	0.0220842	0.045276	0.0365931	0.0712607	0.0706982	0.072724	0.0440621	0.0238214	0.0269263	0.0204389	0.0277379	0.0160698	0.0424806	0.0355946	0.0271922	0.0381456	0.0233343	0.0184983	0.0124336	0.035773	0.0333044	0.0188139	0.0216951	0.0204682	0.0127969	0.0180842	0.0200736	0.0281393	0.0191028	0.020027	0.0160558	0.0178784
démi	0.0199722	0.0105561	0.0152307	0.0142865	0.0148484	0.0211276	0.0363187	0.0875246	0.0935454	0.0666074	0.0849586	0.105147	0.107354	0.054957	0.0308345	0.0167239	0.0140462	0.0205177	0.0145102	0.0113835	0.0124082	0.00995733	0.0106689	0.00861645	0.00923963	0.00969924	0.0109842	0.01345	0.0122573	0.0115664	0.0102375	0.0105085	0.0163733	0.013583
cet	0.0108264	0.0128	0.0160348	0.022353	0.0266805	0.0348502	0.0478677	0.0513966	0.0578566	0.0501413	0.025735	0.0233468	0.0163261	0.0203588	0.0153121	0.02106	0.0206897	0.0162178	0.0222867	0.0236437	0.0326137	0.024409	0.0371773	0.0275607	0.0213539	0.0173496	0.016167	0.00868358	0.0107598	0.0170777	0.0292519	0.0667449	0.0471267	0.10794
homme	0.0217426	0.0169728	0.0195697	0.0201727	0.0280074	0.0363906	0.0434313	0.0707703	0.0839516	0.0539081	0.0346919	0.034562	0.0346417	0.0433279	0.0275313	0.0289894	0.0297245	0.0132429	0.0184898	0.0139454	0.0181632	0.0148762	0.0201255	0.0158237	0.0293239	0.0306245	0.0412075	0.0316605	0.0276104	0.0260847	0.0348738	0.0107528	0.0088879	0.0159215
du	0.0130228	0.0104371	0.0100884	0.0150829	0.0223801	0.0254937	0.0329795	0.0332693	0.0335911	0.0307508	0.0303314	0.0295279	0.0247756	0.0283275	0.0287966	0.0354299	0.0354769	0.0293706	0.0314217	0.0391915	0.0309189	0.0311995	0.02991	0.0324997	0.0309075	0.0313209	0.030653	0.0277895	0.0298859	0.0291321	0.0296259	0.0316462	0.0324678	0.0622979
poste	0.0288448	0.0211753	0.0188287	0.0271699	0.0333823	0.0359881	0.0431881	0.0310976	0.0236833	0.0228845	0.0218727	0.0218501	0.0233138	0.0286671	0.0342798	0.036581	0.0372466	0.0455563	0.0357955	0.0508251	0.0272181	0.0252815	0.0335528	0.0236178	0.0211527	0.0148779	0.0130205	0.0163173	0.0191331	0.0242082	0.0220619	0.0268658	0.0328665	0.077595
de	0.0126519	0.00945738	0.0102714	0.00900971	0.0103169	0.0140719	0.0185701	0.0329821	0.0315884	0.0273798	0.0182807	0.0153525	0.0121821	0.0174562	0.0147537	0.0179641	0.0207062	0.017433	0.022582	0.0291227	0.0371282	0.0492368	0.0449304	0.0643989	0.0666503	0.0611017	0.0507166	0.0369359	0.0394147	0.0494632	0.0435638	0.0200603	0.0207654	0.0535011
chef	0.0205391	0.0176166	0.0172636	0.0172517	0.0177306	0.017831	0.0157899	0.00959321	0.00722123	0.00765666	0.00799189	0.00801831	0.00778662	0.00843681	0.0097812	0.0124288	0.0124209	0.0148504	0.0154764	0.0332946	0.035195	0.0398502	0.0381262	0.042959	0.0389166	0.0458638	0.0508774	0.0478185	0.0564343	0.0562411	0.0609315	0.06103	0.0721294	0.0746472
de	0.0194691	0.0153581	0.0135293	0.0132358	0.0127002	0.0126619	0.0110854	0.00604297	0.00444642	0.00485743	0.00555039	0.00540233	0.00576033	0.00610773	0.0094882	0.0109398	0.0117295	0.0190848	0.0174136	0.0401022	0.0397902	0.0465624	0.0446295	0.0532636	0.0449806	0.0476688	0.0677673	0.0435092	0.0473169	0.0515866	0.0500652	0.0552873	0.0818714	0.0807356
village	0.0288542	0.0187232	0.0156474	0.0143777	0.0133258	0.0121515	0.00700643	0.0031155	0.00255505	0.00313807	0.00489945	0.00538471	0.00705192	0.0099924	0.0161735	0.0163706	0.0197272	0.0275693	0.026085	0.0383734	0.0254922	0.0452879	0.0381051	0.039117	0.0359311	0.0350252	0.0545436	0.0344569	0.0429226	0.0497851	0.0432988	0.0573985	0.105989	0.102124
</S>	0.0309256	0.0177726	0.0124947	0.0119417	0.0102637	0.0107721	0.00856234	0.00348184	0.0022997	0.00245284	0.00465272	0.00475712	0.00674709	0.00819839	0.019402	0.0131372	0.0173968	0.0336172	0.0200089	0.0442422	0.0261351	0.0495391	0.0441522	0.0492491	0.0554564	0.0497986	0.0793889	0.041127	0.0436603	0.0491048	0.0348461	0.0443838	0.0705665	0.0794654
