 	n	g	á	i	d	í	o	k	o	b	h	á	y	é	é	s	ε	r	έ	n	ω	k	a	á	n	ω	l	ó	o	t	i	á	s	ó	n	ω	ω	</S>
je	0.187213	0.226145	0.168454	0.120223	0.0558901	0.0365095	0.0273274	0.00694603	0.00340145	0.00185602	0.00263458	0.00153546	0.00232035	0.00238535	0.00578556	0.0123376	0.0102562	0.0150968	0.0087166	0.00731078	0.00715382	0.00536639	0.00576196	0.0053926	0.00576114	0.00649134	0.00580478	0.00501871	0.00433627	0.00441719	0.00417389	0.0045117	0.00524021	0.00457971	0.00478384	0.00483651	0.00675648	0.00726762
ne	0.0481261	0.0239787	0.0873137	0.0709728	0.0508921	0.0283089	0.0282111	0.0326053	0.0773018	0.0754746	0.0627286	0.0629305	0.0418253	0.0383483	0.0385103	0.0310184	0.0168523	0.020654	0.0119573	0.00801919	0.00761971	0.00997177	0.00624182	0.00677712	0.00724521	0.00787088	0.0103671	0.00788262	0.00551976	0.00669455	0.00599249	0.00658633	0.00789013	0.00730522	0.014316	0.00594934	0.00677888	0.0129618
comprends	0.0332196	0.0148451	0.0190217	0.0228801	0.0374393	0.0141678	0.022141	0.0197309	0.0380731	0.0308586	0.0382637	0.0572109	0.0402063	0.0412878	0.0238621	0.0321265	0.0634086	0.0415132	0.0237986	0.0208027	0.0204766	0.0186607	0.0122346	0.0244181	0.0264748	0.0329598	0.0295963	0.0311092	0.0315355	0.0177014	0.0152391	0.0201233	0.0157978	0.014781	0.0121347	0.0115995	0.015423	0.0148769
pas	0.0282236	0.0360401	0.0311229	0.0131403	0.0180082	0.0207609	0.023465	0.0265425	0.0197377	0.0233931	0.0222551	0.0372424	0.0273489	0.0541642	0.0521969	0.028899	0.0342783	0.031233	0.0215239	0.0215585	0.0218325	0.0205423	0.0355255	0.0293797	0.0259454	0.023476	0.0212997	0.0257961	0.0250579	0.0197679	0.0235466	0.0325184	0.0332238	0.0300039	0.021441	0.0177494	0.0130645	0.0086948
ce	0.0162616	0.0151606	0.0127128	0.00766921	0.0185555	0.0333822	0.0404764	0.0586741	0.0398913	0.0333692	0.0205765	0.0269863	0.0154646	0.0267591	0.0229068	0.0161737	0.0170488	0.0199407	0.0262305	0.0304683	0.0347601	0.0232665	0.0246028	0.0135588	0.0149893	0.0179807	0.0209018	0.0214203	0.0244143	0.0289951	0.0330994	0.0250956	0.0314205	0.0289849	0.0327016	0.0397057	0.0359662	0.0494282
que	0.0165895	0.0210029	0.0129657	0.0136546	0.0144105	0.0226044	0.0353393	0.0401191	0.0509987	0.0425551	0.0353179	0.0481941	0.0356106	0.0264538	0.0213746	0.0190578	0.0173087	0.0178682	0.020137	0.0213727	0.0222853	0.0218793	0.0160901	0.0202236	0.0151381	0.0170602	0.0156067	0.0149515	0.016803	0.0186424	0.0189193	0.023594	0.0255971	0.0288573	0.0328307	0.0428285	0.0395475	0.0762103
tu	0.017402	0.01755	0.0138707	0.0146786	0.0177545	0.0365513	0.0383033	0.0580465	0.0423557	0.0596748	0.0375563	0.0445696	0.0312253	0.0291896	0.0177093	0.0177808	0.0199429	0.0115121	0.0160379	0.0292366	0.0313719	0.0252823	0.0152556	0.0133363	0.0141239	0.0165123	0.0164667	0.0176638	0.0210083	0.022148	0.0233691	0.0185304	0.0184304	0.0183944	0.0272609	0.0290895	0.0268454	0.0739626
dis	0.0222594	0.00901712	0.00666876	0.027912	0.0212384	0.0305237	0.0300825	0.0373958	0.0224794	0.0296888	0.0191346	0.0230125	0.0178756	0.0200241	0.0189948	0.0164969	0.0167364	0.0141513	0.0167916	0.0303995	0.0316097	0.0282281	0.0178245	0.0150763	0.0183553	0.0202828	0.0216859	0.0191446	0.0198087	0.0221145	0.035274	0.0310737	0.0264381	0.0303121	0.0405489	0.0396625	0.0454721	0.106205
tu	0.078743	0.0188557	0.0170002	0.0195502	0.020185	0.0146624	0.0304165	0.020777	0.0155933	0.0208877	0.0124646	0.0164057	0.0119148	0.0154923	0.0208509	0.020075	0.0186428	0.0233142	0.0207999	0.0254673	0.0268522	0.024582	0.0210771	0.0239111	0.0294102	0.0277999	0.0298745	0.0362573	0.0221508	0.0185383	0.0217062	0.0330352	0.0346993	0.0343557	0.0418536	0.0397592	0.0397489	0.0522898
bredouilles	0.0426504	0.0171221	0.0150964	0.0116696	0.0160767	0.0153824	0.0494299	0.0541924	0.0344574	0.0356858	0.0201426	0.0257131	0.0107998	0.0202925	0.0196125	0.0205139	0.0202044	0.0230823	0.0230307	0.0236301	0.0268093	0.0289595	0.0264947	0.0254859	0.0286966	0.0272138	0.0222239	0.0288001	0.0280348	0.0233429	0.0221578	0.0297552	0.0349302	0.0377223	0.0318512	0.0272438	0.0254966	0.0259965
</S>	0.0251727	0.0123441	0.0124187	0.0157797	0.0158244	0.0215105	0.0270626	0.036215	0.0312707	0.047561	0.0282457	0.0528333	0.0176633	0.0407141	0.0390384	0.0205239	0.019016	0.0219983	0.0246889	0.0323828	0.0357905	0.0247524	0.0187153	0.0144045	0.0181415	0.0210939	0.0204066	0.0235763	0.0163943	0.0162938	0.0160546	0.0175885	0.0203766	0.025199	0.0348207	0.0370398	0.0335969	0.0634905
