 	d	a	a	d	á	b	ó	l	á	a	k	w	ε	r	έ	o	k	u	m	u	</S>
papa	0.0711546	0.0445681	0.0404447	0.0129076	0.0444094	0.0612845	0.0439616	0.0622758	0.0642553	0.0610862	0.061632	0.0657659	0.063971	0.0644321	0.0570408	0.0385556	0.0355817	0.0242525	0.0250919	0.0320585	0.0252701
est	0.0548852	0.0746662	0.082659	0.0917969	0.0756194	0.10918	0.157767	0.144892	0.0746963	0.0453404	0.0207962	0.010706	0.0111391	0.00956685	0.00534027	0.00637898	0.00678571	0.00444073	0.00422288	0.00510035	0.00402007
en	0.0795569	0.0566638	0.0178777	0.0300909	0.0189721	0.0255226	0.0340666	0.0459824	0.0456995	0.0391884	0.0508861	0.0500698	0.0518962	0.0600948	0.106301	0.0774138	0.0487898	0.0487514	0.0382692	0.0433643	0.0305424
train	0.045889	0.0715666	0.0632739	0.0650597	0.0372103	0.049038	0.0499838	0.0554742	0.093385	0.0399713	0.0388013	0.0351774	0.0376096	0.0287127	0.0407911	0.0509924	0.0300612	0.0262244	0.0384922	0.0459448	0.0563413
de	0.183978	0.102415	0.0592504	0.0923561	0.0278578	0.0263669	0.0334803	0.031333	0.0343384	0.0156151	0.0093876	0.0164145	0.00808265	0.00457263	0.00944868	0.0111085	0.013826	0.0167741	0.0386399	0.0704419	0.194312
couper	0.136963	0.0558264	0.0435838	0.0480573	0.0353269	0.0471523	0.0485444	0.0586494	0.0479754	0.033054	0.0332095	0.0356284	0.0378526	0.0402231	0.0462412	0.0423782	0.0317799	0.0286729	0.0324745	0.0426436	0.0737634
un	0.149573	0.0842409	0.0570711	0.0727927	0.0290756	0.0310455	0.0315085	0.0257959	0.0211971	0.0189396	0.0168228	0.0162817	0.0164799	0.0187729	0.0289513	0.0281996	0.041214	0.0493004	0.0560012	0.0698777	0.136859
palmier	0.0341152	0.0396548	0.0391627	0.0386974	0.0383927	0.0376302	0.0336655	0.0221193	0.0257034	0.0168618	0.0169722	0.025629	0.0337985	0.0313393	0.0613253	0.070025	0.0673863	0.0620241	0.0972373	0.0975145	0.110746
dattier	0.112292	0.0854526	0.0797608	0.076302	0.0239015	0.0238696	0.0222117	0.0249612	0.023509	0.0216757	0.024828	0.0181121	0.0229896	0.0195658	0.0340114	0.0352579	0.0409084	0.0517689	0.0595297	0.0684751	0.130617
mort	0.121633	0.0722873	0.061014	0.0480004	0.0299536	0.0282988	0.0242926	0.0113544	0.0137354	0.0113621	0.00891943	0.0111642	0.0110648	0.0129061	0.0246971	0.0355278	0.0331071	0.0327646	0.061376	0.104544	0.241997
</S>	0.0889741	0.0508776	0.0476149	0.0477325	0.0331501	0.0259484	0.0274991	0.0156893	0.0181562	0.00947322	0.0150966	0.0198202	0.0246714	0.0318036	0.0465834	0.0841332	0.0758145	0.0570663	0.0759621	0.0779751	0.125958
