 	d	a	a	d	á	á	y	ε	i	l	a	a	b	á	y	á	k	á	a	l	é	e	k	i	r	á	m	á	a	</S>
papa	0.0104769	0.00929274	0.0126923	0.0113127	0.022035	0.0246344	0.0190034	0.0417666	0.0583094	0.0374386	0.0575656	0.0661074	0.049609	0.0675745	0.0710254	0.0506702	0.038351	0.0406711	0.0537641	0.0628272	0.0234845	0.0319662	0.0208845	0.0216897	0.0227455	0.0227479	0.0182114	0.0140216	0.0118314	0.00728973
a	0.157895	0.0897463	0.0339478	0.0538749	0.0598976	0.0553343	0.0376823	0.0336639	0.0365423	0.0358751	0.0341225	0.0376906	0.0361524	0.0398994	0.0395312	0.0292125	0.0255757	0.0115461	0.0194956	0.011594	0.0131468	0.0134634	0.0209222	0.0136984	0.0122356	0.0122186	0.0137874	0.0106963	0.00754837	0.00300361
apporté	0.0551348	0.0575837	0.0690616	0.0415544	0.0277064	0.0425314	0.0335708	0.0424418	0.0472716	0.0442316	0.0476868	0.0316129	0.023105	0.0270871	0.0467276	0.0809818	0.0541717	0.0340269	0.0164428	0.0150742	0.02032	0.0159611	0.0157812	0.0156066	0.0230415	0.0212854	0.0166704	0.0112338	0.0140208	0.00807402
les	0.0166156	0.0207593	0.01988	0.0208117	0.0212065	0.0205117	0.0256763	0.0331735	0.0348331	0.0360353	0.0350374	0.0342424	0.0387791	0.0369136	0.0462876	0.0434861	0.0382819	0.0337844	0.0369417	0.0255734	0.0274326	0.0147666	0.0271366	0.0215239	0.0539704	0.0300125	0.0598288	0.0351768	0.0559088	0.0554124
planches	0.0553541	0.0500881	0.0389583	0.041035	0.0370396	0.0401868	0.0416541	0.0429092	0.0425507	0.0424375	0.041532	0.0286265	0.0241056	0.0267895	0.0365856	0.0512014	0.0478416	0.0470776	0.0211799	0.0221364	0.020668	0.0177795	0.0205261	0.0152531	0.0158956	0.015435	0.0195246	0.0195899	0.0253492	0.0506897
il	0.0465832	0.0364658	0.028979	0.0369893	0.0313128	0.0408182	0.0490324	0.0517925	0.0472026	0.0473254	0.0613076	0.0583158	0.0470141	0.0361418	0.0346746	0.034738	0.0238492	0.0201274	0.0108693	0.00950528	0.00873954	0.00542943	0.0137411	0.00863055	0.0145458	0.0126738	0.0281866	0.02561	0.0379111	0.0914875
faut	0.0279704	0.0258669	0.0236582	0.0303085	0.026702	0.0340746	0.0361289	0.0571276	0.0405526	0.0504984	0.0508548	0.0455457	0.0410523	0.0363359	0.0378659	0.0463595	0.0464119	0.0443126	0.0188136	0.0183991	0.0140941	0.0109796	0.0221446	0.0176806	0.0194687	0.0176364	0.0237412	0.0291806	0.0328054	0.0734295
les	0.0436725	0.0321072	0.0242494	0.0282094	0.0243598	0.025529	0.0264753	0.0220385	0.0246427	0.0253489	0.0344882	0.0260725	0.02468	0.0268682	0.0234842	0.0238975	0.0209084	0.0222469	0.0198128	0.020205	0.0208656	0.0184722	0.0495231	0.0407046	0.0549108	0.0406406	0.0595779	0.0523845	0.0647931	0.0788313
vendre	0.0621338	0.0425617	0.0319845	0.0207333	0.0154562	0.0133199	0.0133934	0.0137742	0.013166	0.0140062	0.0165345	0.014464	0.0161742	0.0146887	0.0102902	0.0124416	0.0159368	0.0249515	0.0417816	0.0473687	0.0418501	0.0372356	0.0439162	0.0355439	0.0584891	0.033974	0.0775881	0.0372601	0.0728766	0.106105
</S>	0.0828873	0.0470835	0.0457816	0.0772761	0.0399496	0.0582939	0.0346432	0.0287397	0.0371463	0.0291705	0.0259069	0.0140745	0.00796153	0.00641926	0.0126375	0.0145966	0.0079706	0.0113097	0.00760016	0.00825213	0.0122767	0.0188948	0.0252153	0.0291093	0.0307852	0.0211878	0.0397623	0.041579	0.0487543	0.134734
