 	i	b	o	ó	l	o	k	u	m	u	w	á	á	í	s	o	í	í	d	í	l	a	p	ώ	n	g	i	</S>
quand	0.0414558	0.0304275	0.0109202	0.0104721	0.0158764	0.0262017	0.0287964	0.0374889	0.0399194	0.0420885	0.0436293	0.0487609	0.0599179	0.164104	0.0355978	0.0236066	0.0247614	0.0166604	0.0199807	0.0324513	0.0382639	0.0455086	0.0317112	0.0347054	0.0297966	0.0286615	0.0221699	0.016066
le	0.227857	0.122458	0.0362329	0.0199563	0.0224153	0.0098503	0.00631729	0.00526041	0.00562034	0.00451773	0.00713396	0.0160096	0.03165	0.0342492	0.0272114	0.0460612	0.020447	0.0111717	0.0121436	0.0180389	0.0660643	0.075097	0.0604264	0.031634	0.0202193	0.019856	0.0222382	0.0198627
hanneton	0.0145202	0.0130355	0.0300858	0.0256392	0.0226135	0.0253835	0.0183918	0.0160892	0.0151414	0.0155015	0.0345914	0.0226008	0.016883	0.133548	0.0557496	0.0251117	0.0921939	0.0388275	0.078289	0.096579	0.0706878	0.0511371	0.023089	0.0166784	0.0103697	0.00924864	0.0182769	0.00973696
atteint	0.0646994	0.0748287	0.0652667	0.0653779	0.0611166	0.0277316	0.0191468	0.0245616	0.0367159	0.0387182	0.0541622	0.0460093	0.0113588	0.0306377	0.0446161	0.0204403	0.0204295	0.0189248	0.0252387	0.0253772	0.0211842	0.0204092	0.0259133	0.0186822	0.0358069	0.0324701	0.0252626	0.0449136
l'	0.029695	0.0431755	0.0662094	0.0836789	0.0708602	0.0603606	0.0545506	0.038208	0.0318619	0.0269522	0.0351152	0.0297161	0.0140663	0.0108752	0.00811925	0.00841384	0.0138652	0.0130367	0.0240262	0.0203681	0.0178112	0.0162662	0.015733	0.0177311	0.0395706	0.0346816	0.0390147	0.136037
âge	0.0155726	0.0217263	0.0459929	0.0663909	0.0680185	0.0677516	0.0745713	0.0526912	0.083445	0.0528203	0.0470892	0.0315777	0.0126198	0.0137773	0.00739517	0.0093476	0.00928876	0.00550688	0.0158573	0.0162749	0.0291763	0.0316395	0.0227494	0.0244677	0.0221623	0.0303862	0.0384375	0.0832659
de	0.0451425	0.0429759	0.0505417	0.059944	0.052793	0.0567668	0.0587132	0.0500462	0.0425651	0.0315617	0.0119944	0.0120753	0.0148419	0.0141267	0.0107317	0.0284344	0.0124321	0.0106298	0.0215865	0.0117615	0.0233205	0.0272108	0.0241271	0.035264	0.036661	0.0291139	0.0715083	0.11313
maturité	0.0332379	0.0393328	0.0745012	0.0925137	0.0598267	0.0477947	0.0505128	0.0325135	0.0334821	0.0373193	0.0306274	0.0226826	0.00903916	0.0106072	0.0118255	0.0113262	0.00274507	0.00333587	0.00774506	0.00843641	0.0247898	0.0567105	0.0446345	0.0280882	0.042449	0.0425481	0.0610301	0.0803447
son	0.0430923	0.0477205	0.0815675	0.0702631	0.0571081	0.0348449	0.0483014	0.0307739	0.0337781	0.0354235	0.0448785	0.0381676	0.0188997	0.0178076	0.0214387	0.0201889	0.010254	0.00617597	0.0110128	0.0228391	0.0244096	0.027737	0.0280265	0.019621	0.0367624	0.0354441	0.0385761	0.094887
corps	0.0746457	0.0907154	0.0730556	0.0537658	0.0455269	0.0260385	0.0180615	0.0119476	0.00964538	0.00881423	0.00685718	0.013754	0.0147669	0.0113892	0.0249001	0.0338749	0.0104112	0.0111933	0.0142476	0.010889	0.0196739	0.0261696	0.0289699	0.0271909	0.0500388	0.0668182	0.0803697	0.136269
est	0.114406	0.10067	0.114278	0.0832029	0.0553812	0.0246529	0.0186376	0.0113316	0.010164	0.00629189	0.00251721	0.00221903	0.00248101	0.0025083	0.00665403	0.0161467	0.00229043	0.00383504	0.00531449	0.00500239	0.0108772	0.025185	0.0225014	0.0225027	0.0595957	0.0321522	0.0652943	0.173907
plein	0.0857767	0.102191	0.0976687	0.0676523	0.0592762	0.025869	0.0338492	0.0141814	0.00782914	0.0054444	0.00230925	0.00305966	0.00264587	0.00255136	0.00972594	0.0151635	0.00468293	0.00612475	0.0118718	0.010318	0.0142998	0.0277683	0.0317394	0.0274296	0.0525755	0.0367568	0.111784	0.129455
de	0.0844541	0.0695169	0.0686728	0.0447523	0.0206698	0.0105226	0.013333	0.0100714	0.00999699	0.00757135	0.00710529	0.00518019	0.00288066	0.00296188	0.00417091	0.00468569	0.00330682	0.00346936	0.00721472	0.0100657	0.0195022	0.0339409	0.0372502	0.0439445	0.0948668	0.0942419	0.0696219	0.216029
graisse	0.0485345	0.0400725	0.0356686	0.0216223	0.0188736	0.0104179	0.0100983	0.00887578	0.0135842	0.00948569	0.00693644	0.00755082	0.00590822	0.00244071	0.00338863	0.00663935	0.0017863	0.00189809	0.0074475	0.0110447	0.0306099	0.0639137	0.0805192	0.0696088	0.100676	0.107239	0.10259	0.172569
</S>	0.0382566	0.0317087	0.0245328	0.0139442	0.0103243	0.00687017	0.00680602	0.0066861	0.0109909	0.00925178	0.00686737	0.00657698	0.00576018	0.00468008	0.00497424	0.00800361	0.00416043	0.00313542	0.00746624	0.0127175	0.0540447	0.100794	0.0861871	0.072634	0.0860709	0.099515	0.107428	0.169612
