 	m	w	á	s	í	y	a	n	g	á	á	b	ω	n	g	i	i	b	h	í	i	s	é	d	u	b	h	u	l	u	y	á	w	a	y	i	k	ώ	ώ	</S>
mon	0.00233271	0.0156206	0.00676923	0.00509083	0.00444309	0.00875778	0.0113241	0.0136724	0.0225943	0.0212715	0.0821517	0.0573181	0.0519648	0.043277	0.0285837	0.0554578	0.0618145	0.0501906	0.0632324	0.0348703	0.029331	0.0244651	0.0223479	0.0159271	0.023803	0.0191082	0.0158003	0.0204805	0.0172809	0.0168262	0.0147534	0.0166876	0.0117148	0.00923456	0.0131837	0.0134112	0.0124688	0.0200204	0.0216554	0.0207624
épouse	0.0250215	0.124945	0.0922489	0.211142	0.137566	0.0858954	0.136126	0.0165435	0.00945046	0.0109984	0.00339862	0.00403352	0.00183675	0.00359465	0.00236054	0.00179772	0.00574214	0.00296879	0.00447493	0.00350355	0.00911436	0.0073472	0.00587656	0.00395837	0.00293678	0.00466699	0.00789128	0.00480112	0.00448973	0.00616534	0.010163	0.00569296	0.00379766	0.00635487	0.00923349	0.0126562	0.00597607	0.00243258	0.00146727	0.00132853
a	0.0260821	0.0495257	0.0573792	0.0393937	0.0286226	0.0250237	0.0362971	0.0209674	0.0296059	0.0198791	0.019622	0.027079	0.0124909	0.0185668	0.0430678	0.0379634	0.0271641	0.0262238	0.0232167	0.0498554	0.0349167	0.027964	0.0263586	0.0168739	0.0165083	0.0191941	0.0140704	0.0148492	0.0139062	0.0134627	0.0143254	0.0158658	0.0184717	0.0165048	0.0219049	0.0317694	0.0145024	0.0180604	0.0184455	0.0140194
construit	0.0660783	0.0427507	0.0567827	0.0471184	0.04844	0.0589927	0.0374887	0.0302874	0.0256199	0.0191907	0.0131285	0.0169996	0.0193354	0.0137151	0.0221743	0.0172758	0.0145007	0.0210875	0.0101002	0.0131936	0.0161242	0.0189584	0.0164559	0.0163742	0.0116425	0.0170985	0.0128604	0.0151615	0.0314948	0.0310471	0.0375088	0.0265885	0.0207833	0.01057	0.0144573	0.0112918	0.0110161	0.0116043	0.0240053	0.0506968
une	0.0432114	0.0230919	0.0477135	0.0247439	0.0234876	0.0130775	0.0132336	0.0172809	0.0189113	0.0121665	0.0173426	0.0156793	0.0205145	0.0188356	0.0214812	0.0209653	0.0200601	0.0202324	0.0145676	0.030795	0.0319725	0.0387152	0.0387858	0.0551226	0.041257	0.0610704	0.0368364	0.0302785	0.0362814	0.0266951	0.0251363	0.0190855	0.013398	0.00875267	0.00791603	0.00550814	0.011205	0.00789319	0.0219026	0.044796
cachette	0.0674558	0.0211303	0.0161028	0.016662	0.015966	0.0122717	0.0151571	0.0123108	0.012251	0.0110153	0.0161373	0.0140079	0.0129582	0.0174757	0.0312891	0.0213886	0.028795	0.044092	0.0264642	0.0422046	0.0485914	0.044289	0.043435	0.0470987	0.0358143	0.0359574	0.0358404	0.0279076	0.0286203	0.0261127	0.0276503	0.0227448	0.0123365	0.0103144	0.0110006	0.00938257	0.0130526	0.00693699	0.0126452	0.0451337
de	0.091058	0.0296741	0.0212481	0.0235249	0.0189699	0.0164766	0.0178856	0.0123294	0.0119532	0.0111196	0.0195977	0.0152186	0.014809	0.0178624	0.0352402	0.0229233	0.0223965	0.0381874	0.0251818	0.0331287	0.0325581	0.0412198	0.0343567	0.049521	0.0419126	0.0352122	0.0457131	0.0263563	0.0296505	0.027005	0.0186339	0.0186909	0.00657126	0.00469295	0.00431659	0.0036019	0.00614458	0.0050918	0.0124468	0.0575188
poisson	0.0275272	0.00920547	0.0117387	0.0109558	0.0112291	0.0145586	0.0165097	0.0175758	0.0190773	0.0147836	0.0176441	0.0158902	0.0206523	0.0107228	0.0236712	0.0123589	0.0115691	0.0246067	0.0124325	0.0236417	0.0308651	0.0408289	0.0376971	0.0502238	0.0497476	0.0500769	0.0548951	0.0354722	0.0338467	0.0316568	0.0306632	0.0385424	0.0203758	0.0157036	0.0185869	0.0138321	0.0243627	0.0187212	0.0308629	0.0466885
dans	0.0571521	0.0226385	0.026974	0.0215606	0.019706	0.0247295	0.0201051	0.0171345	0.0154674	0.00564016	0.0058974	0.0096947	0.0145412	0.00871671	0.0258915	0.0088173	0.0103781	0.0219889	0.0159968	0.0229931	0.0276392	0.0399351	0.0348943	0.0408088	0.0325031	0.0316245	0.0404529	0.0335875	0.0329077	0.0392481	0.0272866	0.0354249	0.0081872	0.00725613	0.0126846	0.0135382	0.0142746	0.0211308	0.0318152	0.0987769
l'	0.0952271	0.0283555	0.0296134	0.0225431	0.0201695	0.0246992	0.0188443	0.0178372	0.0199566	0.0116708	0.00667498	0.0078455	0.0126147	0.00674699	0.0277382	0.00755849	0.00719853	0.0119145	0.00603265	0.010013	0.0144409	0.0142425	0.0112211	0.0151922	0.0189834	0.0131133	0.0180496	0.0138166	0.0190658	0.0236787	0.0308219	0.0411827	0.0294433	0.0160805	0.0252374	0.0253284	0.0335368	0.0311508	0.0778243	0.134336
