 	n	g	ó	o	y	a	n	g	á	á	d	z	w	e	o	s	u	m	á	k	ú	b	h	á	y	á	w	a	p	á	b	h	a	</S>
ma	0.225448	0.233464	0.075929	0.0149609	0.00369915	0.00906914	0.00328912	0.00963928	0.0108223	0.00885906	0.0140634	0.033748	0.0261141	0.0312021	0.0198644	0.0192684	0.0181845	0.0148584	0.0115661	0.0075479	0.00737272	0.00680477	0.00939652	0.0100793	0.0169361	0.0180906	0.0140575	0.0188226	0.0149863	0.0151602	0.0167119	0.0230433	0.0184558	0.0184851
mère	0.158532	0.177773	0.319666	0.130583	0.0761998	0.0208948	0.0215083	0.0151885	0.00316998	0.00788147	0.0062501	0.00364162	0.00183743	0.0037357	0.00237423	0.00127149	0.000761965	0.00123941	0.00181496	0.00144718	0.00252121	0.00487193	0.00716872	0.012106	0.00215651	0.0028016	0.00374519	0.00287362	0.00297966	0.0016125	0.000632714	0.000355415	0.00021758	0.00018623
est	0.0635949	0.0602288	0.0803623	0.0767143	0.0305663	0.050772	0.0312852	0.0712575	0.0329676	0.0272296	0.0211897	0.0235945	0.0346552	0.0429631	0.0477711	0.0520312	0.0438025	0.0198934	0.0123307	0.00924703	0.00644292	0.00638154	0.00852199	0.0164238	0.0148627	0.0165568	0.0191644	0.0161078	0.01403	0.0167138	0.00883444	0.00934591	0.00989467	0.0042624
partie	0.0152184	0.0121222	0.0135448	0.0154952	0.0165754	0.0201674	0.0167338	0.0208579	0.026305	0.0468505	0.0456145	0.0466433	0.0560797	0.039348	0.0296516	0.0406933	0.0280517	0.0445991	0.0349885	0.0304052	0.0301402	0.0410346	0.0526761	0.0538738	0.0378817	0.0303222	0.0157128	0.0114239	0.0120039	0.0158136	0.0172833	0.020065	0.0262467	0.0355767
planter	0.0125367	0.00693235	0.00871324	0.00959183	0.0106406	0.00711662	0.0135722	0.0194357	0.0286397	0.0301291	0.0359817	0.0245254	0.0278291	0.0291616	0.0419126	0.0312884	0.0359582	0.0537841	0.0467586	0.0890191	0.0637795	0.0443835	0.0386282	0.0278918	0.0273927	0.0283671	0.0213196	0.0205827	0.016456	0.0198337	0.0222562	0.0256268	0.0338222	0.0461331
la	0.0127186	0.0081142	0.0110974	0.0126386	0.0183938	0.0126806	0.0222182	0.0205818	0.0341228	0.0426506	0.043196	0.0225294	0.0268777	0.0218718	0.0276029	0.0316131	0.0427373	0.050321	0.0398592	0.0625978	0.0575951	0.0532693	0.0550738	0.0528902	0.0326403	0.0209479	0.0241111	0.016438	0.0127483	0.0126172	0.0165099	0.0198202	0.0195893	0.0413263
première	0.0272724	0.0259081	0.0220892	0.0215336	0.0343702	0.0331197	0.0386569	0.0351632	0.0326496	0.0274927	0.0355714	0.0590984	0.0315588	0.0182773	0.016363	0.0121859	0.0135612	0.0180878	0.0261205	0.0409161	0.0382703	0.0346619	0.0209051	0.0212123	0.0141567	0.0117755	0.0112184	0.00646513	0.00539247	0.00814245	0.0175079	0.0331009	0.0486498	0.158545
semence	0.0182987	0.0169247	0.0125861	0.0122167	0.0262844	0.027944	0.0289907	0.0231837	0.0330987	0.0247246	0.0386572	0.0602022	0.0253813	0.0100016	0.0114348	0.0109055	0.00780067	0.00969257	0.02001	0.0374467	0.0525193	0.0664105	0.056792	0.0456525	0.0291226	0.0186327	0.00692468	0.00489928	0.00526633	0.0158955	0.0225799	0.0387923	0.0433479	0.13738
dans	0.0300684	0.0195722	0.0157425	0.0156779	0.0243049	0.0257208	0.0240646	0.0229314	0.0426904	0.0288674	0.021955	0.0202961	0.020654	0.0169879	0.0148799	0.0171307	0.0165008	0.0202038	0.0208641	0.0426424	0.0437632	0.0577883	0.0691694	0.0605134	0.0603893	0.0293162	0.0110961	0.0109373	0.00956702	0.0119842	0.0149681	0.0228067	0.0241437	0.111802
son	0.0367045	0.0278981	0.027843	0.028716	0.0295485	0.0276714	0.0236647	0.0177749	0.0127206	0.00965549	0.00827398	0.00792894	0.0134433	0.0165007	0.0194032	0.0246973	0.0237203	0.0215521	0.0149959	0.0320866	0.0223343	0.0189731	0.0343345	0.0335204	0.0374547	0.0396284	0.0418341	0.0357425	0.0324615	0.0447356	0.042722	0.0528376	0.0584092	0.0802127
champ	0.0161963	0.0204998	0.0204479	0.0193383	0.011981	0.0104233	0.00994218	0.0103006	0.0118133	0.0129636	0.0121977	0.0129227	0.0150857	0.013074	0.0143531	0.0229934	0.0295054	0.0600856	0.0765292	0.146017	0.110709	0.071305	0.0427458	0.0197311	0.0109025	0.00928122	0.00468635	0.0050112	0.00480236	0.0192051	0.0219165	0.0358194	0.0336151	0.0635994
aujourd'	0.0704749	0.0384769	0.0330517	0.0384682	0.049263	0.0410405	0.0456502	0.0288857	0.0121965	0.00802786	0.00844477	0.00858208	0.0121672	0.0133716	0.0179767	0.0223126	0.0216711	0.0141382	0.0152621	0.0305795	0.033441	0.0315082	0.0475405	0.0475823	0.044227	0.0296246	0.0193532	0.0258815	0.0227914	0.0316913	0.0149258	0.0316477	0.0216497	0.0680945
hui	0.0542268	0.0324887	0.0328342	0.0310328	0.0311262	0.0224245	0.0153894	0.0147153	0.0171829	0.0186856	0.0163427	0.0172426	0.0247641	0.018894	0.0171165	0.032967	0.0287068	0.0285907	0.021555	0.0385379	0.0237321	0.0171261	0.0185937	0.0151924	0.024325	0.0348855	0.0205964	0.0230706	0.0163265	0.036667	0.0265169	0.0595165	0.0544214	0.114206
</S>	0.0390382	0.0326262	0.0311992	0.0314508	0.0337866	0.0286638	0.0217826	0.0173733	0.0141198	0.0113828	0.0104276	0.0108934	0.018623	0.0165312	0.0168135	0.0251294	0.0193504	0.0210271	0.0217319	0.0423943	0.0247625	0.0184413	0.0293507	0.028355	0.0414065	0.0430333	0.0281545	0.0263232	0.0226672	0.0376815	0.0333525	0.0536448	0.0521824	0.0962998
