 	n	ω	l	ó	o	b	é	r	á	m	á	a	k	á	a	m	ó	n	ω	m	é	n	ε	</S>
tu	0.0306782	0.0180825	0.0200963	0.0348469	0.0456414	0.0553676	0.0480701	0.0603666	0.0553187	0.0564409	0.069277	0.0603088	0.0557413	0.0602456	0.0631653	0.0846142	0.0417504	0.0241005	0.0225458	0.0200984	0.0173057	0.0161261	0.0140956	0.0257162
apporteras	0.106816	0.0834949	0.0788826	0.0294692	0.0353019	0.0400009	0.0567824	0.0778371	0.0830273	0.0814699	0.0804036	0.0684798	0.0482311	0.0254712	0.0110288	0.0103245	0.0110927	0.0104308	0.0100141	0.010517	0.0106321	0.00977677	0.0101082	0.0104069
de	0.0304224	0.0276686	0.0166213	0.0122307	0.0198769	0.0331858	0.0508311	0.0510818	0.0382986	0.0350751	0.0312035	0.0281216	0.0260437	0.0243941	0.0247178	0.0237895	0.0699162	0.0796534	0.0691247	0.0561552	0.0703245	0.0745379	0.0759053	0.0308204
l'	0.0459424	0.0387482	0.049324	0.0401414	0.0411102	0.0488415	0.0710072	0.060016	0.042624	0.0448015	0.0263783	0.0202014	0.0112566	0.0107985	0.0161866	0.0315888	0.0795548	0.0583781	0.0339357	0.0262996	0.0274078	0.0340889	0.0631243	0.0782441
eau	0.0305236	0.0300792	0.0404663	0.0408233	0.0410299	0.051022	0.0705813	0.0614102	0.0496164	0.0492938	0.0473546	0.0390662	0.0329557	0.0338551	0.0714886	0.0271878	0.0262482	0.0467613	0.0401933	0.02909	0.0309155	0.0333596	0.0275809	0.049097
seulement	0.0356381	0.0271819	0.0306982	0.0287932	0.0319425	0.0362224	0.0556669	0.0670051	0.0590968	0.0486222	0.036256	0.0327085	0.0268839	0.0294207	0.0439398	0.0208536	0.0287482	0.026049	0.0257321	0.0294667	0.0344138	0.0479825	0.0624555	0.134222
pour	0.0505213	0.0377485	0.0351851	0.0337894	0.0349282	0.0339723	0.0368258	0.0328156	0.0263424	0.0242138	0.018436	0.0152758	0.01246	0.0115434	0.0226611	0.0288086	0.0593785	0.0824186	0.0536283	0.050026	0.0456582	0.0636622	0.0716181	0.118083
toi	0.0577698	0.0338069	0.0279749	0.020647	0.0213457	0.0147965	0.0132403	0.0121078	0.00944128	0.0102304	0.00809032	0.00600687	0.00477037	0.00457387	0.0132133	0.0245308	0.0537536	0.103889	0.0699225	0.0801489	0.0757361	0.0878413	0.108018	0.138144
même	0.0584028	0.0369709	0.0313747	0.0315658	0.0320597	0.026454	0.0198746	0.0133418	0.00859595	0.00874987	0.00837722	0.00782411	0.00599288	0.00555927	0.0102805	0.0112315	0.0368795	0.0795749	0.0860214	0.0860142	0.0749889	0.0768981	0.0904634	0.152504
</S>	0.045682	0.0407846	0.0413139	0.0592211	0.0639873	0.0649879	0.0635692	0.0472942	0.0295518	0.0280861	0.0222098	0.0212797	0.0158345	0.0130431	0.0107842	0.00714463	0.0169286	0.0371105	0.0474694	0.0519847	0.0531711	0.056493	0.0576574	0.104411
