 	k	í	n	d	á	y	á	b	í	s	í	é	d	i	m	í	s	ú	u	l	á	p	o	o	</S>
notre	0.0115647	0.0136236	0.012627	0.0108175	0.0169938	0.0164859	0.0292292	0.0313225	0.0445614	0.0400457	0.059665	0.0436008	0.0924359	0.137566	0.0847486	0.073106	0.0835077	0.0683805	0.0458757	0.027235	0.0166454	0.0131471	0.00758773	0.0105554	0.00867159
fétiche	0.0659261	0.201928	0.127128	0.0675852	0.0611663	0.0321864	0.0199704	0.0087852	0.026676	0.0113754	0.0109945	0.0124503	0.0559969	0.0537078	0.0406702	0.0627466	0.0620102	0.0288701	0.0222142	0.0139848	0.00608368	0.00308552	0.00188897	0.00168787	0.000881328
pro	0.0374139	0.0452204	0.0629648	0.0705919	0.115031	0.134861	0.110179	0.0859698	0.0779205	0.0289361	0.0298459	0.0106631	0.0161656	0.0144941	0.0167011	0.0236224	0.0240325	0.0280879	0.0246498	0.0143272	0.00564094	0.00497317	0.0051281	0.00582202	0.00675753
tecteur	0.0580958	0.11616	0.156252	0.106252	0.0666802	0.0256207	0.0220138	0.0316824	0.0284702	0.029904	0.0352838	0.0269513	0.0227764	0.0130669	0.00949882	0.0110012	0.00848373	0.011372	0.018484	0.0263174	0.0375912	0.0255304	0.0284893	0.0304845	0.053538
est	0.088139	0.0713058	0.0598328	0.0563982	0.0656355	0.0447171	0.029081	0.0293826	0.0274434	0.0220255	0.0263668	0.0286716	0.0413859	0.031644	0.0275773	0.0186469	0.0221011	0.0151079	0.0211642	0.0230716	0.0294066	0.0398185	0.0504702	0.0509747	0.0796317
gardé	0.0284204	0.0315149	0.0127073	0.0126421	0.0146448	0.0149283	0.0146548	0.0169538	0.0198064	0.0202124	0.0502728	0.0355349	0.0584169	0.0487265	0.063009	0.0616766	0.0944182	0.0685717	0.0436571	0.0725041	0.0427192	0.0578602	0.0598086	0.0277577	0.0285814
au	0.0566684	0.0404116	0.0302556	0.0322126	0.0282887	0.02347	0.0167904	0.0227116	0.030221	0.0389347	0.0440687	0.0489799	0.0341234	0.0136394	0.0135048	0.0273236	0.0174696	0.012253	0.0237778	0.0301807	0.0356828	0.0496331	0.0647339	0.0945502	0.170114
bout	0.0291606	0.0277407	0.0280634	0.0281332	0.0309244	0.027215	0.0321822	0.0208368	0.0159101	0.0207676	0.0247018	0.0119818	0.0126795	0.0175017	0.0316346	0.0438009	0.0616705	0.0701382	0.082017	0.0614321	0.0517218	0.0509173	0.0564455	0.0658535	0.0965697
du	0.052122	0.0477415	0.0428455	0.038273	0.0199357	0.0122583	0.0154685	0.0251157	0.0349619	0.051736	0.0620574	0.0541032	0.0356237	0.0241397	0.0182051	0.0131286	0.00994867	0.00933166	0.0107674	0.0100594	0.0231682	0.0489961	0.0750754	0.0981427	0.166795
village	0.0664224	0.0508601	0.0514097	0.049151	0.0363678	0.0217144	0.0153233	0.0120305	0.00944238	0.0096423	0.0117719	0.00798166	0.00734102	0.0122774	0.0207804	0.0315796	0.03133	0.0304307	0.0354812	0.0311518	0.0549541	0.0706852	0.0804548	0.0948697	0.156547
</S>	0.109555	0.0821819	0.0694222	0.0493365	0.0231923	0.0192876	0.0166096	0.0237824	0.0249638	0.0236039	0.0223142	0.0161355	0.0116573	0.0144447	0.0146606	0.0144396	0.0172706	0.0235535	0.0123054	0.0128633	0.0186106	0.033397	0.0689608	0.0914989	0.185953
