 	t	s	ó	s	ó	w	o	á	p	i	i	m	i	l	o	y	ó	l	o	</S>
cette	0.0215884	0.0252249	0.0371307	0.045222	0.0303415	0.070076	0.050934	0.052419	0.0348477	0.0267999	0.036562	0.0494359	0.0694556	0.125421	0.100544	0.0678756	0.0506341	0.034808	0.0357443	0.0349357
poule	0.0149634	0.0373372	0.0625906	0.0371433	0.0302357	0.0626031	0.129415	0.18783	0.104336	0.102609	0.0775002	0.0836169	0.0398943	0.0133222	0.00789989	0.00491489	0.00181553	0.00120243	0.000438636	0.00033158
a	0.0188637	0.0186448	0.0211112	0.0259222	0.0291502	0.0613187	0.0834078	0.0819002	0.0855902	0.158355	0.0707951	0.099687	0.0599949	0.0482125	0.0343062	0.0195885	0.0136181	0.0216058	0.0302278	0.0177004
été	0.0624543	0.115194	0.128691	0.0957149	0.103914	0.0389156	0.0393186	0.0249817	0.0397883	0.043056	0.0448425	0.0342352	0.0285199	0.0360721	0.0386168	0.0565771	0.0281652	0.0101741	0.00720377	0.0235645
prise	0.060427	0.0602842	0.0633983	0.0783308	0.0610879	0.0544318	0.0392901	0.0337891	0.0340655	0.0271038	0.0288774	0.01679	0.0165493	0.0305648	0.0367166	0.0486025	0.0700176	0.0923191	0.0756964	0.0716579
au	0.0503573	0.057516	0.0519972	0.0571003	0.0374238	0.0334253	0.0351684	0.0394923	0.050972	0.0383296	0.049043	0.0385036	0.0262858	0.0280201	0.032212	0.0736533	0.081169	0.0752581	0.0588809	0.0851921
piège	0.0495344	0.040549	0.033854	0.0305849	0.0246064	0.0222378	0.0230878	0.0236725	0.0279297	0.048116	0.0620977	0.0656846	0.0428308	0.0552848	0.0733135	0.0682459	0.069608	0.0735233	0.0590481	0.106191
ce	0.0366388	0.0378143	0.0492121	0.0642749	0.0520303	0.056122	0.0360666	0.0375717	0.0343431	0.0400985	0.0388296	0.0376921	0.0211855	0.0246101	0.0274855	0.0367429	0.0408733	0.0646117	0.109047	0.15475
matin	0.127662	0.0793586	0.0751017	0.059384	0.040203	0.0188297	0.00984805	0.00821562	0.00644061	0.0110123	0.00924822	0.0145059	0.0114381	0.0194897	0.0236826	0.03255	0.0416608	0.0714584	0.127877	0.212034
</S>	0.0793318	0.0746679	0.0776074	0.0494878	0.0363145	0.0315438	0.0202973	0.0151358	0.0145645	0.0127167	0.0240625	0.0273087	0.0245477	0.0170157	0.0168621	0.0343474	0.0403528	0.071538	0.120391	0.211907
