 	á	m	i	b	ω	n	g	ώ	a	l	ω	i	a	y	í	í	m	ó	ε	n	y	έ	έ	</S>
on	0.4492	0.154706	0.0147552	0.0119204	0.00884116	0.023833	0.0300507	0.0177695	0.0219866	0.0277113	0.0312224	0.0353065	0.0314179	0.0218519	0.0203245	0.00810594	0.007326	0.0083199	0.0117471	0.0135709	0.015659	0.00987794	0.0119448	0.0125509
a	0.0154034	0.0214094	0.0512788	0.0640568	0.10524	0.110432	0.10339	0.0745706	0.0706984	0.0624066	0.0293744	0.0180885	0.0354237	0.0435841	0.0342625	0.0486223	0.0285127	0.0228811	0.0157894	0.0121946	0.00887214	0.00624943	0.00669175	0.0105669
fabriqué	0.0184232	0.0283485	0.0408377	0.0575431	0.0462016	0.0257174	0.0245994	0.0405998	0.0499519	0.0507901	0.0693202	0.0693629	0.0581698	0.0883038	0.093832	0.0605773	0.0354737	0.0217156	0.0227188	0.0167099	0.0164294	0.019172	0.0259213	0.0192807
beaucoup	0.007371	0.012441	0.021432	0.0221939	0.0214451	0.0175428	0.0213676	0.0360072	0.0417845	0.0444682	0.0542288	0.0565254	0.0837592	0.136436	0.113826	0.0560512	0.0467529	0.0432234	0.0400747	0.0344767	0.0162074	0.0223362	0.0238807	0.0261682
d'	0.0124148	0.0170615	0.016275	0.0204458	0.0329408	0.034613	0.0309758	0.0403857	0.034073	0.0306731	0.0422528	0.0420536	0.0321571	0.0330606	0.0395361	0.0633194	0.0651632	0.056656	0.0714149	0.0509814	0.0449719	0.0512202	0.0550307	0.0823237
alcool	0.014553	0.0232621	0.0398979	0.0516207	0.0656854	0.0566893	0.0473993	0.0477251	0.022612	0.0201908	0.0178881	0.0163928	0.0114819	0.0086712	0.00987982	0.0168361	0.0277025	0.039344	0.0429395	0.045248	0.0569657	0.0623488	0.0692374	0.185429
de	0.012757	0.0154829	0.0199912	0.0225334	0.0369676	0.0406585	0.0384936	0.0503182	0.0469607	0.0435311	0.0302997	0.0213248	0.0118725	0.00885078	0.0180154	0.0276763	0.0328836	0.0451149	0.0540705	0.0603846	0.0694436	0.0777145	0.0770853	0.137569
maïs	0.03915	0.0430555	0.048979	0.0497893	0.0514125	0.0510588	0.0428256	0.0295407	0.0149629	0.0138704	0.00982493	0.00870166	0.00571264	0.00375611	0.00485184	0.010063	0.0135896	0.0206657	0.0236009	0.0513741	0.0700534	0.0932219	0.0969306	0.203009
pour	0.0498384	0.0561384	0.0647425	0.0646929	0.0534482	0.0349608	0.0276657	0.0218263	0.0144074	0.0133833	0.0115404	0.00960653	0.00584129	0.00410488	0.00612745	0.0104163	0.0200957	0.0261824	0.02924	0.0409431	0.0511289	0.0781878	0.0896591	0.215822
le	0.0532708	0.0549881	0.0572495	0.0555237	0.0523928	0.0320692	0.018681	0.0114183	0.00908543	0.00770888	0.00430707	0.0038348	0.00290823	0.00374732	0.00690403	0.0154855	0.0224988	0.0246816	0.025246	0.0559581	0.0841293	0.114123	0.110103	0.173686
fête	0.0419553	0.0550982	0.0948568	0.0872016	0.0799018	0.0531535	0.0363306	0.0269229	0.0228115	0.0214284	0.00985019	0.0101886	0.0170228	0.0241568	0.0242037	0.024211	0.0207715	0.019256	0.0200873	0.0313879	0.0494062	0.0626607	0.0584528	0.108684
</S>	0.0553405	0.0588505	0.0684869	0.0652571	0.0642959	0.036946	0.0264066	0.0257305	0.026277	0.0237035	0.0106111	0.00729292	0.00559353	0.00701965	0.00921393	0.0176622	0.0198769	0.0161571	0.0193813	0.0281326	0.0508029	0.086158	0.0990419	0.171761
