 	o	y	ú	r	u	w	ó	á	y	ú	ú	m	u	m	w	á	n	a	m	í	k	y	a	l	í	t	ú	u	</S>
cette	0.00701006	0.00709251	0.00643811	0.00592	0.00720007	0.00960517	0.00871175	0.00918942	0.0186103	0.0150159	0.0128442	0.0440329	0.0395048	0.0270184	0.044414	0.0544641	0.0210812	0.0347831	0.0527676	0.0783422	0.0528902	0.0356823	0.0436439	0.0555852	0.0635506	0.0511446	0.0525644	0.0823041	0.0585891
femme	0.104355	0.116915	0.244039	0.151307	0.101801	0.059823	0.0285504	0.0388578	0.023544	0.00959651	0.00528559	0.00819006	0.013156	0.0209615	0.00941917	0.0124671	0.0148682	0.00788312	0.010982	0.00458885	0.00228794	0.00076519	0.000684597	0.00129446	0.00350787	0.00156568	0.00195033	0.000357002	0.000996709
a	0.0485427	0.0219742	0.0331882	0.0304756	0.0433111	0.0988569	0.0237654	0.0515556	0.0176063	0.0230378	0.0308048	0.0390261	0.0558803	0.0294841	0.0298089	0.0525061	0.0645331	0.0199402	0.0380224	0.0234083	0.0260944	0.0251606	0.0200302	0.0232255	0.0331168	0.0194486	0.0306486	0.0256696	0.0208776
défendu	0.0185753	0.03103	0.0494504	0.0638008	0.0580245	0.0509581	0.0221594	0.0246656	0.0131705	0.0260941	0.0237379	0.0377276	0.0418163	0.0393368	0.0540698	0.105805	0.0861697	0.0521682	0.0541676	0.0181828	0.0204484	0.0183801	0.0118581	0.0130576	0.00976911	0.0126732	0.0107989	0.0159164	0.0159872
à	0.0534643	0.0427313	0.0376907	0.0402868	0.0370723	0.0312003	0.0222926	0.0182958	0.0203659	0.0168843	0.0190762	0.0219622	0.0197211	0.0166366	0.0209307	0.0326093	0.0472513	0.046218	0.0383969	0.0344876	0.0356071	0.0282308	0.0245964	0.031282	0.0352885	0.0380821	0.0511931	0.0576867	0.0804594
son	0.0360853	0.0360314	0.0297272	0.0371526	0.0277812	0.0363493	0.0286891	0.0235691	0.0346051	0.0277397	0.0392508	0.0687005	0.0590228	0.0520024	0.0466387	0.048667	0.0528577	0.0312806	0.0246434	0.0218083	0.0202464	0.0192764	0.0197501	0.0199459	0.0207593	0.0196132	0.027809	0.0217196	0.0682778
enfant	0.0695687	0.0587101	0.0556205	0.0492565	0.0424377	0.0441169	0.0426141	0.032989	0.0474363	0.021791	0.019351	0.0184971	0.0137506	0.0353337	0.0214469	0.011514	0.00492188	0.00908932	0.0158212	0.0184636	0.00683691	0.00407555	0.0107865	0.011435	0.0280743	0.00760746	0.0476241	0.0159904	0.23484
de	0.0320038	0.0345641	0.0349712	0.0385945	0.0288228	0.0287788	0.0226908	0.0185864	0.0258624	0.0192921	0.0226053	0.0241583	0.0235084	0.0437092	0.0378417	0.0520401	0.0316277	0.055795	0.0418928	0.0410705	0.0237998	0.0129283	0.0213428	0.0285044	0.0400237	0.0224532	0.0469189	0.0399203	0.105693
proférer	0.0859772	0.052566	0.0369006	0.0309659	0.013615	0.0180092	0.00887762	0.0116754	0.0225647	0.0147211	0.0165579	0.012394	0.0072969	0.0125697	0.0180524	0.0258358	0.0230607	0.0394968	0.0407544	0.054632	0.0401898	0.0109817	0.0459509	0.0564311	0.0641961	0.0267173	0.0823671	0.0404956	0.0861471
des	0.0890807	0.0504927	0.0390127	0.0344205	0.0243333	0.0153374	0.00998214	0.0106891	0.0120613	0.0108269	0.0106191	0.0121787	0.0108545	0.0143755	0.0205076	0.029958	0.0496556	0.0498148	0.0473967	0.059657	0.0387064	0.0294843	0.0391153	0.035168	0.0443596	0.0307936	0.0623902	0.0347849	0.0839434
injures	0.0836298	0.0590427	0.0566356	0.0725047	0.0539319	0.0236019	0.0174116	0.0116192	0.0109885	0.00746424	0.0061753	0.00371056	0.00270153	0.00589729	0.00985428	0.0230175	0.0192771	0.0515881	0.0541703	0.0403398	0.0301524	0.0114014	0.0268319	0.0399649	0.0516665	0.0302562	0.0676507	0.0309469	0.0975673
</S>	0.119673	0.144802	0.0862201	0.0398067	0.0181	0.011273	0.00781703	0.00510975	0.00560331	0.00318932	0.00282315	0.00155451	0.00147003	0.00442865	0.00726361	0.0192748	0.0155689	0.0307727	0.027973	0.0320091	0.0320023	0.0142901	0.0340709	0.0408339	0.0651547	0.029308	0.0733306	0.0362806	0.0899961
