 	m	w	á	á	n	g	é	b	ó	m	ó	o	w	u	r	á	i	s	ú	u	l	á	p	o	o	p	é	</S>
un	0.0103348	0.0118449	0.0109207	0.00944246	0.0109361	0.0279173	0.0231717	0.0326932	0.0317814	0.044992	0.0406492	0.0419605	0.0347021	0.0650157	0.0374041	0.0442422	0.0523018	0.0494271	0.0487164	0.0626844	0.0466421	0.0629356	0.0429553	0.0372798	0.0289118	0.0289136	0.0364209	0.0248025
cri	0.115599	0.0589447	0.0968192	0.265582	0.143682	0.0505908	0.0452361	0.0389287	0.0264878	0.030579	0.00961154	0.0146559	0.0117693	0.0265377	0.012023	0.0169313	0.00454768	0.00424708	0.00258135	0.0074508	0.00127089	0.00289859	0.00290112	0.00193202	0.00283337	0.00324146	0.00127202	0.000846421
de	0.0843516	0.0505405	0.0452011	0.0506895	0.0629013	0.0432941	0.0699869	0.0386315	0.0424413	0.0286312	0.0552752	0.0326551	0.0987668	0.0486915	0.0560575	0.0458893	0.0162876	0.0160455	0.0110999	0.0141103	0.0136985	0.0136689	0.0187449	0.0140529	0.00893892	0.00585556	0.00718311	0.0063096
malheur	0.0430596	0.0263602	0.0413694	0.0500938	0.0539406	0.0424094	0.0504772	0.042541	0.0129537	0.0199829	0.0193313	0.01157	0.0359768	0.0105095	0.0345015	0.0391236	0.0397062	0.0351684	0.0283141	0.0232109	0.0799846	0.0279314	0.0417217	0.0429207	0.0316699	0.0284619	0.0422111	0.0444988
provient	0.0913931	0.0544334	0.0222503	0.0290401	0.0349331	0.0355641	0.0361875	0.0249093	0.0145317	0.0181755	0.0153152	0.0234909	0.0332646	0.0148811	0.00869145	0.0145092	0.0124363	0.00697862	0.014347	0.00783054	0.0283223	0.0140637	0.0256107	0.0372621	0.0590647	0.0883847	0.0991143	0.135014
du	0.0334633	0.0275743	0.03018	0.0239445	0.0241826	0.0291243	0.0223493	0.0208721	0.0175085	0.0201388	0.0123077	0.0157901	0.0148869	0.018155	0.00987139	0.0105104	0.0138215	0.0115626	0.0168077	0.0146424	0.0397228	0.0211757	0.0557572	0.0638617	0.0951145	0.129393	0.0898	0.117482
fond	0.0124831	0.0116843	0.00849895	0.00428076	0.00555481	0.0133501	0.0096814	0.0183461	0.0255678	0.0234048	0.0337276	0.0157974	0.032382	0.0321075	0.0376032	0.0268292	0.0401479	0.0569565	0.0355921	0.026467	0.0512078	0.0621567	0.100741	0.0595301	0.0559383	0.0617727	0.0545681	0.0836223
du	0.0733539	0.051392	0.0440224	0.0310241	0.0254519	0.0275221	0.0222774	0.019904	0.0158346	0.0202098	0.0195555	0.0197779	0.017122	0.0182585	0.0162592	0.0136803	0.038842	0.0360184	0.0287217	0.0221	0.0294443	0.0300218	0.0258839	0.0601926	0.0452491	0.0286438	0.0873392	0.131898
village	0.0631965	0.0355543	0.0242273	0.0216445	0.0227709	0.0246454	0.0137701	0.0080486	0.00566195	0.00566586	0.0109348	0.00751563	0.0121062	0.00579816	0.0071495	0.00663884	0.00889797	0.0153381	0.0214371	0.017509	0.0167131	0.029055	0.0370933	0.0583853	0.0857724	0.120141	0.134189	0.180139
</S>	0.0957944	0.0597115	0.0354276	0.0409812	0.0411018	0.0319357	0.0396352	0.0257141	0.0117787	0.011669	0.0197478	0.0110082	0.0207868	0.00955422	0.0153531	0.0180101	0.0206312	0.0188916	0.0315772	0.0125106	0.0147255	0.015114	0.0146963	0.036037	0.0389503	0.0399469	0.102487	0.166223
