 	n	g	á	l	í	i	d	z	á	e	b	v	a	l	a	y	á	b	v	i	á	</S>
je	0.0409008	0.392246	0.376223	0.121538	0.0279458	0.0153064	0.00943527	0.00252371	0.00220121	0.00217479	0.00113505	0.000728729	0.000760114	0.000707175	0.000584494	0.000646995	0.000891188	0.00101892	0.00100194	0.000710795	0.000750076	0.000570149
mange	0.0322956	0.0165608	0.0210575	0.0243891	0.0411736	0.0532301	0.0718095	0.107626	0.120391	0.119117	0.0848866	0.0964606	0.0720019	0.0248253	0.0279667	0.0278303	0.013435	0.00713273	0.00822587	0.00648801	0.00636257	0.0167341
de	0.0621503	0.0522568	0.0365753	0.0578405	0.0474659	0.039386	0.0181082	0.0207036	0.0327798	0.0524947	0.0756375	0.0474988	0.0480543	0.0475699	0.0591449	0.0513253	0.0461745	0.030014	0.0246527	0.0395312	0.0540078	0.056628
l'	0.0347695	0.0669271	0.0596238	0.0592131	0.030655	0.0165066	0.0113524	0.0105446	0.0123267	0.0221486	0.0320408	0.0365003	0.0409625	0.0494586	0.0535652	0.070193	0.0785847	0.0420228	0.0504362	0.0485729	0.071123	0.102473
oseille	0.00630947	0.00693357	0.00757022	0.00771284	0.00566901	0.00414824	0.00599427	0.0125959	0.0248994	0.0510597	0.0718829	0.0854503	0.0789726	0.0804457	0.0545769	0.0672804	0.054878	0.0548907	0.0636489	0.0563822	0.0861357	0.112563
préparée	0.0115029	0.0127622	0.0107006	0.0112958	0.00879962	0.00766539	0.00979576	0.0203209	0.0253622	0.0558753	0.0696717	0.0924619	0.0984548	0.101938	0.0608764	0.0564973	0.0495641	0.0521151	0.0498623	0.0404286	0.0624378	0.0916113
sans	0.0769038	0.0750691	0.0442713	0.045827	0.0254297	0.0149702	0.0137779	0.0248847	0.0303559	0.0431143	0.0326814	0.0368076	0.0332829	0.0252114	0.0241898	0.024784	0.0508987	0.0515818	0.056992	0.0688324	0.0928326	0.107301
assaison	0.0889822	0.0558714	0.0367365	0.0305211	0.0193582	0.0196207	0.020488	0.0142952	0.0187385	0.027124	0.0329391	0.0308682	0.0359243	0.0268163	0.0334562	0.047394	0.0735098	0.0549441	0.07058	0.0606798	0.0899918	0.111161
nement	0.0678818	0.0300772	0.0321037	0.0342357	0.035029	0.0335198	0.0287303	0.0203301	0.021835	0.0249273	0.0302052	0.0250468	0.0284256	0.0266547	0.0370535	0.0464842	0.0655029	0.0532608	0.0699345	0.0728445	0.0924086	0.123509
</S>	0.120672	0.0338696	0.0477346	0.060789	0.0664648	0.0478354	0.0378302	0.0214851	0.0235674	0.0212848	0.0200972	0.0161743	0.0155425	0.0123269	0.023494	0.0284762	0.0356712	0.0414778	0.0493565	0.0531205	0.0796783	0.143052
