 	m	ú	a	m	ú	a	m	έ	n	έ	ó	m	i	b	v	ú	n	y	a	a	k	o	b	h	á	m	ú	a	ó	b	v	ú	r	a	l	a	m	ú	a	</S>
la	0.0165342	0.0158929	0.0187258	0.0152691	0.0137816	0.0174877	0.0197353	0.0272421	0.0340564	0.0444828	0.03363	0.0472384	0.0627538	0.041331	0.0232314	0.027122	0.0158827	0.015303	0.0184555	0.018993	0.0130847	0.0191217	0.0153412	0.026477	0.0164411	0.0174429	0.0225429	0.0274654	0.0188477	0.0209358	0.0184825	0.0179033	0.0201283	0.0267659	0.0289736	0.0304472	0.0317838	0.0333036	0.0340079	0.0333548
hotte	0.0292039	0.0497127	0.15895	0.176605	0.0900332	0.081465	0.0736017	0.0414066	0.0541128	0.0431967	0.0236513	0.00262811	0.00468215	0.00918208	0.00991576	0.00899042	0.00683802	0.00362693	0.0052649	0.00483054	0.00165907	0.00180052	0.00153802	0.00314521	0.003827	0.00173752	0.00305761	0.00875376	0.00316815	0.00441	0.00949446	0.00934359	0.0156226	0.0149414	0.0100243	0.00823203	0.00865896	0.0077298	0.00261474	0.00234335
en	0.0222319	0.0154076	0.0152726	0.0125978	0.0106871	0.0125561	0.00955043	0.00530332	0.00523834	0.0055191	0.00819402	0.00729118	0.00345884	0.0123733	0.00397501	0.00533606	0.0251412	0.0316638	0.0312038	0.0223609	0.0299084	0.041073	0.0484957	0.040143	0.0357936	0.0443326	0.0343473	0.0311054	0.0818487	0.0361618	0.033238	0.0397811	0.0487386	0.0468885	0.0313807	0.0256777	0.0274695	0.02691	0.0241026	0.00724143
question	0.0515849	0.0573394	0.0499591	0.0527388	0.0531092	0.0555198	0.0452818	0.0395995	0.046043	0.0448328	0.042497	0.0249814	0.0145336	0.033227	0.0256005	0.0159646	0.0200271	0.0213314	0.0173962	0.0200855	0.0231804	0.0216732	0.0193986	0.0193785	0.0182648	0.0122122	0.00821021	0.00912646	0.0133128	0.0082076	0.00731544	0.0136385	0.0107415	0.0101976	0.00791891	0.00844891	0.0130091	0.0112073	0.0087989	0.0241064
est	0.0288587	0.0219891	0.0186328	0.0219004	0.0210775	0.0153783	0.0131898	0.0152627	0.0168206	0.0196098	0.0256535	0.0174347	0.0164175	0.0278974	0.0394401	0.0363236	0.049028	0.0502347	0.0425474	0.0448816	0.0450184	0.0234984	0.0329942	0.0301921	0.0487332	0.0259197	0.0260813	0.0229984	0.0291859	0.0213913	0.0142252	0.020974	0.0166281	0.0158545	0.0160811	0.00911447	0.00976404	0.0121754	0.00972559	0.0268665
cassé	0.0189898	0.0167942	0.0248836	0.0277839	0.0255807	0.0217383	0.0162346	0.0152007	0.0113411	0.0143962	0.0122608	0.00773734	0.0130255	0.0175324	0.0425769	0.0216692	0.0161616	0.0121806	0.0144595	0.0285235	0.0180451	0.0167631	0.0170662	0.0279271	0.0372551	0.0237743	0.0330506	0.0440356	0.0450434	0.0375041	0.0394514	0.0425476	0.0382305	0.0323144	0.0424262	0.0308588	0.03058	0.0297504	0.0148242	0.0194812
prends-la	0.0220886	0.0224048	0.025959	0.0384894	0.038377	0.024026	0.0248471	0.025099	0.0227738	0.0193487	0.0215075	0.0150921	0.0180591	0.0285594	0.0278529	0.0179196	0.0247392	0.0207873	0.0331159	0.0460363	0.0318142	0.0326129	0.0321535	0.0387932	0.0401855	0.0289849	0.0372039	0.0323509	0.0339264	0.0149762	0.0108193	0.0136907	0.0131164	0.016174	0.0182912	0.0163053	0.0155332	0.0217441	0.015734	0.0185076
et	0.0720975	0.0353021	0.0231076	0.0183203	0.014208	0.00668111	0.00627103	0.00646012	0.00548317	0.00667729	0.0141032	0.00986364	0.00995425	0.0151053	0.0164216	0.022592	0.0325531	0.0305706	0.0400305	0.0414099	0.0387299	0.0451198	0.0488629	0.0539037	0.0655378	0.0431307	0.0593834	0.041946	0.0257264	0.0167576	0.00805143	0.0108098	0.00888177	0.00823836	0.0112209	0.00804053	0.00894301	0.0190339	0.0131599	0.0373099
ramène-la	0.0395097	0.0240627	0.0160804	0.0131224	0.0109198	0.00559201	0.00497404	0.00513355	0.00552527	0.00956835	0.0237591	0.0183315	0.0173548	0.0134823	0.0138013	0.0181428	0.0284476	0.0188803	0.044614	0.0294825	0.0353793	0.038564	0.033929	0.0446634	0.0482155	0.0306027	0.0489089	0.0404486	0.0230222	0.0296811	0.0183228	0.0205724	0.0175815	0.0121433	0.0176789	0.0167382	0.0218522	0.0339158	0.0265899	0.0804058
</S>	0.0241441	0.0165118	0.0148595	0.0137078	0.0130719	0.00875796	0.00762963	0.00744504	0.00561969	0.00802442	0.0127089	0.0108922	0.0126601	0.00790511	0.00763562	0.0099352	0.0182522	0.018332	0.031392	0.0376031	0.0444602	0.0451357	0.0372994	0.0470826	0.052087	0.0403459	0.0382681	0.0370748	0.0359145	0.0327439	0.0217293	0.0258368	0.0245086	0.0192971	0.0242463	0.0259173	0.0353159	0.0382422	0.0278052	0.0596012
