 	n	g	á	í	k	i	i	s	a	o	b	v	á	f	u	l	ú	s	á	k	ú	k	u	t	s	í	n	a	í	d	i	i	a	b	v	ú	r	u	</S>
j'	0.106009	0.262923	0.146895	0.1179	0.0431714	0.0119182	0.00709534	0.00753868	0.00959536	0.0114949	0.0128357	0.0143876	0.0151007	0.011469	0.00797534	0.00855662	0.00933325	0.00858897	0.00895456	0.00784575	0.00801982	0.00848849	0.00878938	0.00968287	0.00897987	0.010009	0.00935555	0.0105996	0.00772088	0.00892209	0.00829715	0.00855046	0.0094207	0.00948639	0.00805146	0.00848108	0.00839873	0.00948888	0.00966993
ai	0.0566167	0.0523423	0.0599503	0.0382704	0.0174258	0.0284858	0.0640813	0.0748354	0.070578	0.0691652	0.06664	0.0634435	0.0484841	0.0354365	0.0267501	0.0230527	0.0175926	0.0227759	0.0148988	0.0128651	0.0138208	0.0191135	0.00753819	0.00676672	0.00865117	0.00841753	0.00161801	0.00178901	0.00605587	0.0082235	0.0052854	0.00240696	0.00538326	0.00260482	0.0026273	0.00473591	0.00617833	0.00920209	0.0158909
fini	0.0238138	0.0214716	0.00857485	0.0103609	0.0124438	0.0177288	0.0157478	0.026053	0.0256022	0.0298756	0.0342996	0.0399901	0.0348101	0.0450287	0.0447796	0.0509294	0.0430857	0.0341839	0.044303	0.0315085	0.0244764	0.0284575	0.0205998	0.0235805	0.0200959	0.0182276	0.0129692	0.0116393	0.0114455	0.0124443	0.0117091	0.0137252	0.0177106	0.0153908	0.0352697	0.0314357	0.0327797	0.0318386	0.0316134
par	0.0264562	0.0155679	0.0107721	0.00768314	0.012524	0.0180476	0.0127112	0.0112264	0.0150333	0.0190511	0.0163563	0.0233403	0.0157497	0.0174786	0.0188765	0.0210721	0.0237632	0.024797	0.0322857	0.0323026	0.0492294	0.0425615	0.0468456	0.0457046	0.033962	0.0369087	0.0295988	0.0281465	0.0172978	0.0203327	0.0172303	0.0244304	0.0242329	0.034211	0.0420528	0.0330061	0.0352138	0.0348232	0.0291168
dormir	0.0114412	0.0104469	0.00734994	0.0148943	0.017525	0.0192916	0.0147135	0.0222555	0.0202489	0.022888	0.0191204	0.0263363	0.0184461	0.0142795	0.0159742	0.0173255	0.0175507	0.0225508	0.0221507	0.0287452	0.0349036	0.0414476	0.0335859	0.0281554	0.0336723	0.0244955	0.0235722	0.028395	0.0228534	0.0225171	0.0217019	0.0303585	0.0336186	0.0353628	0.0411756	0.0388077	0.0471888	0.0432729	0.0513808
dans	0.00874475	0.00397231	0.00318408	0.00595011	0.01261	0.0169414	0.0144945	0.0143276	0.0146909	0.0260291	0.0154341	0.0248468	0.0202614	0.0169748	0.0228946	0.0268637	0.0288127	0.0377809	0.0369888	0.0349345	0.032776	0.0324335	0.0325376	0.0264096	0.0347184	0.0215602	0.0284441	0.0288734	0.0238744	0.0250357	0.0215153	0.0341728	0.0291178	0.0352198	0.0345975	0.0389963	0.0430474	0.0403842	0.0495489
la	0.0181108	0.0111104	0.00556518	0.00736414	0.0127124	0.0193681	0.0177257	0.018499	0.0181554	0.0200305	0.0175571	0.021791	0.0207053	0.0193979	0.0387946	0.0435032	0.0625772	0.072901	0.0495568	0.0566988	0.0329191	0.0442628	0.0419037	0.0314846	0.0331658	0.0195264	0.0173742	0.016538	0.0129163	0.00935918	0.00893953	0.0130272	0.0109807	0.0116971	0.017025	0.0163447	0.0197107	0.0295919	0.0611088
cuisine	0.0112515	0.00600111	0.00506401	0.00517437	0.00510232	0.0103001	0.00937935	0.00592272	0.0114922	0.0184032	0.0168857	0.0226435	0.0275149	0.030433	0.0299448	0.022601	0.0208875	0.0316489	0.0280657	0.0256635	0.0314869	0.0287447	0.0273248	0.0243216	0.023816	0.025614	0.0188988	0.0275886	0.0302293	0.029752	0.0275167	0.0185967	0.0341818	0.0235345	0.0243634	0.0571801	0.0489522	0.058457	0.0950616
puisque	0.0236859	0.0127961	0.00705845	0.00801992	0.00692331	0.00659251	0.00519883	0.0068923	0.00848722	0.00964108	0.0115428	0.0152125	0.0129316	0.0142883	0.0216957	0.0247061	0.0317781	0.0357718	0.036368	0.0367799	0.0369878	0.0348395	0.0352987	0.0291833	0.0275955	0.0332329	0.026364	0.01783	0.0168211	0.0200947	0.0180012	0.01694	0.0347454	0.0287518	0.0290786	0.0403978	0.0524589	0.0721569	0.0928514
j'	0.0728393	0.0246875	0.0101878	0.00983441	0.0177218	0.0268412	0.0303638	0.0232692	0.023456	0.0296679	0.0246736	0.0267868	0.0224778	0.0280271	0.0379266	0.0412736	0.046192	0.0434572	0.0503071	0.0475068	0.0224092	0.0188085	0.0199686	0.0191659	0.0200325	0.0222919	0.0106258	0.00694347	0.0178424	0.0190496	0.0124118	0.0084355	0.0163849	0.0111396	0.0151667	0.0196849	0.0245265	0.027954	0.0496606
ai	0.0757072	0.0369181	0.0252125	0.0237703	0.0157865	0.012613	0.0112694	0.0127529	0.0133485	0.0126028	0.0158376	0.0219204	0.0199835	0.0207711	0.0248085	0.0311033	0.0298953	0.030557	0.0464696	0.0275483	0.0196056	0.0119505	0.0136857	0.0137357	0.0161736	0.0151922	0.0144363	0.0126832	0.0114546	0.0208522	0.0160613	0.0177716	0.0285628	0.0270509	0.031689	0.0419783	0.0435051	0.0632374	0.0714983
reçu	0.0807711	0.034547	0.0292951	0.0257687	0.02046	0.0244348	0.0221097	0.0253208	0.0391123	0.0305859	0.0415072	0.0466139	0.0466512	0.0472695	0.0364868	0.0356755	0.0258963	0.0204618	0.0277391	0.0189908	0.0135088	0.00893341	0.0094631	0.00912578	0.0107089	0.0141922	0.00860307	0.00841273	0.0115143	0.0145526	0.0143665	0.0140116	0.0180447	0.0178435	0.0158948	0.0239636	0.0217906	0.035738	0.0496343
des	0.0370105	0.0180395	0.0193769	0.0184268	0.0417958	0.0605424	0.0365894	0.0265154	0.028573	0.0171608	0.0159609	0.0340959	0.0195299	0.0192372	0.026446	0.0419848	0.033633	0.0213388	0.022479	0.0170075	0.0208515	0.0138993	0.0185141	0.0173195	0.0194742	0.0163934	0.0192528	0.0186206	0.0183703	0.0192314	0.0181406	0.020167	0.0211638	0.0214967	0.0253404	0.0260697	0.0317247	0.0349803	0.0632463
visiteurs	0.0603126	0.0297187	0.0259975	0.0187857	0.012924	0.019017	0.0144394	0.014317	0.0236364	0.0200732	0.0247815	0.0455869	0.0362457	0.0290358	0.0252864	0.0303944	0.0247205	0.0227928	0.0278923	0.0182202	0.0178236	0.0138765	0.0121115	0.0109843	0.0130941	0.014272	0.0122881	0.0116202	0.0114056	0.0163234	0.0146695	0.0155199	0.0234762	0.0207591	0.0221353	0.0374994	0.036283	0.0602498	0.111431
</S>	0.0929747	0.0324087	0.0273482	0.0226181	0.0222173	0.0274277	0.0181896	0.0148983	0.018796	0.0145591	0.0141605	0.0218298	0.0167049	0.017925	0.0208895	0.0292435	0.0255155	0.0217206	0.0321731	0.0217841	0.020825	0.013933	0.0144449	0.0135998	0.0143234	0.0160758	0.0161357	0.0130782	0.0129423	0.0196313	0.0165393	0.0184037	0.0240913	0.0251357	0.024404	0.0321912	0.0349253	0.059845	0.0960909
