 	a	m	b	ω	r	i	á	w	o	l	i	s	i	w	a	s	á	n	y	ώ	l	i	t	s	í	n	a	w	a	á	p	ώ	s	i	i	m	w	á	n	a	o	y	ú	r	u	</S>
les	0.166315	0.0813362	0.119216	0.0288559	0.084412	0.0475375	0.0161137	0.0367167	0.0269877	0.0194993	0.0100623	0.0195569	0.00912586	0.0105736	0.0167765	0.0149292	0.0187216	0.00985475	0.0140058	0.0115507	0.00803941	0.0043419	0.00901807	0.00586313	0.00325086	0.00472868	0.00530663	0.00358639	0.00477315	0.00434068	0.00765971	0.00667775	0.0083179	0.00890178	0.00648766	0.0088137	0.0124441	0.00835433	0.0110629	0.0177138	0.0209424	0.0205917	0.0162483	0.0115039	0.00988822	0.00899506
soldats	0.0270553	0.0472342	0.032227	0.0558495	0.0406945	0.0509427	0.0752346	0.0400229	0.03532	0.0170716	0.0310442	0.0380836	0.0193679	0.0432791	0.0112351	0.00627684	0.00601046	0.0107132	0.00555063	0.00140626	0.0108278	0.00174661	0.00550502	0.00560417	0.00629859	0.00565108	0.00863612	0.0167347	0.0123966	0.0197061	0.0215534	0.025714	0.00937102	0.0263021	0.0243258	0.00794141	0.0312534	0.0178063	0.0120403	0.0319562	0.0199073	0.0155499	0.0244636	0.0203885	0.0164769	0.00722372
l'	0.0501644	0.049225	0.0331453	0.0260244	0.0308384	0.0507893	0.0385904	0.0606728	0.0707476	0.0458822	0.0221057	0.0199688	0.0447464	0.0238176	0.0254724	0.0199176	0.0263749	0.0176964	0.0182468	0.0155536	0.016508	0.00838865	0.0110608	0.00910261	0.00828004	0.00559697	0.00684725	0.0159661	0.00416296	0.0115364	0.0070441	0.01658	0.00884672	0.010782	0.0135902	0.00449646	0.021181	0.0124722	0.0100719	0.019163	0.0172529	0.0209621	0.0174263	0.0173299	0.00879141	0.00658003
ont	0.0151173	0.0218323	0.0193522	0.0237801	0.019371	0.0235741	0.0284651	0.0260257	0.0476852	0.0247407	0.0295357	0.0113904	0.0149089	0.0127866	0.0205558	0.0262892	0.0179963	0.0429439	0.0227391	0.020916	0.0320213	0.0206456	0.0213683	0.0235083	0.0179952	0.029386	0.0316655	0.0229753	0.0237502	0.0206545	0.0291858	0.020464	0.0318768	0.0180004	0.0197531	0.022266	0.0122138	0.0142764	0.00801626	0.0108527	0.0120105	0.0166916	0.00942915	0.0190426	0.0191894	0.0227556
fait	0.00893016	0.0143513	0.0118291	0.0171369	0.0153515	0.0203059	0.0297859	0.0263651	0.036477	0.033725	0.0271284	0.0167922	0.0175307	0.021158	0.0137993	0.0142777	0.0176897	0.0202226	0.0216307	0.0226397	0.0288354	0.02801	0.0272871	0.0303415	0.0329519	0.0303694	0.0343316	0.0270361	0.0265952	0.0294827	0.0299073	0.0187247	0.0305563	0.0239689	0.0165853	0.0212129	0.00988708	0.0150162	0.00938026	0.0101456	0.0154	0.013255	0.0102651	0.0155951	0.0185416	0.039191
souffrir	0.00961595	0.0105032	0.00869019	0.011187	0.0137399	0.0154036	0.0209233	0.0266221	0.0274574	0.0262998	0.0238644	0.0388958	0.0308257	0.0418875	0.0263628	0.0169381	0.0228101	0.0222796	0.0199589	0.0280407	0.0252125	0.0277147	0.0152991	0.0207569	0.0264656	0.0176164	0.0258955	0.0206994	0.0190121	0.0196263	0.0213559	0.0268571	0.0261861	0.0368847	0.0371182	0.0162041	0.0189203	0.0117032	0.016974	0.0164329	0.0175163	0.0174826	0.0147545	0.0175074	0.020584	0.022914
dans	0.00549525	0.00739502	0.00719316	0.00902725	0.00875622	0.00943402	0.01088	0.0116273	0.0129089	0.0108058	0.00972176	0.0188652	0.0125185	0.0144748	0.0111417	0.0137712	0.0145128	0.0195448	0.0223904	0.0293527	0.0257104	0.0436597	0.030396	0.0464745	0.0351577	0.0357598	0.0310435	0.0512378	0.0348992	0.0429833	0.0202589	0.0275448	0.0186235	0.0173507	0.0193482	0.0212567	0.0263778	0.0213709	0.0223756	0.0209027	0.023547	0.0240904	0.0233584	0.0252558	0.0233204	0.0278796
la	0.00929527	0.00852421	0.00871947	0.0123653	0.0147235	0.0147098	0.00801167	0.0139031	0.00697233	0.00713137	0.00673805	0.0123812	0.0148161	0.0225758	0.0179852	0.0164504	0.0126361	0.0185691	0.0198266	0.033757	0.021473	0.0635231	0.0304789	0.0461462	0.0436555	0.0346085	0.0352471	0.0328032	0.030069	0.0314044	0.0162167	0.0242573	0.0205945	0.0130422	0.0162205	0.0218024	0.0123951	0.0276112	0.0170328	0.0271404	0.0305299	0.0151827	0.0205736	0.0273264	0.0236337	0.0369402
prison	0.0103717	0.00768986	0.00714849	0.00708778	0.0101116	0.0144717	0.00907561	0.00942958	0.0100008	0.00882175	0.00916944	0.00902417	0.0102821	0.0123252	0.0135976	0.0114144	0.011486	0.0159338	0.0120926	0.0201691	0.0229742	0.0297934	0.020554	0.0428997	0.0378934	0.0465883	0.0260986	0.032709	0.0445235	0.0328424	0.0307461	0.0211284	0.0160203	0.00839801	0.00783602	0.0207586	0.0100561	0.0113615	0.00671822	0.0186143	0.0161405	0.0281358	0.0228949	0.0431482	0.0626462	0.118817
parce	0.0093876	0.00961073	0.011348	0.0138033	0.0133365	0.0133668	0.0130997	0.0114897	0.0077897	0.00744889	0.00781306	0.0126826	0.0110796	0.0137132	0.0137706	0.0106781	0.00947383	0.016092	0.0109571	0.0219608	0.0188813	0.0375043	0.020038	0.0424621	0.0381865	0.0433687	0.0214033	0.0215155	0.0394255	0.0375746	0.0348417	0.0215356	0.0175882	0.00590468	0.00810104	0.0267278	0.0127304	0.0161857	0.008362	0.0190993	0.0137039	0.0228186	0.0205176	0.0387847	0.0505461	0.123291
