 	d	í	i	l	á	n	g	á	k	a	á	l	á	n	ω	</S>
ce	0.00737719	0.00936566	0.0112122	0.0221595	0.0236846	0.0816009	0.0918934	0.0727021	0.079739	0.083925	0.11991	0.13056	0.116358	0.098671	0.0335326	0.0173089
n'	0.135244	0.171453	0.18496	0.110395	0.0646615	0.0781552	0.0361143	0.0373157	0.0413633	0.0672786	0.0354002	0.0187618	0.00729542	0.00462713	0.00392197	0.00305254
est	0.0722439	0.0941047	0.111308	0.0738412	0.0524548	0.0470927	0.0563921	0.0789911	0.0676852	0.148889	0.0568992	0.0635157	0.0202405	0.0196081	0.0198293	0.0169045
pas	0.103249	0.115893	0.0859681	0.0568689	0.0598706	0.0550161	0.0449662	0.0473733	0.0235571	0.0282023	0.0287312	0.056063	0.063209	0.0560247	0.0685487	0.106458
mon	0.0335404	0.0383115	0.0190298	0.0173631	0.0162896	0.0114767	0.00921278	0.0141794	0.0107253	0.0405826	0.0274497	0.0609263	0.103323	0.142695	0.184129	0.270765
affaire	0.0538336	0.0522888	0.0484111	0.047803	0.0469848	0.0417606	0.0320613	0.0293939	0.0271711	0.0574523	0.0502099	0.0785234	0.0765561	0.0797457	0.0888731	0.188931
c'	0.0773926	0.0683075	0.0587117	0.0565876	0.0560535	0.0547232	0.0240581	0.0176608	0.0139457	0.0213587	0.0219685	0.0324398	0.082154	0.078114	0.17254	0.163985
est	0.080989	0.0796378	0.0853479	0.0805049	0.0737616	0.0633453	0.0447614	0.043253	0.0194098	0.0227666	0.0143143	0.0276766	0.0418698	0.0611539	0.0956715	0.165536
ton	0.142249	0.097196	0.0895345	0.0738323	0.061107	0.0425708	0.0258262	0.0320449	0.0273654	0.0422468	0.0431854	0.0569395	0.0371552	0.0645713	0.0628987	0.101277
affaire	0.124646	0.0851978	0.122324	0.0934398	0.0753525	0.0603894	0.0277453	0.0236921	0.00712693	0.0109801	0.00702682	0.00839425	0.0505602	0.0601845	0.0974764	0.145464
</S>	0.241803	0.135801	0.144404	0.0546684	0.0392804	0.0236484	0.0151955	0.0123805	0.00782488	0.00961519	0.0064169	0.00566225	0.0176637	0.032173	0.0993986	0.154065
