 	m	w	á	s	í	y	a	m	w	ε	n	έ	a	d	í	l	o	y	ε	s	i	m	í	k	á	n	d	á	</S>
la	0.00499952	0.00432626	0.00599416	0.00342354	0.00165717	0.00417949	0.00229571	0.0167274	0.0108036	0.0385123	0.0461921	0.0457461	0.0978905	0.126496	0.113173	0.0604598	0.0734289	0.0426901	0.0698927	0.04751	0.0273729	0.0182167	0.0210408	0.0224095	0.0200021	0.0177733	0.0197641	0.011219	0.0258029
femme	0.0467535	0.0862831	0.131428	0.101819	0.10655	0.140772	0.0945127	0.0451684	0.0926174	0.0151067	0.00562953	0.00678863	0.00270368	0.00346323	0.00739877	0.00667734	0.00551285	0.0107601	0.0116972	0.00936799	0.0123212	0.0125498	0.00709071	0.0116638	0.00890652	0.00954114	0.00459689	0.00083565	0.00148468
du	0.0208194	0.0427161	0.0505556	0.0524832	0.0719309	0.0573723	0.0354635	0.0265458	0.0558219	0.0312054	0.0451292	0.0588299	0.0622537	0.0708244	0.0462001	0.0371698	0.017496	0.0360742	0.0301103	0.0280483	0.0185756	0.0152813	0.0182226	0.0120617	0.0115414	0.0192935	0.0107973	0.00983447	0.00734203
chef	0.00720554	0.00776662	0.00772599	0.00926413	0.0105808	0.0104293	0.0187409	0.025467	0.0591984	0.0779714	0.100358	0.131316	0.151381	0.0883586	0.0499434	0.0361746	0.0317814	0.0383162	0.034869	0.014848	0.0127236	0.0064826	0.00792815	0.00403403	0.0043017	0.00850693	0.0105391	0.0115963	0.0221905
coutumier	0.0537806	0.0145297	0.0135329	0.012546	0.00783999	0.00623733	0.00983333	0.009734	0.0116638	0.0249786	0.0348189	0.0419918	0.0508896	0.0354507	0.0378852	0.0432781	0.0373829	0.0433705	0.0476763	0.0558743	0.0618046	0.0474175	0.0453833	0.0278239	0.0354692	0.0592599	0.0371287	0.0371885	0.0552298
prend	0.065127	0.0345815	0.026	0.0232351	0.0228239	0.0108217	0.0121727	0.0117438	0.0117108	0.0202283	0.0249474	0.0241325	0.0231528	0.020426	0.0138613	0.0174458	0.0152826	0.019182	0.0172021	0.0230251	0.0555289	0.0699301	0.0837705	0.046836	0.0415902	0.0489136	0.0575466	0.0681861	0.0905954
soin	0.0646071	0.0427422	0.0407905	0.0332075	0.0254679	0.0342325	0.0289636	0.0205007	0.022903	0.0187223	0.0142461	0.0100504	0.00970335	0.00877719	0.0107938	0.0160543	0.0155039	0.0145814	0.0134787	0.0170109	0.0306341	0.0767594	0.0696171	0.0429182	0.0460502	0.0532763	0.0649573	0.0421288	0.111321
de	0.067892	0.0478893	0.0470592	0.0578609	0.0698856	0.0336559	0.033378	0.0242297	0.0317458	0.0293345	0.0199636	0.0115179	0.00986523	0.00819465	0.00646033	0.00724812	0.00853253	0.00652388	0.0049408	0.00631571	0.0199731	0.048599	0.0572646	0.0296104	0.0392048	0.0414907	0.0355823	0.0652506	0.130531
ses	0.137694	0.0749642	0.064467	0.057805	0.0348027	0.0218356	0.0121055	0.0136112	0.00979419	0.0110237	0.014295	0.00836215	0.0063354	0.00865339	0.0111719	0.0182291	0.0193941	0.0111505	0.00710208	0.00657703	0.0133014	0.035148	0.0253958	0.0424329	0.0668236	0.0475712	0.0585533	0.0612564	0.100144
habits	0.0685373	0.0699853	0.0589359	0.0608116	0.0389004	0.0221655	0.0133377	0.0175907	0.0125712	0.0165843	0.0159034	0.0104331	0.0104116	0.0138434	0.0160281	0.0246218	0.0225756	0.0185299	0.0105057	0.0111411	0.0194636	0.0329096	0.0339051	0.0396	0.0570591	0.0466305	0.0775873	0.0647742	0.0946571
</S>	0.134539	0.104286	0.100866	0.0932127	0.0539365	0.0325889	0.0180544	0.0289286	0.0177034	0.0200154	0.0186929	0.0093886	0.00534185	0.00771593	0.00964034	0.0151736	0.0123812	0.00635699	0.00445524	0.00445899	0.010732	0.0218606	0.0312034	0.0355549	0.0387391	0.029155	0.027802	0.0344295	0.0727868
