 	n	y	ω	s	í	b	ó	l	á	a	b	ω	n	g	ώ	d	z	ú	m	b	u	</S>
l'	0.00980175	0.0084807	0.00701016	0.00615654	0.00764262	0.0162985	0.0234112	0.0674672	0.0840213	0.145062	0.18925	0.131522	0.09488	0.0496456	0.0330148	0.0237736	0.0135769	0.0112451	0.0111447	0.0179911	0.0211967	0.0274064
oiseau	0.129433	0.279131	0.211952	0.0728194	0.0582412	0.0267114	0.0593208	0.0779276	0.03694	0.0250711	0.00955643	0.00495892	0.00102445	0.000674844	0.000730521	0.000688322	0.000728723	0.000588426	0.00102246	0.00120425	0.000775642	0.000498799
est	0.0325671	0.0482972	0.0533168	0.0341497	0.0732656	0.197015	0.183144	0.15382	0.0939981	0.0464185	0.0185691	0.0111114	0.0066241	0.00689834	0.00691808	0.00753906	0.00592215	0.00403079	0.00364259	0.00373004	0.00524606	0.0037762
en	0.0717023	0.058969	0.0946142	0.16006	0.158084	0.0930757	0.0458248	0.0164282	0.010301	0.00990269	0.00454304	0.0045835	0.00643474	0.011276	0.0136607	0.0268869	0.0321231	0.0314112	0.0293404	0.0320978	0.0463013	0.0423797
train	0.102419	0.104721	0.0646055	0.0508728	0.048283	0.0486395	0.0553698	0.0331444	0.0209423	0.0159661	0.0132333	0.0205148	0.0264621	0.029903	0.0286014	0.0344689	0.0376446	0.0372162	0.0400338	0.0428798	0.0714622	0.072617
de	0.170506	0.1524	0.0670273	0.0507394	0.0313856	0.0296361	0.0316399	0.0493103	0.0317986	0.0378082	0.0626035	0.0253006	0.0283187	0.0111027	0.00694781	0.00617805	0.00603286	0.00726738	0.0109386	0.0194778	0.02123	0.142351
faire	0.0897842	0.109764	0.0913515	0.0806055	0.0950718	0.0708375	0.0384119	0.0166813	0.00877164	0.0089548	0.0130531	0.0209417	0.0291164	0.0434999	0.0418605	0.0428758	0.0342188	0.0290385	0.0311156	0.0289769	0.0286072	0.0464619
son	0.0849288	0.0577457	0.062073	0.0849051	0.0898032	0.0856135	0.0301402	0.0164237	0.00928246	0.00781592	0.00446776	0.00514792	0.00741641	0.012685	0.0157532	0.0272084	0.0280739	0.0343951	0.0474769	0.0470887	0.0559614	0.185594
nid	0.0963163	0.0645568	0.0365884	0.0315403	0.0198538	0.028042	0.00755004	0.0057446	0.00740479	0.00504826	0.00268838	0.00414434	0.00659364	0.0180335	0.0397937	0.0499971	0.0588679	0.0723016	0.0707291	0.0803655	0.106135	0.187705
</S>	0.0622013	0.0514476	0.0472852	0.047059	0.0459751	0.0651193	0.0240193	0.017948	0.0146484	0.0102836	0.0044122	0.00332024	0.00307167	0.00634012	0.0147645	0.0261406	0.0428289	0.0564992	0.0620524	0.0743714	0.0963063	0.223906
