 	n	g	á	í	t	i	i	l	a	w	a	n	d	z	á	á	w	a	á	t	ó	n	i	o	k	a	s	i	l	á	l	a	n	g	á	</S>
je	0.20814	0.183398	0.145659	0.113552	0.0891581	0.0138805	0.0049221	0.00355506	0.00375536	0.00423266	0.0072824	0.0114092	0.0164658	0.0133308	0.0131859	0.0200893	0.0175842	0.00903651	0.00490874	0.00630025	0.00494937	0.00891553	0.00234421	0.00842817	0.00772993	0.00699601	0.00558227	0.00636131	0.00595701	0.00656157	0.00728256	0.00718522	0.00800125	0.00776478	0.00791476	0.00818095
lui	0.0461687	0.0220603	0.0126849	0.00610428	0.00767308	0.0108103	0.0173198	0.0412474	0.0847075	0.0543381	0.070064	0.0783762	0.0628366	0.0324171	0.0201603	0.0180294	0.0120557	0.00599163	0.0085861	0.0114709	0.0187402	0.0185658	0.0253552	0.0291528	0.0254526	0.0184383	0.0289753	0.0321602	0.0282089	0.0313898	0.0223796	0.0254379	0.0118245	0.00955549	0.0356035	0.0156575
ai	0.0989717	0.0704378	0.0332445	0.0492795	0.0691874	0.0797854	0.0502064	0.0356328	0.0320544	0.0215543	0.0111968	0.021312	0.0246237	0.0199287	0.0367058	0.0290661	0.0229403	0.0133187	0.0284153	0.0208531	0.0136368	0.0293838	0.0301431	0.0163956	0.00609209	0.0061557	0.00840178	0.00819924	0.00695275	0.0127783	0.0118684	0.0127278	0.0173988	0.0136933	0.0198608	0.0175969
parlé	0.0588606	0.0342975	0.0273726	0.143755	0.146005	0.124406	0.129319	0.0376509	0.0292553	0.0133907	0.00374357	0.00682602	0.00630162	0.00791729	0.0114001	0.0114527	0.00589382	0.0068448	0.00775444	0.00779511	0.0076527	0.0151418	0.0132536	0.0137153	0.00784308	0.00831615	0.00677427	0.00734563	0.00556586	0.00908644	0.00815219	0.0153744	0.0106664	0.0117982	0.0162365	0.0228346
mais	0.014251	0.00735017	0.00748464	0.0254708	0.0256194	0.0285478	0.0932804	0.0445195	0.0412665	0.0165865	0.0105399	0.0102377	0.00505999	0.00613639	0.00626494	0.00652771	0.00584081	0.00730129	0.0142974	0.0173865	0.0241867	0.0297023	0.0289791	0.0392971	0.0379339	0.0218033	0.0289896	0.0321825	0.0263425	0.030308	0.0260127	0.035401	0.042485	0.0598793	0.0438165	0.0987112
il	0.0151152	0.0153991	0.00993194	0.0113543	0.0107039	0.022657	0.0573933	0.0866351	0.0373433	0.0211872	0.0182165	0.0266775	0.00902171	0.00527593	0.00630673	0.00512899	0.00456758	0.00588532	0.00876461	0.0190734	0.0250685	0.0217266	0.0226603	0.0501346	0.0523152	0.0229665	0.0368436	0.0297756	0.0296766	0.0288655	0.0322761	0.0294285	0.0378071	0.0628783	0.0398871	0.0810513
a	0.0180051	0.00791441	0.00592399	0.00834822	0.00813661	0.0250195	0.0477907	0.0531473	0.0465346	0.0324834	0.0312547	0.0353595	0.0283127	0.0123943	0.0100822	0.0131347	0.00879095	0.0090587	0.012949	0.0155613	0.013233	0.0151713	0.0131315	0.0200788	0.0365984	0.0288751	0.0380346	0.0371855	0.0303522	0.0369379	0.0431051	0.0337674	0.0453949	0.0463063	0.053575	0.0780512
refusé	0.022089	0.0156375	0.0132173	0.0152596	0.0158488	0.0184422	0.0266733	0.0253268	0.0300981	0.0276667	0.0278281	0.0285659	0.0269388	0.0208701	0.0154465	0.0175243	0.0138821	0.016313	0.0132134	0.0193085	0.0182309	0.0173828	0.0114286	0.0194043	0.029286	0.0258382	0.0357408	0.0418512	0.0373197	0.0401898	0.0449407	0.0489712	0.0496961	0.0545377	0.0553548	0.0596773
de	0.0980627	0.0387546	0.0401139	0.0451069	0.042935	0.0292325	0.0221031	0.0264586	0.0341068	0.0233027	0.0126277	0.0110069	0.00862537	0.0122211	0.00617367	0.0103167	0.00820373	0.00757545	0.0184571	0.0197012	0.0123985	0.0219163	0.0116234	0.0172532	0.0270596	0.0259684	0.0203886	0.0257022	0.0222582	0.0220187	0.023939	0.0376401	0.029109	0.0430709	0.0490436	0.0955245
me	0.0556301	0.0354249	0.0235838	0.0243401	0.0284267	0.0241946	0.0241983	0.0141108	0.0196502	0.0138909	0.0100234	0.0142221	0.0150326	0.0148152	0.010087	0.0147993	0.01204	0.0127607	0.0133007	0.019561	0.0107307	0.0233737	0.0102145	0.0197415	0.0234065	0.0230225	0.0296192	0.0450212	0.0294647	0.0371793	0.0464647	0.0619944	0.0527514	0.0532134	0.0654906	0.068219
répondre	0.0552648	0.0318067	0.0288301	0.0313995	0.0308125	0.0271399	0.0316998	0.0222076	0.0287274	0.0224473	0.0117726	0.0254394	0.0211007	0.0138971	0.012469	0.0156319	0.0126473	0.0119337	0.0223846	0.026964	0.0142138	0.0242604	0.0131802	0.0209138	0.0114037	0.0126546	0.0205708	0.026549	0.0142286	0.0265002	0.0302116	0.0469396	0.0381991	0.0518153	0.0838447	0.0799388
</S>	0.0796355	0.0383558	0.0440523	0.102206	0.109293	0.105794	0.109317	0.04983	0.0509089	0.0189302	0.00348405	0.00819276	0.00727738	0.00352797	0.00306066	0.00367871	0.00430199	0.00554096	0.0147241	0.0107233	0.0039519	0.0080442	0.00410524	0.00537603	0.00508515	0.009025	0.0132522	0.0131825	0.0100075	0.013009	0.0134741	0.0389622	0.0101806	0.0156823	0.0244871	0.0393403
