 	e	f	u	n	g	u	l	ú	y	é	é	f	u	n	g	á	w	a	l	o	t	í	m	á	i	b	é	á	y	é	a	d	í	o	d	z	w	á	o	s	í	á	k	a	á	</S>
avec	0.00903928	0.0119487	0.0183167	0.0210609	0.0189233	0.0202849	0.0201011	0.0240629	0.025949	0.0214213	0.0163894	0.0268568	0.0390846	0.0385044	0.0422776	0.0245884	0.0275666	0.027933	0.0235511	0.0326391	0.0448635	0.0391265	0.0475973	0.0453613	0.0170169	0.0198162	0.020422	0.00754121	0.00657686	0.00640238	0.00589553	0.0052278	0.00611183	0.00923859	0.00494413	0.0075948	0.00521886	0.00538039	0.0152389	0.0142005	0.0279909	0.0357962	0.0366449	0.0223425	0.0294507	0.0235002
la	0.0870479	0.0540127	0.0245464	0.0150634	0.0164008	0.0168461	0.0142519	0.0117204	0.0123131	0.0176844	0.0256376	0.0386345	0.0854065	0.034881	0.02327	0.0495607	0.0160177	0.0299135	0.0239145	0.0133428	0.0430426	0.0259797	0.0372293	0.0494955	0.0184321	0.0243308	0.0177275	0.0285732	0.0128986	0.011541	0.0136562	0.00727982	0.00486397	0.00373938	0.00336574	0.00666961	0.00606507	0.00311367	0.00921173	0.0043487	0.00653009	0.0127158	0.012269	0.0153695	0.00645077	0.00463446
manière	0.0346697	0.0386865	0.0340826	0.0224135	0.0337298	0.0387497	0.0101205	0.00978346	0.0103657	0.00705815	0.00884591	0.0136312	0.0195003	0.102176	0.0441084	0.0313312	0.0249929	0.022778	0.0127642	0.0109121	0.00766155	0.0130026	0.00788387	0.0155453	0.00881873	0.0135323	0.00503287	0.0105761	0.0087928	0.00908483	0.0185467	0.0248088	0.0224793	0.0172518	0.0163805	0.0214171	0.034465	0.0200289	0.0434099	0.0348666	0.0514304	0.0217141	0.0226363	0.00695693	0.00734213	0.00563529
dont	0.00901633	0.0106365	0.00973792	0.00755436	0.0124252	0.00886163	0.00653425	0.00429856	0.00578064	0.00440303	0.00587158	0.00635112	0.0130323	0.011818	0.0140623	0.0167763	0.0128328	0.0185276	0.0168295	0.0222167	0.0401836	0.0400967	0.0646397	0.0997989	0.0450067	0.0775413	0.0349943	0.0659008	0.0194071	0.0172522	0.050881	0.0365394	0.0264436	0.0324783	0.016977	0.0139842	0.0283749	0.0154993	0.0184336	0.00767421	0.00895625	0.00278236	0.00308107	0.00341029	0.00479538	0.00730108
il	0.014837	0.0187957	0.0272425	0.027798	0.0466996	0.0434975	0.0607773	0.06132	0.0616251	0.0444617	0.0418236	0.0195131	0.0203623	0.0218848	0.0087276	0.00455453	0.00243531	0.00758034	0.00883664	0.00912263	0.011218	0.0147223	0.0148982	0.0255273	0.010848	0.0277628	0.0209769	0.0285465	0.0331098	0.0333375	0.0489499	0.0357864	0.0228754	0.0138272	0.0107687	0.0101452	0.00913586	0.00959771	0.00628768	0.0068487	0.00564539	0.00307487	0.00423211	0.00301154	0.00812711	0.028844
se	0.0466435	0.0571527	0.0517138	0.0439116	0.0335936	0.0272317	0.0166733	0.0179643	0.0170335	0.0161089	0.0170904	0.0140221	0.0233404	0.0238088	0.014834	0.00811935	0.00555889	0.0106192	0.0148817	0.0118848	0.0123355	0.00986938	0.0112519	0.0103705	0.00708312	0.0112477	0.0145688	0.0115908	0.0169549	0.0154386	0.0170387	0.0185775	0.0118319	0.00842014	0.00878708	0.011102	0.0118895	0.00769845	0.0172385	0.0396805	0.0222373	0.0305818	0.0309551	0.0369295	0.0530108	0.0811236
bat	0.0352073	0.0383526	0.0349447	0.0232685	0.0158636	0.015803	0.0191588	0.025919	0.0279803	0.0261691	0.0277666	0.0245688	0.0465062	0.0279243	0.018024	0.019288	0.0146539	0.0263342	0.0212785	0.0201211	0.0185701	0.0178834	0.0183933	0.0183737	0.0136228	0.0164147	0.0191879	0.0231315	0.0275341	0.0323743	0.0419674	0.0295898	0.0182329	0.0123597	0.00868946	0.00925664	0.00764807	0.00549622	0.00635672	0.00843801	0.00786806	0.015809	0.014893	0.0201984	0.0271474	0.0514311
pour	0.0544436	0.0498687	0.0554674	0.0523365	0.0748254	0.0634623	0.0376005	0.0625913	0.0459175	0.0589234	0.0352932	0.0360689	0.0308817	0.0394739	0.0225294	0.00671672	0.00395352	0.0082016	0.0102256	0.00815231	0.0131315	0.00450901	0.00803516	0.00804868	0.00243035	0.00456768	0.00481343	0.00243426	0.00385	0.00263611	0.0030787	0.00229531	0.00167357	0.00125318	0.000738136	0.00153671	0.00104762	0.000864246	0.00270094	0.0067262	0.0046397	0.00976421	0.0139905	0.0115098	0.0251374	0.101654
creuser	0.126764	0.0780284	0.0472953	0.0387532	0.0306051	0.0285551	0.0189863	0.0222342	0.023657	0.0284597	0.0297405	0.0282271	0.0479114	0.0296824	0.0181617	0.0196484	0.0116795	0.012401	0.00913695	0.00601778	0.0115667	0.00708301	0.011751	0.0106047	0.0041556	0.00550737	0.011559	0.0111366	0.0155949	0.017642	0.018512	0.0208646	0.010481	0.00564057	0.00605341	0.00560943	0.00575492	0.00255264	0.00650177	0.0150535	0.00644203	0.0198808	0.0167393	0.0198597	0.0254792	0.0520294
le	0.0966988	0.05735	0.043797	0.0348458	0.022777	0.0164567	0.0153287	0.0173871	0.0197948	0.0189316	0.0181226	0.0176146	0.0248797	0.0174645	0.0104582	0.0119405	0.00699813	0.0124383	0.012152	0.00944677	0.0207975	0.0115291	0.0218225	0.0167287	0.00686375	0.0144144	0.0267312	0.0235856	0.028269	0.0250273	0.0264044	0.0240071	0.0135676	0.00998294	0.0115147	0.0102923	0.00386869	0.00199116	0.00458762	0.00980729	0.00541526	0.0249428	0.0201985	0.0201809	0.0399967	0.09259
