 	i	d	u	n	ú	b	í	i	b	ó	á	a	w	ú	r	a	s	á	s	u	é	m	í	b	h	í	s	a	l	á	m	b	v	i	í	</S>
les	0.0706753	0.0281231	0.0191914	0.0111054	0.0127084	0.0109537	0.0117636	0.015951	0.0176847	0.0220357	0.0510693	0.055957	0.0777924	0.058798	0.0773624	0.0462351	0.0241147	0.0104794	0.012186	0.0179931	0.00817734	0.00893314	0.00967062	0.0225268	0.0135361	0.0303567	0.0294303	0.0269975	0.0418871	0.0343597	0.0298601	0.0225494	0.0221568	0.0149614	0.0177175	0.0146996
vieux	0.100682	0.0817988	0.10485	0.118732	0.124323	0.0528332	0.0220708	0.0237618	0.0184558	0.00982458	0.0196365	0.0210319	0.0210893	0.010735	0.0158462	0.00922543	0.00915588	0.00985232	0.0103223	0.00771111	0.00899242	0.00950846	0.00886108	0.0122986	0.0106411	0.0123407	0.0147377	0.0142159	0.0141001	0.0148031	0.026247	0.014317	0.0162235	0.0137676	0.0103846	0.00662295
oignent	0.0546037	0.0829896	0.0792611	0.048986	0.0339947	0.0380923	0.0453552	0.0377998	0.0280349	0.0220733	0.0371046	0.0435988	0.0238065	0.0337326	0.0216706	0.0181893	0.0133386	0.00924089	0.0117357	0.00940366	0.0159926	0.0120229	0.0118879	0.0168068	0.0178387	0.0187037	0.0181421	0.0221466	0.0266091	0.0264653	0.0380347	0.0162589	0.0165327	0.0220651	0.0138359	0.0136451
leurs	0.022341	0.0249294	0.0327775	0.0499174	0.0500835	0.051639	0.045543	0.0490754	0.0540875	0.0548705	0.0335896	0.0351251	0.0137797	0.0147247	0.0111868	0.0100912	0.0111283	0.0119125	0.0152917	0.0186206	0.0329943	0.0271073	0.02793	0.0297788	0.0252797	0.0201047	0.020611	0.0223868	0.0169529	0.0189039	0.0137745	0.0263634	0.0168605	0.0195456	0.0262421	0.04445
cheveux	0.0350682	0.0390204	0.0330504	0.0493674	0.0618247	0.0517424	0.0645961	0.0698279	0.0794683	0.0501587	0.0580213	0.0689267	0.0388333	0.0281617	0.0250185	0.0177323	0.0163091	0.0118229	0.0126596	0.0151435	0.0113084	0.0104099	0.00998543	0.0117166	0.00984428	0.00909395	0.00895744	0.00722579	0.00652619	0.00691635	0.00960834	0.00773376	0.0101022	0.0109048	0.0104852	0.032428
d'	0.025026	0.0222487	0.0166354	0.0212868	0.023292	0.0287938	0.0324107	0.0323645	0.0382231	0.0426713	0.0280196	0.0229211	0.0178049	0.0199243	0.0206955	0.0220941	0.0234268	0.0243902	0.0277657	0.0373145	0.0263965	0.0467653	0.0340951	0.0252415	0.0247536	0.0136549	0.0206076	0.018056	0.0155411	0.01862	0.0290866	0.0187343	0.0404395	0.0416829	0.0422441	0.0567719
huile	0.0207725	0.0131869	0.0118854	0.0161946	0.0203174	0.0244273	0.0268156	0.0254475	0.0274394	0.0259696	0.0214824	0.0221729	0.014013	0.0243543	0.0350545	0.0379429	0.0515049	0.044789	0.038012	0.047947	0.0332324	0.0273517	0.0237758	0.0227117	0.0221341	0.0223281	0.0229921	0.0246781	0.03153	0.0358912	0.0307474	0.0273954	0.027368	0.0256662	0.0290167	0.043452
de	0.0147514	0.0157908	0.0180109	0.0259955	0.0316767	0.0426738	0.0449492	0.0418098	0.0430413	0.0347421	0.024782	0.0235613	0.0139662	0.0175526	0.0196962	0.0226283	0.0246718	0.0271123	0.0275402	0.0371837	0.0324975	0.0329508	0.0215368	0.0173824	0.018571	0.0162721	0.0158369	0.0216965	0.0218147	0.0193844	0.0209378	0.0296809	0.0342466	0.0309057	0.0462545	0.0678953
palme	0.0214198	0.0203709	0.0199494	0.0229561	0.0239267	0.026225	0.0232736	0.0228265	0.0219733	0.0160482	0.0107519	0.0129955	0.00704655	0.008841	0.0108345	0.0126374	0.0176238	0.0194446	0.0212301	0.0302754	0.0332163	0.0334283	0.0313833	0.0334459	0.0319316	0.0312636	0.0285778	0.039279	0.0332237	0.0326392	0.0414662	0.0456123	0.0537873	0.0488308	0.0529111	0.058353
pour	0.0292015	0.0225547	0.0234314	0.0228153	0.0207183	0.0198224	0.0179815	0.0185906	0.0192851	0.0183974	0.011441	0.0140035	0.00539313	0.00993961	0.00952098	0.0118276	0.0152028	0.0145512	0.0186577	0.0354258	0.0365153	0.03835	0.031471	0.0344581	0.0331136	0.0328935	0.0215039	0.0330567	0.0226129	0.0189676	0.0257859	0.0352252	0.0491784	0.0555005	0.0718266	0.100779
