 	e	f	ú	ú	s	ú	l	ú	y	é	é	m	i	f	ú	ú	s	a	w	a	e	k	o	o	y	é	e	p	έ	n	g	á	n	y	i	n	g	a	</S>
la	0.0325181	0.0196505	0.0218614	0.0148685	0.0131156	0.00626331	0.0101254	0.0121195	0.0120914	0.0144019	0.0338302	0.112203	0.0404362	0.0408103	0.0244019	0.0261638	0.0276039	0.0247987	0.0144929	0.011986	0.0145498	0.0142356	0.0138033	0.0141998	0.0129875	0.0154624	0.0116362	0.0151083	0.0212601	0.0174678	0.0283564	0.0302695	0.0310219	0.0516383	0.0353683	0.0535762	0.0395917	0.0334627	0.0322615
manière	0.0402669	0.0332202	0.154791	0.0738377	0.0212733	0.0201238	0.0264016	0.0281277	0.0213366	0.0299201	0.0473412	0.0458698	0.0421363	0.0276044	0.0344714	0.0245769	0.0256583	0.0160927	0.0132429	0.0189174	0.0527576	0.027388	0.0153876	0.00920686	0.0140036	0.00563318	0.00719057	0.0135402	0.0117076	0.0183349	0.0127337	0.00450881	0.00948275	0.0137128	0.0147388	0.014902	0.0056568	0.00256291	0.00134091
dont	0.0828684	0.0320449	0.0154405	0.00368933	0.00398087	0.00612277	0.0125085	0.0102179	0.00632482	0.0117845	0.0105009	0.0142195	0.0853277	0.0423352	0.066538	0.120242	0.112068	0.119645	0.0451199	0.0521494	0.0433926	0.0132279	0.0116222	0.00621272	0.00598323	0.00361908	0.00979035	0.00325841	0.00528994	0.00542102	0.00555687	0.00403007	0.00400019	0.00479377	0.00301218	0.00427183	0.00252571	0.00461254	0.00625208
son	0.009499	0.00677507	0.0111866	0.00691676	0.00484402	0.00567163	0.00417569	0.00373278	0.00387305	0.00510277	0.00664022	0.0207362	0.0186547	0.0257331	0.136213	0.197903	0.156846	0.200268	0.0447688	0.0219031	0.0340924	0.015676	0.0112865	0.00428423	0.00362275	0.00393896	0.00120008	0.00384036	0.00168679	0.00139945	0.00167592	0.00166029	0.00126901	0.00336717	0.00163437	0.00320857	0.00239476	0.00297077	0.00934887
pied	0.047372	0.0533989	0.0670206	0.0799097	0.0841296	0.0610975	0.0210205	0.025344	0.0245289	0.019437	0.0156852	0.0200479	0.0351586	0.0245783	0.0344881	0.0311002	0.0329932	0.0276669	0.0191685	0.0330223	0.0214528	0.0153412	0.0144174	0.00981348	0.0109607	0.0114873	0.0112673	0.0111156	0.00880794	0.0120554	0.00905497	0.00477662	0.00807383	0.00994324	0.00850026	0.0156191	0.00835746	0.014858	0.0369293
s'	0.00857442	0.00907955	0.00911554	0.00800392	0.010351	0.0139903	0.00899949	0.00727244	0.00840608	0.00695561	0.00762966	0.00483388	0.0115632	0.0192458	0.0502625	0.055101	0.0810246	0.0958133	0.0532495	0.072272	0.100395	0.0521139	0.0457142	0.0244489	0.0206041	0.0206618	0.0201154	0.0275789	0.0144348	0.0135019	0.0163101	0.00818818	0.00743561	0.00938508	0.00365326	0.0114249	0.0101067	0.0177422	0.0344416
est	0.0345607	0.0296026	0.0283081	0.0333939	0.0475293	0.0582102	0.0244496	0.0249488	0.0252213	0.0172582	0.0123473	0.00885006	0.0124218	0.00991813	0.013972	0.0128653	0.0219752	0.0327806	0.0190424	0.0236146	0.0313201	0.0282526	0.0286115	0.0217052	0.0216849	0.0317233	0.0350191	0.052612	0.021072	0.0241896	0.020372	0.00952657	0.0157656	0.00874186	0.0150145	0.0130178	0.0194058	0.0237347	0.0869607
gonflé	0.0214627	0.0195237	0.0229684	0.0264052	0.0370533	0.0282283	0.0107392	0.0163833	0.0195429	0.0131397	0.0106574	0.012627	0.0190051	0.012709	0.0205549	0.0240775	0.0263289	0.0322285	0.0253214	0.0210177	0.0397813	0.0316263	0.0338307	0.033528	0.0250696	0.0262777	0.036806	0.0421022	0.023268	0.0294276	0.0205582	0.0131902	0.0248486	0.0158939	0.0231661	0.0202522	0.0312735	0.0327131	0.0764125
me	0.0281203	0.0220468	0.0237302	0.0184522	0.0219517	0.0323997	0.0257717	0.0243088	0.02246	0.0186409	0.00708665	0.00382041	0.0117852	0.0117452	0.0241675	0.0878448	0.0536611	0.114017	0.0131822	0.0485897	0.0765852	0.0338654	0.0371408	0.0224573	0.0233742	0.0200175	0.0160175	0.0223895	0.0098506	0.00950639	0.0106587	0.00572314	0.00617485	0.00333806	0.00687632	0.00438075	0.0116136	0.00942986	0.0568178
rend	0.0559519	0.0411886	0.0341235	0.0256198	0.0221441	0.0143779	0.0128498	0.0141309	0.0138928	0.0194616	0.0125664	0.00998466	0.0110628	0.00976261	0.0169869	0.0211633	0.0170134	0.0383119	0.0209621	0.0134378	0.0122217	0.0132055	0.0148525	0.0234698	0.0149023	0.0221793	0.0196581	0.029579	0.0180759	0.0198107	0.0224122	0.0170423	0.0270502	0.0165735	0.0432202	0.028484	0.0630651	0.0496923	0.119512
triste	0.0390938	0.0269942	0.0210004	0.0162005	0.0133222	0.00989095	0.00930714	0.00958102	0.00769339	0.00749195	0.00779111	0.00743426	0.0128322	0.0181291	0.0493964	0.0653759	0.0620153	0.0954831	0.052562	0.0401427	0.0482391	0.0338522	0.0276073	0.0360006	0.0191413	0.0223151	0.0244068	0.0229364	0.010265	0.00956912	0.0113013	0.008084	0.0108984	0.00672536	0.0148594	0.00884923	0.0301897	0.0153099	0.0677124
</S>	0.0225235	0.0229774	0.0285357	0.025573	0.024979	0.00925381	0.00651971	0.0113563	0.00871415	0.0082561	0.0103256	0.00849687	0.0104901	0.00753553	0.00715137	0.00499011	0.00745003	0.0109323	0.00561475	0.00744686	0.0132536	0.0123213	0.0178877	0.0258282	0.0228751	0.0301596	0.060266	0.0765936	0.0489637	0.046276	0.0374437	0.0215664	0.0521443	0.0438267	0.0560592	0.0513967	0.0511046	0.0304828	0.0524288
