 	é	y	ε	έ	n	g	á	b	a	r	e	á	d	z	e	a	y	í	í	e	b	é	e	y	á	a	t	á	n	g	a	</S>
quand	0.00812581	0.0196432	0.0197911	0.0188228	0.0210813	0.0249227	0.0475141	0.0597357	0.0538267	0.0735702	0.0686961	0.0631787	0.0747693	0.0690373	0.0707667	0.0518476	0.0237187	0.0160062	0.0123443	0.016931	0.0108948	0.0125284	0.0130051	0.0164356	0.0152753	0.0123034	0.0132247	0.0232641	0.0177901	0.0197958	0.0177167	0.0134363
je	0.131782	0.0741647	0.0359706	0.0303866	0.0289842	0.0518968	0.0540303	0.0547965	0.0384353	0.0389557	0.0429063	0.0462239	0.0569109	0.0541035	0.0585186	0.0695051	0.020394	0.0120291	0.0037299	0.00344913	0.00284317	0.00388427	0.00207275	0.00561656	0.00278369	0.0141955	0.00893929	0.00770654	0.0106552	0.0080115	0.0161382	0.00998039
suis	0.0705613	0.0596297	0.0403451	0.0455294	0.0286801	0.0443222	0.0394376	0.0449876	0.0426292	0.0281037	0.035071	0.0341785	0.0296724	0.0337166	0.0360315	0.065261	0.0523015	0.0676299	0.0309981	0.0179872	0.00945957	0.00885494	0.00783601	0.00940336	0.0136668	0.0137987	0.0100605	0.0112814	0.015699	0.0139759	0.0193505	0.0195394
arrivé	0.0514671	0.0435409	0.0441619	0.0427236	0.0347351	0.0274464	0.0282121	0.0253122	0.0237088	0.0157801	0.0215959	0.0241067	0.0279394	0.0289857	0.0273295	0.0369385	0.0465976	0.0616379	0.0726529	0.0626827	0.0368153	0.0332769	0.0166553	0.0122811	0.00910055	0.0107954	0.0137038	0.0158368	0.0163601	0.0206571	0.0184184	0.048544
il	0.0263999	0.0239773	0.0217278	0.0272671	0.0260198	0.0407162	0.0392814	0.0462175	0.0345591	0.0276168	0.032019	0.0289877	0.025942	0.0339939	0.0412057	0.0743155	0.0626281	0.0370404	0.0230947	0.0391837	0.0257862	0.02938	0.0231796	0.0132418	0.0131256	0.00909376	0.00993047	0.017999	0.0152163	0.0227322	0.0260961	0.0820251
y	0.0437803	0.031236	0.0275514	0.0269381	0.0302378	0.0314195	0.0292163	0.0278491	0.0174015	0.0139511	0.0153379	0.014368	0.0127218	0.0130667	0.0115851	0.0190453	0.0298203	0.0340665	0.0355808	0.0387742	0.038601	0.0414053	0.0436985	0.0349122	0.0326063	0.0369413	0.0354184	0.042744	0.0376165	0.0424118	0.0431015	0.0665957
avait	0.0594302	0.0417166	0.0337983	0.0283661	0.0290915	0.0271919	0.0232832	0.0204861	0.0116538	0.0106052	0.0114344	0.0109282	0.013756	0.0179537	0.0233051	0.0343527	0.0539037	0.0517772	0.0400878	0.0390445	0.0316992	0.0412286	0.0352654	0.02768	0.017088	0.0251091	0.0301716	0.0336101	0.0334479	0.0384268	0.0409582	0.0631488
déjà	0.053919	0.0320408	0.0274494	0.0228082	0.0265297	0.0244009	0.0171974	0.0121651	0.0117121	0.0129348	0.0142791	0.0132421	0.0185674	0.0284273	0.0382863	0.0535006	0.0700418	0.0568611	0.0340514	0.0245238	0.0181982	0.0369774	0.0448722	0.0363972	0.0185098	0.0254436	0.033352	0.0332773	0.0331825	0.035449	0.0335816	0.0578209
une	0.0856101	0.0565188	0.055265	0.0397088	0.0314931	0.0193556	0.01364	0.0161854	0.0224097	0.0296203	0.0306071	0.0306174	0.0388178	0.0462199	0.0396884	0.0331434	0.0248757	0.0190202	0.0159009	0.0185202	0.0151726	0.016667	0.0138722	0.0187946	0.0145965	0.0287189	0.0287756	0.0390965	0.0318234	0.0425437	0.0339519	0.048769
grande	0.0800389	0.0616839	0.0516359	0.0335716	0.0216053	0.0167579	0.0139258	0.0139771	0.0152134	0.0177663	0.0186333	0.0201053	0.0254076	0.0300698	0.0316585	0.0364157	0.0286175	0.018782	0.0210549	0.0156117	0.0142291	0.0154862	0.0124526	0.0125529	0.0117864	0.0224234	0.0286736	0.0441195	0.0352593	0.0515185	0.0736652	0.105301
