 	l	a	á	l	í	í	d	z	u	ú	w	á	n	y	a	m	a	í	d	z	e	e	w	o	s	o	</S>
la	0.0595858	0.0407603	0.0394259	0.0336395	0.0173511	0.0214948	0.0115496	0.0284998	0.021757	0.0384426	0.0227969	0.0370202	0.0578073	0.083019	0.0665695	0.0521773	0.0244427	0.0305919	0.0434344	0.0341616	0.0430672	0.047113	0.0239037	0.0203193	0.0454997	0.0343461	0.0212238
forêt	0.0777208	0.164869	0.162253	0.143158	0.109821	0.0814202	0.0415675	0.0341813	0.0215417	0.0231287	0.026544	0.0309911	0.0164674	0.00740384	0.00279198	0.00261271	0.00538071	0.00657114	0.00919935	0.00547547	0.00695185	0.0069128	0.0036577	0.00281702	0.00269391	0.00175161	0.00211662
qu'	0.0827796	0.0720793	0.046636	0.0444453	0.0420897	0.0411573	0.0630846	0.0377265	0.0474725	0.0211449	0.0321401	0.0866367	0.0485948	0.0440004	0.0306376	0.017109	0.0249484	0.0691111	0.0359199	0.0225539	0.0226299	0.0205011	0.015874	0.0070721	0.00848167	0.00807498	0.00709867
il	0.0830457	0.0696184	0.0659518	0.0530386	0.0378067	0.0290238	0.036237	0.0262912	0.0286763	0.0212117	0.0312126	0.0345628	0.030155	0.0390326	0.0375194	0.0293142	0.0454161	0.0405247	0.0418042	0.0240557	0.0163734	0.0246022	0.0249292	0.0170789	0.0206155	0.0310703	0.0608319
nous	0.0899586	0.0613702	0.0539748	0.0361375	0.0317344	0.0452051	0.0522866	0.0352657	0.0350992	0.0394372	0.0529605	0.0505933	0.0437626	0.0536596	0.0628593	0.0581149	0.0455498	0.0350419	0.0143685	0.0162554	0.0088808	0.00809697	0.00995484	0.0063009	0.00685225	0.0137279	0.0325514
a	0.0931812	0.0489249	0.0413876	0.0328284	0.0322098	0.0364233	0.0369117	0.0274378	0.0318029	0.0301578	0.0295012	0.0300803	0.029628	0.0291628	0.0357159	0.0368649	0.0207823	0.0206731	0.0203505	0.0316832	0.0288	0.0261012	0.0286446	0.0347863	0.0429309	0.0556081	0.0874214
indiquée	0.0566876	0.0479628	0.0417667	0.0343982	0.0349933	0.0355797	0.0281489	0.0278085	0.0346876	0.0344279	0.022429	0.0155988	0.0214075	0.0218687	0.0266278	0.026489	0.0211131	0.0227947	0.0258496	0.0322788	0.0343748	0.0356502	0.0379332	0.0415995	0.0588754	0.0653908	0.113258
pour	0.0241408	0.019589	0.0202692	0.0220147	0.0186644	0.0237855	0.0292703	0.0338983	0.0434165	0.0539822	0.0397224	0.0346354	0.0315443	0.026588	0.0196507	0.0201573	0.026014	0.0255749	0.0232853	0.0276758	0.0280787	0.0296906	0.0294331	0.0647197	0.0644324	0.0756132	0.144153
la	0.037214	0.0240333	0.0223284	0.0205998	0.0222285	0.0229109	0.0242062	0.0244795	0.0284088	0.0271764	0.0298422	0.0271183	0.0344817	0.029762	0.0343392	0.0367476	0.0183248	0.0103764	0.0178758	0.0267867	0.0384884	0.0314966	0.0531788	0.0643334	0.0769073	0.0896019	0.126753
chasse	0.0373883	0.0306609	0.0242819	0.0175072	0.0163732	0.0118274	0.00864521	0.00882479	0.00927772	0.010263	0.00943725	0.0123485	0.0160519	0.0202984	0.0151104	0.0125123	0.0112856	0.00430165	0.0128489	0.0156122	0.0301201	0.0317567	0.0287654	0.0758421	0.150052	0.178315	0.200291
n'	0.0814648	0.0666627	0.0615307	0.0450271	0.0303596	0.0244885	0.026512	0.0179122	0.0183205	0.0124586	0.0119131	0.0155894	0.0120784	0.0136823	0.0192155	0.0263236	0.0326059	0.0379378	0.0489157	0.0528258	0.0424466	0.0443881	0.0543381	0.0344468	0.029446	0.0550318	0.0840781
était	0.161586	0.110335	0.0864442	0.10261	0.0641102	0.0347945	0.0308143	0.013041	0.014244	0.00853236	0.00798537	0.0092708	0.00919963	0.00933371	0.0141384	0.0173121	0.0156013	0.00773905	0.0212605	0.0203148	0.0167742	0.0277808	0.0451155	0.0284549	0.0224237	0.0446364	0.0561469
pas	0.0914673	0.0403269	0.0262633	0.0205227	0.0172364	0.0136155	0.0117938	0.00836209	0.0105174	0.00894438	0.00859276	0.0221487	0.0323967	0.0412095	0.0445544	0.0342841	0.0353566	0.0365964	0.03491	0.0240428	0.0223843	0.0314343	0.0308756	0.0537828	0.0644823	0.10523	0.128669
giboyeuse	0.0486027	0.0255965	0.0321548	0.0298573	0.0235487	0.0141385	0.0141463	0.0060449	0.00953917	0.00587761	0.00664968	0.00666739	0.00780314	0.011366	0.0186543	0.0181511	0.0267594	0.0131096	0.0232858	0.0355872	0.0585026	0.0712408	0.188621	0.0924717	0.071979	0.0849372	0.0547075
</S>	0.0797456	0.0561192	0.0716104	0.0409601	0.0320684	0.0176775	0.0117749	0.00490361	0.00807665	0.00609398	0.00597878	0.00544972	0.00828088	0.00889391	0.0114833	0.0102631	0.0129214	0.00585553	0.0203563	0.0187604	0.0209663	0.0486636	0.111208	0.0960499	0.0875403	0.129473	0.0688253
