 	o	y	ú	r	u	w	ó	a	d	í	l	a	t	ú	e	t	s	í	n	a	w	a	á	b	ó	n	d	i	p	ώ	ω	é	t	s	ω	y	é	e	t	i	í	b	í	s	i	</S>
cette	0.00460725	0.00396528	0.00346187	0.0045853	0.00485358	0.00185018	0.00454449	0.00365581	0.00376209	0.00507922	0.00469723	0.00786807	0.0121703	0.0576324	0.0771487	0.0535265	0.0361934	0.055637	0.107312	0.0530767	0.0104529	0.017124	0.0216317	0.0108587	0.00898293	0.00726889	0.0175462	0.0105826	0.0101617	0.0105332	0.0265514	0.0213685	0.0128225	0.0181878	0.0141516	0.021954	0.0132955	0.00809103	0.014245	0.013076	0.0151444	0.0269635	0.0299333	0.0425921	0.0536127	0.0372405
femme	0.100449	0.0989173	0.11447	0.11648	0.0423426	0.0615904	0.0771513	0.0218619	0.0186945	0.0149757	0.00368308	0.00970889	0.0225295	0.0164416	0.00899907	0.0431275	0.049851	0.0489447	0.0465381	0.0142714	0.00230334	0.00474074	0.0042778	0.00132743	0.001438	0.00178075	0.0014065	0.000408167	0.000250861	0.000538266	0.000180008	0.000201232	0.000510911	0.00145667	0.00264763	0.00335007	0.00366438	0.0040331	0.00262885	0.0121699	0.00478453	0.00292916	0.00213139	0.00308644	0.00527641	0.00145007
a	0.0476182	0.0341769	0.0408171	0.0443176	0.0434585	0.0530062	0.0229553	0.00895263	0.00723913	0.00645754	0.00469972	0.0083207	0.0153434	0.0148079	0.0143832	0.0170603	0.0157621	0.0700208	0.025708	0.0309855	0.0127397	0.00866497	0.00854652	0.00628967	0.00670788	0.00845077	0.00916918	0.0108483	0.0117234	0.0170973	0.0227747	0.0242535	0.0255356	0.0220035	0.0253063	0.025317	0.0261066	0.0255881	0.0386964	0.0276926	0.0267427	0.0226704	0.0145171	0.0158688	0.0203051	0.0102931
une	0.0197962	0.0306018	0.0405358	0.0445544	0.0537064	0.0228256	0.0277203	0.0201758	0.0118344	0.0121009	0.00871518	0.0133147	0.0159781	0.0563795	0.0254423	0.0257777	0.00942528	0.0154815	0.0202584	0.0163398	0.00968495	0.0205786	0.0592541	0.0112117	0.00691521	0.00643008	0.0264499	0.00740256	0.0107445	0.016149	0.0151756	0.00995334	0.0159169	0.0160107	0.0171632	0.0151272	0.0164425	0.00631108	0.0159877	0.0171126	0.0216565	0.0226914	0.0297108	0.0262876	0.0457057	0.0429625
bonne	0.017733	0.0151325	0.0226037	0.0143462	0.0155639	0.00974035	0.0164413	0.0185961	0.0181113	0.0159136	0.0122297	0.0108786	0.014759	0.0313605	0.01765	0.0307967	0.0205812	0.0239999	0.0315115	0.0185473	0.0124084	0.0251845	0.0279319	0.0245585	0.0201499	0.0191373	0.0143057	0.0104151	0.0202898	0.00733243	0.00684914	0.00735068	0.0156028	0.033619	0.0239796	0.0291102	0.0472625	0.0177957	0.038222	0.0437617	0.0384147	0.0290961	0.0227662	0.0337523	0.0263147	0.0278927
audition	0.021757	0.0118379	0.0134331	0.010595	0.0109873	0.00758643	0.00990389	0.00998004	0.00980194	0.0073982	0.00830062	0.00813915	0.0119662	0.0168984	0.0168423	0.0193382	0.0218156	0.0173063	0.0163229	0.00627986	0.0120145	0.0136488	0.0160432	0.0162884	0.0158015	0.0191062	0.0186035	0.0227622	0.0283302	0.0263189	0.028887	0.0280172	0.0331731	0.0355894	0.0363012	0.0413614	0.0324718	0.0366967	0.0329117	0.033282	0.0360955	0.0329331	0.0260157	0.0259024	0.0412937	0.0536605
car	0.035811	0.0263425	0.0262939	0.0176316	0.0196082	0.0119978	0.0218985	0.0261955	0.0179016	0.0124688	0.0241763	0.0124055	0.0153134	0.0201116	0.0163018	0.0136249	0.0188119	0.0206292	0.0235631	0.0185845	0.0388253	0.0428875	0.0251694	0.0330478	0.0373257	0.0424916	0.0338046	0.039507	0.0188612	0.0252187	0.020997	0.0204083	0.0317448	0.0282704	0.0323231	0.0347108	0.0167737	0.0254829	0.00781861	0.011375	0.0126958	0.00459277	0.00234574	0.0041386	0.00325456	0.00625776
elle	0.0180339	0.0165323	0.0198069	0.0170729	0.0162918	0.00823369	0.0125278	0.00874565	0.00814218	0.00597309	0.00672081	0.00517332	0.00578273	0.00656729	0.00973374	0.00812845	0.0103075	0.0103117	0.00966925	0.00742043	0.0170746	0.0183897	0.0197854	0.0186026	0.0153342	0.021595	0.0291912	0.0357503	0.0276635	0.0281321	0.0375803	0.0346699	0.0384061	0.0364523	0.0390137	0.0383718	0.0435207	0.051046	0.0351632	0.0223895	0.0365577	0.0279921	0.023894	0.0237463	0.0340009	0.0345013
a	0.0455033	0.0406708	0.0433472	0.0324872	0.0224558	0.00741654	0.00713343	0.00632361	0.00459414	0.00476662	0.00539009	0.00476347	0.00343473	0.00532186	0.00856571	0.00957288	0.0109309	0.0132533	0.0187027	0.0180965	0.0191653	0.0200322	0.0233377	0.02172	0.0220843	0.018254	0.0233982	0.024927	0.0204075	0.0156811	0.0297907	0.0183481	0.0217459	0.0214545	0.0159785	0.0233882	0.0176574	0.0163335	0.0304436	0.0364687	0.0175656	0.0415394	0.0411367	0.0379011	0.0491026	0.0594074
entendu	0.0240219	0.0230382	0.0217704	0.0138615	0.0144229	0.00939231	0.00891351	0.00870842	0.00640436	0.00640524	0.00627502	0.00524257	0.00570124	0.00803184	0.00911423	0.0140141	0.0228658	0.0264516	0.0195175	0.0212223	0.0219249	0.0230763	0.0404023	0.0324016	0.0305874	0.0367655	0.0404175	0.0278762	0.0332396	0.0273012	0.0339875	0.0272604	0.0333654	0.0246291	0.0252808	0.0234113	0.0240058	0.0183535	0.017474	0.0158006	0.0198502	0.020148	0.0234591	0.0252171	0.032295	0.0460949
tout	0.0380254	0.051724	0.0477163	0.0325985	0.0200867	0.00628589	0.00862445	0.0069424	0.00668073	0.00412955	0.00495575	0.00454346	0.00411745	0.0131907	0.0107914	0.0135195	0.0055022	0.00662946	0.0070192	0.00803624	0.0240281	0.0251641	0.0438716	0.01971	0.0146761	0.0154383	0.0220591	0.0299935	0.0238135	0.0256312	0.0278783	0.0304106	0.0268083	0.0317288	0.0259762	0.0322609	0.0326636	0.0266901	0.0425797	0.0217695	0.0177741	0.027994	0.0199613	0.0223965	0.0179823	0.0496211
ce	0.0586918	0.0379498	0.0312876	0.022264	0.0144333	0.00802381	0.00742569	0.00738615	0.00703377	0.00567333	0.00579581	0.00481991	0.00604987	0.0140232	0.0150125	0.0208056	0.0217836	0.0169553	0.0153643	0.0160092	0.0263468	0.0192968	0.0276742	0.0196118	0.0191566	0.0218741	0.0246204	0.0169847	0.022136	0.0274972	0.0269668	0.0329925	0.0337502	0.0285986	0.0240551	0.0318772	0.021453	0.0192864	0.0173097	0.0174156	0.0201081	0.0304396	0.0248216	0.0300185	0.0297369	0.0491832
qu'	0.0634652	0.0447953	0.0278084	0.0176592	0.0138971	0.0053379	0.00847913	0.00597876	0.00518013	0.00390392	0.00435505	0.00442261	0.00544007	0.0258629	0.0189247	0.0195257	0.01244	0.00975032	0.00918029	0.00827428	0.0296703	0.0370469	0.0655476	0.022834	0.0195106	0.0229987	0.0330472	0.0211728	0.0269046	0.0307188	0.0313144	0.0342389	0.032015	0.0280832	0.0239714	0.0290647	0.0247224	0.0206282	0.0134357	0.0107028	0.0160978	0.0193399	0.0145119	0.0183069	0.0197931	0.0396415
on	0.0662737	0.0416518	0.0293911	0.0220145	0.0204109	0.0106857	0.0120431	0.00770177	0.00530511	0.00520873	0.00812317	0.0144479	0.0122622	0.0177817	0.0254309	0.0290278	0.0160015	0.0146542	0.0202907	0.0123192	0.0251906	0.0505966	0.0784526	0.0526808	0.0333023	0.0376631	0.0342276	0.02405	0.0246426	0.0160917	0.0145384	0.01396	0.0120607	0.0126748	0.0113284	0.0161053	0.00949209	0.0116351	0.00952405	0.0102438	0.0123123	0.0237813	0.018338	0.0176763	0.0172407	0.0211651
a	0.170734	0.113549	0.0534993	0.0440274	0.018728	0.00700912	0.00540796	0.00463482	0.00470474	0.00425658	0.00318923	0.0037739	0.00183792	0.0105759	0.0115299	0.0207718	0.0162933	0.0100843	0.0130178	0.00923778	0.0216556	0.0115271	0.0355627	0.00709808	0.00575003	0.0096005	0.00830499	0.00858289	0.00759075	0.0158141	0.0254934	0.0210004	0.0206569	0.027843	0.0278274	0.0229915	0.027422	0.0140607	0.0186921	0.0185417	0.0169383	0.0165879	0.0141048	0.018733	0.0194558	0.0313023
dit	0.231957	0.094208	0.0474177	0.0310633	0.0149205	0.00807336	0.0050537	0.00408069	0.00378254	0.00401525	0.00334534	0.00415775	0.0027178	0.0101053	0.0104606	0.0175556	0.0145766	0.00732211	0.0114046	0.00750472	0.018947	0.0114067	0.043908	0.0122062	0.00811768	0.0131459	0.0122239	0.0101063	0.0082294	0.00973878	0.0126108	0.0119196	0.0134854	0.0147368	0.0128314	0.0150886	0.0154139	0.012108	0.0188183	0.0181838	0.0189025	0.0211254	0.0189408	0.0200198	0.0262506	0.0678125
