 	p	á	b	h	a	b	í	s	í	l	é	d	z	é	e	e	n	d	z	ω	r	ω	ω	l	a	y	a	a	</S>
aujourd'	0.0318539	0.138265	0.152286	0.0450536	0.0266328	0.0349421	0.0222689	0.0236829	0.0454828	0.0404232	0.0465559	0.0819859	0.0712947	0.0418174	0.0281176	0.0126369	0.0139249	0.00950082	0.00965381	0.00813657	0.00872977	0.0119242	0.00980409	0.013362	0.014204	0.0193067	0.0146598	0.0142621	0.00923172
hui	0.0223174	0.0291659	0.0249007	0.0438254	0.036367	0.0560222	0.0729273	0.0358564	0.00915655	0.00527958	0.0105832	0.0117522	0.0108635	0.00939862	0.0118367	0.01572	0.041206	0.0680872	0.0698257	0.0970475	0.0533921	0.0643679	0.0400476	0.0352516	0.0419407	0.0359037	0.0189666	0.0129619	0.0150289
nous	0.0480375	0.0512715	0.0359623	0.0329886	0.0255259	0.0340828	0.0295383	0.0503327	0.0513046	0.0258979	0.0378161	0.0256078	0.0266919	0.0266153	0.0300766	0.0340235	0.0288409	0.0348646	0.033793	0.0310733	0.0346899	0.0496033	0.0359914	0.0250921	0.0363631	0.0352196	0.0401229	0.0369201	0.0116524
avons	0.0450699	0.0275701	0.031913	0.0454597	0.0282407	0.0160015	0.0188012	0.0197447	0.0174189	0.020809	0.0260991	0.0214772	0.0281921	0.0436429	0.0459869	0.063382	0.0713391	0.0677462	0.0422756	0.0334246	0.0398054	0.0301501	0.0286567	0.0273876	0.0268056	0.0231132	0.026069	0.0295523	0.0538657
mangé	0.0332623	0.0270654	0.0269655	0.0266947	0.0251151	0.0323283	0.0328369	0.0370578	0.0390091	0.0433841	0.0313339	0.0186039	0.0177149	0.015285	0.0211388	0.0260745	0.0316084	0.0348128	0.0485952	0.0325378	0.0616014	0.0356092	0.0364961	0.0452236	0.0375489	0.0447732	0.0352426	0.0399101	0.0621705
la	0.0242714	0.0231627	0.0138734	0.0114279	0.0142476	0.0210333	0.0157288	0.0171204	0.0178229	0.023395	0.0154411	0.0121191	0.00966836	0.0100775	0.0144948	0.0205878	0.0260079	0.0272389	0.070377	0.0531647	0.0828759	0.060052	0.0650309	0.0739385	0.0486978	0.0485751	0.0364939	0.0636301	0.0794453
patate	0.0300401	0.0214895	0.0146569	0.0125355	0.0155317	0.0228411	0.0164523	0.0159369	0.0164522	0.0169541	0.0138924	0.00802787	0.00686916	0.0117925	0.0151293	0.0206904	0.0274622	0.0282997	0.0607834	0.0500273	0.0721226	0.0679489	0.0543401	0.0612237	0.0599848	0.0501386	0.0333228	0.0770604	0.0979932
douce	0.0221562	0.0194476	0.013706	0.00958838	0.0132447	0.0166236	0.0127057	0.0148298	0.017221	0.0195286	0.0126219	0.0076544	0.0095728	0.0151584	0.0157781	0.0203691	0.0257258	0.0265251	0.0472547	0.0583589	0.0703246	0.0731305	0.0802062	0.0751838	0.0595276	0.0462844	0.045706	0.0725316	0.0790342
avec	0.0280769	0.024242	0.0242101	0.0267653	0.0257422	0.0233773	0.0216186	0.0157342	0.0154588	0.0137963	0.0140504	0.0109713	0.0131127	0.010386	0.0160477	0.0145833	0.0190022	0.0235276	0.0314523	0.0323916	0.0361279	0.0386909	0.0503411	0.0664422	0.0582615	0.0727801	0.0807216	0.0882423	0.103845
le	0.0642913	0.0387708	0.0335188	0.0478383	0.0405842	0.03161	0.0245167	0.0141609	0.0120928	0.00864266	0.00866963	0.0050288	0.00861315	0.00687051	0.0134075	0.0126427	0.0133082	0.0177426	0.0256296	0.0220903	0.0417541	0.0301614	0.0465044	0.0561143	0.048467	0.0472335	0.0675943	0.0731754	0.138966
saka-saka	0.0567901	0.0320352	0.036991	0.0454045	0.0201881	0.00951993	0.0104909	0.00913836	0.0104887	0.00934807	0.0133361	0.0105797	0.0151349	0.0202219	0.0235134	0.0233241	0.0305156	0.0267722	0.0198162	0.0189961	0.019878	0.0188495	0.0258356	0.0371239	0.0427926	0.0726414	0.0714511	0.0908685	0.177954
</S>	0.0590701	0.0311259	0.0319136	0.0913742	0.0869225	0.0809367	0.0492585	0.0203488	0.0183673	0.0155252	0.0129884	0.011923	0.0127641	0.0113228	0.0209083	0.0230509	0.0195664	0.0272998	0.0243755	0.0225948	0.0324895	0.0246504	0.0208572	0.0144748	0.0114971	0.00958847	0.0133318	0.024309	0.177165
